text;source;class;location;LAU_ID
1. Dalmasso (Henry), imprimerieroyale, à Turin. — Dictionnaire polyglotte en onze langues, de M. LouisCalligaris.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Turin;001272
"2. Negro (AugusteFréderic), à Turin. — Ouvrages imprimés; spécimensde typographie.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Turin;001272
3. Pomba (Louis), à Turin.—Publications de la Société de l'union typographique de Turin.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Turin;001272
4. Gatti (Joseph), à Voghera. —Spécimens de typographie.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Voghera;018182
"5. Bernardoni (CièreJoseph , àMilan. — Evangeliarium, Epistolariumet Leclionarium, elc. Documentsdiplomatiques tirés des archives milanaises; Histoire politique, civile etniliteire de la maison royule de Savoie; Statistique générale de la province de Sondrio; Supplément aux vocabulaires italiens de Ghérardini.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Milan;015146
"6. Vallardi (François), à Milan.Bibliothèque médicale; Encyclopédienationale; collections scientifiques etlittéraires, Dictionnaire des synonymesde Tommaséo; Vocabulaire de la languehalienne de Trinchersa, Bible de Martini.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Milan;015146
"7. Civelli (Joseph), à Milan. — Ouvrages d'architecture; grands concours; la Chartreuse de Pavie; le roiCharlesAlbert; le Dante; MarieLouiseGabrielle de Savoie.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Milan;015146
8. Trieste (Maso), souscommissionde Padoue, à Padoue. — Descriptiondes chapelles des Scrosegniet de SaintAntoine, à Padoue. (Voir cl.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Padoue;028060
9. Antomelli (Joseph), à Venise.—Ouvrages imprimés et reliés.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;027042
10. Locatelli (Lomi et Piucco), àVenise. — Collection des éfremmes véniliennes. .;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;027042
11. Pères Mechitaristes de SaintLazare, à Venise, — Traduction enarménien de la Vie de Jules César, deS. M. Napoléon Il.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;027042
42. Triantañilo (Christophe), àVenise.— Œuvres brochées et reliées.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;027042
