,text,source,class,location
0,"ITALIE. GROUPE II. ÉDUCATION ET ENSEIGNEMENT.MATÉRIEL ET PROCÉDÉS DES ARTS LIBÉRAUX.  Amati (Chevalier À.), à Stradella (Pavie). — Tableaux géographiques statistiques. 3Angelini (R.), à Rome. — Exercices gradués d'écriture grecque et cahiers pour lesditsexercices. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Stradella
1,"16 Baragiola (E.), à Côme. — Exercices de grammaire et nomenclature pour les écolesprimaires À Barbirolli (Chevalier, J.B.), à Florence. — Cartes pour enseigner la musique auxenfants. A",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Côme
2,"0 Bert (A) fils, président du comité de direction de l'École suisse, à Gênes, et Kumz(M), professeur, directeur des études à la même école. — Cartes géographiques plas . tiques exécutées, en partie, par les élèves de l'École supérieure suisse pour les jeunespersonnes, ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Gênes
3,"31 Benedetti (D'F.), président du comice agricole de Gonegliano, à Trévise, — Le vieilagri , maître du peuple, ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Trévise
4,100 leçons de culture; Gatéchisme agricole populaire àl'usage des cultivateurs italiens. ' ,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,l
5,"47 Bistolfi (J.), maître à l'Institut des aveugles, à Gênes. — Carte géographique d'Italie àY des aveugles. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,l
6,"27 Brianzi (L.), à Milan. — Grammaire de la langue francaise. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan
7,"18 Cann (T.), professeur, à Florence. — Grammaire théoriquepratique de la langue anglaise;livres de lecture anglaise. $ ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Florence
8,"19 Cantu (C.), à Milan. — Dixsept livres d'éducation. Carpené (D' À), à Conegliano {Trévise). — Petit traité d'énotechnie. Casteïli (J.), à Turin. — Traité de calligraphie, avec divisions. “ÆContäni (C.), professeur, à Rome. — Traité d'hygiène populaire à l'usage des écoles DE maires et des maisons d'éducation. Castro (V.), professeur, président de la Société d'initiative des jardins d'enfants, àMilan, — Appareil didactique Vittorino da Feltre, pour l'enseignement simultané et graduéde lecture, écriture, dessin et calcul; livres d'éducation pour les écoles primaires. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan
9,"8 Danieli (C.), à Padoue, — Volume Ettore Fieramoscæ, en caractères sténographiques. A",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Padoue
10,"4  D’Anna (S.), professeur, à Palerme. — Nouveau système musical, méthode pratique;documents sur l’Institut Orfco, à Palerme; compositions des élèves des deux sexes,quatre fugues. Fri Direction de l’agrieulture, à Rome. — Mémoire concernant l'enseignement élé Mmentaire et spécial agricole. A École des employés des chemins de fer (Directeur: L. Theveuzint, ingé nieur), à Rome. — Documents, règlements et programmes de l'école. Faà di Bruno (Chevalier F.), à Turin. — Écritoire pour les aveugles. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Palerme
11,28.Franceselhimi (,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,
12,"1°.), à Milan. — Revue hebdomadaire de bachiculture. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan
13,35Giordane (,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,
14,"5.), professeur, à Turin. — Traité d'hygiène pour élever les enfants. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Turin
15,"16 Ligue véronaise de l’enseignement, à Vérone, — Matériel et modèles pour ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Vérone
16,"1les jardins de Froëbel; histoire de la ligue de l'enseignement; travaux des élèves EE à À Ferro (C.), à Udine, — Modèles d'écriture anglaise en six cahiers. jardins de Froëbel de la ligue.Luziami (C.), à Pise. — Pédale pour faciliter l'étude du piano aux enfants. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,À
17,"23Martuseelli (Chevalier D.), à Naples, fondateur et directeur de l'institut Prince de Naples, pour les aveugles, à Naples; matériel pour l'instruction des aveugles; hr: des aveugles. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Naples
18,"1 M Mauro (Chevalier M.A.), à Rome. — Études sur les sons représentés par les lettres de. l'alphabet italien, pour apprendre rapidement à lire et à écrire (livre); lettres, syllabeset mots pour apprendre à lire et à écrire aux soldats (livre). ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Rome
19,"9 Menglhi (J.), à Venise. — L'ouvrier italien {syllabaire); ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Venise
20,3 livres de lecture. ,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,lecture
