text,source,class,location,respones
"ITALIE. GROUPE II. ÉDUCATION ET ENSEIGNEMENT.MATÉRIEL ET PROCÉDÉS DES ARTS LIBÉRAUX.  Amati (Chevalier À.), à Stradella (Pavie). — Tableaux géographiques statistiques. 3Angelini (R.), à Rome. — Exercices gradués d'écriture grecque et cahiers pour lesditsexercices. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Stradella,Pavie
"16 Baragiola (E.), à Côme. — Exercices de grammaire et nomenclature pour les écolesprimaires À Barbirolli (Chevalier, J.B.), à Florence. — Cartes pour enseigner la musique auxenfants. A",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Côme,Como.
"0 Bert (A) fils, président du comité de direction de l'École suisse, à Gênes, et Kumz(M), professeur, directeur des études à la même école. — Cartes géographiques plas . tiques exécutées, en partie, par les élèves de l'École supérieure suisse pour les jeunespersonnes, ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Gênes,Genova
"31 Benedetti (D'F.), président du comice agricole de Gonegliano, à Trévise, — Le vieilagri , maître du peuple, ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Trévise,Treviso
100 leçons de culture; Gatéchisme agricole populaire àl'usage des cultivateurs italiens. ' ,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,l,Catania.
"47 Bistolfi (J.), maître à l'Institut des aveugles, à Gênes. — Carte géographique d'Italie àY des aveugles. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,l,Genova.
"27 Brianzi (L.), à Milan. — Grammaire de la langue francaise. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan,Milano.
"18 Cann (T.), professeur, à Florence. — Grammaire théoriquepratique de la langue anglaise;livres de lecture anglaise. $ ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Florence,Firenze
"19 Cantu (C.), à Milan. — Dixsept livres d'éducation. Carpené (D' À), à Conegliano {Trévise). — Petit traité d'énotechnie. Casteïli (J.), à Turin. — Traité de calligraphie, avec divisions. “ÆContäni (C.), professeur, à Rome. — Traité d'hygiène populaire à l'usage des écoles DE maires et des maisons d'éducation. Castro (V.), professeur, président de la Société d'initiative des jardins d'enfants, àMilan, — Appareil didactique Vittorino da Feltre, pour l'enseignement simultané et graduéde lecture, écriture, dessin et calcul; livres d'éducation pour les écoles primaires. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan,Milan
"8 Danieli (C.), à Padoue, — Volume Ettore Fieramoscæ, en caractères sténographiques. A",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Padoue,Padova
"4  D’Anna (S.), professeur, à Palerme. — Nouveau système musical, méthode pratique;documents sur l’Institut Orfco, à Palerme; compositions des élèves des deux sexes,quatre fugues. Fri Direction de l’agrieulture, à Rome. — Mémoire concernant l'enseignement élé Mmentaire et spécial agricole. A École des employés des chemins de fer (Directeur: L. Theveuzint, ingé nieur), à Rome. — Documents, règlements et programmes de l'école. Faà di Bruno (Chevalier F.), à Turin. — Écritoire pour les aveugles. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Palerme,Palermo
28.Franceselhimi (,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,,Firenze
"1°.), à Milan. — Revue hebdomadaire de bachiculture. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan,Milano
35Giordane (,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,,Giordano.
"5.), professeur, à Turin. — Traité d'hygiène pour élever les enfants. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Turin,Torino
"16 Ligue véronaise de l’enseignement, à Vérone, — Matériel et modèles pour ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Vérone,Verona
"1les jardins de Froëbel; histoire de la ligue de l'enseignement; travaux des élèves EE à À Ferro (C.), à Udine, — Modèles d'écriture anglaise en six cahiers. jardins de Froëbel de la ligue.Luziami (C.), à Pise. — Pédale pour faciliter l'étude du piano aux enfants. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,À,Udine
"23Martuseelli (Chevalier D.), à Naples, fondateur et directeur de l'institut Prince de Naples, pour les aveugles, à Naples; matériel pour l'instruction des aveugles; hr: des aveugles. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Naples,Napoli
"1 M Mauro (Chevalier M.A.), à Rome. — Études sur les sons représentés par les lettres de. l'alphabet italien, pour apprendre rapidement à lire et à écrire (livre); lettres, syllabeset mots pour apprendre à lire et à écrire aux soldats (livre). ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Rome,Roma.
"9 Menglhi (J.), à Venise. — L'ouvrier italien {syllabaire); ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Venise,Venezia
3 livres de lecture. ,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,lecture,Firenze
"10 Ministère de l'instruction publique. — Matériel et illustrations de l'enseignement primaire : dessins des établissements, mobilier et matériel scolaires dés salles d'asile et jardins d'enfants, et travaux des élèves; dessins des établissements, mobilier etmatériel didactique, et travaux des élèves des écoles primaires; albums de dessins pourles écoles primaires professionnelles, ouvrières et pour les adultes; matériel et agencement scolaires, travaux des écoles des aveugles et des sourdsmuets; spécimens de dessin:des élèves des deux sexes des écoles normales, et travaux de femmes; collection delivres de texte employés dans les écoles primaires et normales. Ces collections sont illustrées par une monographie spéciale. ; ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,l,Milano
"11Municipalité de Rome. — Dessins exécutés par les élèves de l'École municipalepour les ouvriers; dessins exécutés dans l'École du musée des arts appliqués à rsMuratori (J.), à FinaleEmilia (Modène). — Livre élémentaire d'agriculture; tableausynoptique de la culture en Italie. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,rsMuratori,Roma
"24Musso (P.C.), à Turin. — Méthode de lecture et d'écriture simultanées (",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Turin,Torino
"8 tableaux muraux, livre, album et ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,,Milano
5 tableaux synoptiques). ,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,,Milano
"42Orphelinat pour les jeunes filles (Directrice: M F. Monanni), à Milan. —Notions sur l'Orphelinat de jeunes filles de Mian et description des devoirs des personnesattachées à cet institut; livres d'éducation employés dans ladite école, compiles par ladirectrice, ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Milan,Milano.
"36Palermo (J.), professeur, à Naples. — Collection de ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Naples,Palermo
168 caractères et alphabets depresque toutes les nations. . ,Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,,Caratteri e alfabeti di quasi tutte le nazioni.
"13Paravia (J.B.),à Turin. — Série de jouets et de dons, système Früebel; tables de nomenclature et livres pour jardins d'enfants. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Turin,Torino
"2 professeur, à Bologne. — Méthode de chant en chiffres, dite chorale; méthode pratique complète de chant; opérettes en musique. ",Paris_1878_Italy_1.jpg,604 ITALIE. — GROUPE IL — CLASSES 6 À 10.,Bologne,Bologna.
25,Paris_1878_Italy_54.jpg,"ITALIE. — GROUPE VI — CLASSES 50 À 68. 657
Cristiani (C.), Paglio et C*, à Bologne. — Spécimens de petites briques pour pa-
vage; ornements et ouvrages de sheet en ciment blanc. 19",,Milano
"4  HBosalhba (C.), architecte, à Avellino. — Projet d'un édifice scolaire municipal construità SantaMaria, CapuaVetere, ",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Avellino,Avellino
"42 Santi (A.), à Murano (Venise). — Relations sur l'instruction et l'éducation dans la commune de Murano. ",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Murano,Murano
"38 Scaraviglia (T.), professeur, à GualdoTadino { Pérouse). — Dessins à l'aquarelle par lesélèves de l'école technique de GualdoTadino (album). ",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",GualdoTadino,Gualdo Tadino
"33 Société centrale ouvrière napolitaine, à Naples. — Dessins d'ornements,de figures, de géométrie, de machines {",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Naples,Napoli
1 toile et ,Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,"Il nome italiano della città è ""Torino""."
4 albums). ,Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,Milano
"3 Soli (P.), architecte, à Milan. — Projets d'écoles élémentaires. Sotis (D° J.), à l'ondi (Caserte). — Conferences sur l'hygiène de l'habitant de la campagneet sur l'agriculture pratique. ",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Milano.
"26 Thevenet (J.), à Milan. — Cours complet d'écriture (",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Milano
5 modèles). ,Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,Milano
"44Æanetti {(Abbs V.), directeur du Musée verrier et de l'école de dessin appliqué à laverrerie, à Murano (Venise). — Photographies des meilleurs types classiques qui setrouvent dans le musée; gravures du musée de l'industrie verrière et de l'école annexe.",Paris_1878_Italy_2.jpg,"ITALIE. — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité élémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",laverrerie,Venice
"45 Zucchetti (A.), professeur, à Todi (Pérouse). — Dessins des élèves de l'école techniquede Todi (album). ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Todi,Todi.
"3i part royale de SainteCécile à Rome, — Coni: deux melimes, Baiardi. — Morceaux de musique instrumentale, Barhieri (L., architecte), à Naples — Projet d'un collège de musique (album); projetd'une école à construire dans la province de Bari (album.) ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Rome,Roma.
"34 Beceari Gualbezta (A.),à Bclogne. — La femme, publication périodique. ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Bclogne,Bologna
"46Bianchi. — L'Énéide, opéraballet en quatre actes. Bossi (L.), professeur, à Milan. — Manuel théorique et pratique de tissage de la soie. ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Milan,Milano.
"3Branzoli. — Compositions. Brumi, à Gênes, — Méthode de chant. Caputo (\L.C.), professeur de chant, à Naples. — Manuel de chorodagogie. ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Gênes,Genova
"47Carelli {B.), professeur de chant, à Naples. — Traité de l'art musical. ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Naples,Napoli
"48 Collége royal de musique à Palerme (M. Platania, directeur). — Compositions musicales. Daeei (J.), directeur de l École royale de musique, à Parme, — Grammaire musicale; methode théorique pratique pour la lecture ct la division musicales; méthode th°orit que pratique d'hirmonie simple et compose, d'instrumentation, de contrepointe et de comp: sition; Symphonie à grand orchestre. De CastroneNMarchesi (N° M.), à Vienne. — L'art du chant. ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Palerme,Parme.
"20 De Champ (H.), à Florence, — Guile théorique pratique pour l'interprétation et TÉPRStion des signes graphiques musicaux. De Michelis. — Compositions flûte et p'ano,  De Sancetis. — Composition musicale. Faa di Bruno (Chevalier F.), à Turin. — Phasiscope, appareil pour expliquer la théo# des phases lunaires; appareil démonstratif du mouvement des nœuds et du Landune.Ferrari (M",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Florence,Firenze
"4), à Bologne. — Messe des morts. |Florimo (Commandeur F.) à Naples. — Méthode de chant. ",Paris_1878_Italy_3.jpg,606 ITALIE. — GROUPE II. — CLASSES 6 À 16.,Bologne,Bologna.
