,text,source,class,location
0,PRODUITS D'IMPRIMERIE ET DE LIBRAIRIC. 2] EMPIRE D’AUTRICHE,Paris1867_Austria_0.jpg,,
1,"1. Beek (maison Alfred Hülder), àVienne. — Livres de fond.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
2,"3 Braumäller (Guillaume), àVienne. — Livres de fond.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
3,"3. Caumo (Antoine), à Rovéredo(Tyrol). — Epreuves de typographie.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Rovéredo
4,"4. Corporation des libraireset des marchands d’estampes,à vienne. — Livres, musique et objetsd'art.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",vienne
5,"5. Demel (J.R), à Olmütz (Mo ravie). — Publication périodique et. livres.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Olmütz
6,"6. Direction impérialeroyalcde Ia vente des livres d’enseignement, à Vienne. — Mosumentagraphics medii ævi.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
7,"7. Emieh (Gustave), à Pesth (Hongrie) — Epreuves typographiques,livres, illustrations’, chromotypies.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Pesth
8,"8. Engel (H.) et fils, à Vienne. —Epreuves de typographie et de lithographie.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
9,"9. Imprimerio et lithographiearchiépiscopales, à Erlau. (Hongrie).— Album Bartakovicz; Gulenberg,premier journal typographique publiéen Hongrie.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Erlau
10,"10. Finsterbeck (Charles), àVienne, Schattenhof. — Tableaux d'épreuves de typographie et chromo typie.At. Fôrster (Chovr Henri de) àVienne, Elisabeth strasse, ",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
11,142. —. Epreuves de zincographie.,Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",
12,"12. Froning (Ferdinand), à Vienne,Reiter gasse, ",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
13,9. — Epreuves de xylographie.,Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",
14,"43. Fuchs (Ignace), à Honsat(Hongrie).— Epreuves d'impression.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Honsat
15,"144. Gerold (Charles) fils, à Vicane.— Livres de fond, épreuves de typographie.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vicane
16,"45. Hartinger (Antoine) et fils, àVienne, Wariahilfe strasse, ",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
17,417. — Tableaux et ouvrages chromolithographiques.,Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",
18,"46. Haurand (C.W.F.), à Vienne,Schmelz gasse, ",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
19,5. — Journal illustréuniversel d'agriculture et de sylviculture.,Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",
20,"17. Hers (Jean), à Pesth (Hongrie),Palatin gasse, ",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Pesth
21,3. — AlbumForray.,Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",
22,"18. Hermfeld Bauer, à Vienne,Prater strasse, ",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
23,42. — Livrés do fond.,Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",
24,"19. Hofmsann (F.W.), à Vienne. —Livres.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
25,"2%. Môlsel (Edouard), à Olmütz(Moravie). — Tableaux imprimés encouleurs, chromolithographies.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Olmütz
26,"4. Imprimerie de courimpérialeroyale et de l'Ftat,à Vienne. — Epreuves de typographie,de chromolithographie et de xylographie.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
27,"2. Institut impérialroyalde géologie, à Vienne. — Annaleset inémoires de l'institut impérialroyal de géologie.ayer (Vincent), à Cracovie (Gallicie).— Livres.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
28,"2. Keber (IgnaceLéopoldi, àPrague (Bohème). — Livres de fond etpublications illustrées.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Prague
29,"25. Lauffer frères, à Pesth (Hongrie). — Livres.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Pesth
30,"2%. Lechner (Rodolphe), à Vienne.— Livres de fond.",Paris1867_Austria_0.jpg,"CLASSE 6 — PRODUITS D'IMPRIMERIE
: ET DE LIBRAIRIE,",Vienne
31,"27. Miethlke Wawra, à Vienne,  Plankengasse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
32,7. — Epreuvos de gravuro.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
33,"%. Mohovick (Emile), à Fiume(littoral hongrois). — Epreuves de lithographie, livres.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Fiume
34,"2. Neunann (L.:F.), à Vienne,Koblmarkt, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
35,18. — Epreuves de lithographie et de chromolithographie.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
36,"30. Paterno (F.), à Vienne, Maroccaner gasse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
37,"2.— Impressions en tailledouce, chromolithographies, lithographies.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
38,"31. Pollak frères, À Pesth (Hongrie), ZweiAdler gasse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
39,94.—Epreuvesde typographie.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
40,"82. Reifrenstein et Rôüsch, àVienne, AMothestern gasge, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
41,94. —Epreuves chromolithographiques etobjets d'art lithographiés.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
42,"33. Reis (Henri), à Vienne, Rennwé",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
43,"6g, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
44,"15, — Chromotyples artistiquesexécutées à la presse typographique.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",la
45,"4. Sehineider :Théodore), à Gratz{Styrie). — Epreuves de lithographie,cartes géographiques.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Gratz
46,"35. Schumacher (Antoine Wagner),à Innspruck (Tyrol). — Livres imprimés en Caractères mongols.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Innspruck
47,"36. Siegor (Edouard), à Vienne,Robert gasse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
48,2. — Impressions lithographiques et typographiques.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
49,"87. Sommer (Léopold), à Vienne,Alser strasse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
50,99. — Epreuves d'impression.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
51,"88. Stamm (Dr Ferdinand), àVienne, Schlüssel gagse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
52,23. — Littérature technique.,Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
53,"39. Stückhalser de Hirsehfeld(Joseph), à Vienne, Czernin gasse ; ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
54,"40.— Annonces en grand format, livrescontenant des épreuves typographiques.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",
55,"40. Stou (Joseph); à Vienne, Andreas gasse, ",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
56,"40. — Lithographies artistiques. M. Waldheïm (R. de), à Vienne.— Epreuves xylographiques, Zincogrsphiques et typographiques.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
57,"42. Famarsli (L.C.), à Vienne. — Epreuves de typographie.",Paris1867_Austria_1.jpg,"90 GROUPE If, — AUTRICHE. — CLASSE 8.",Vienne
58,"4. Abrianft (Dominique), à Trente(Tyrol).—Encres à écrire et à ‘copier.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Trente
59,"2. Mecher (Edouard), à Vienne,Hundsthurmer strasse, ",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Vienne
60,46. — Albums pour photographies.,Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",
61,"8. Doppler (Jean), à Salzbourg. —Pèselettres en marbre orné de vuesde ",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Salzbourg
62,8alzbourg et des environs.,Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",
63,"4. Ecksleln (Albert), à Jaudenzdorf, près Vienne.— Papierparcheminbrut et ouvré.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Jaudenzdorf
64,"5. Elchman et Cie, à Arnau(Rohôme). — Papier à la mécanique.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Arnau
65,"6. Fabrique de papier, à Hermanetz, près Neuschl (Hongrie). —Papiers.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Hermanetz
66,"1. Fischer Binder, à Heltau,près de Hermannstadt (Transylvanie).— Papiers.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Heltau
67,8. Fucbs (Ignace)(Hongrie). — Reliures.,Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",
68,"9. Grell (François), à Vienne, Zollergasse, ",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Vienne
69,8. — Toiles pour peintres etcouleurs à l'huile.,Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",l
70,"40. Groner (Léopold), à Vienne,Wildpretmarkt, ",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Vienne
71,8. — Reliures deluxe.,Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",
72,"41. Hardimuaïh (L.) et Oise, à Budweis (Bohôme). — Crayons, pastelg'ettablettes élastiques.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Budweis
73,"42. Moffmeiler (Jules), à Prague(Bohême), et À Vienne. — Encre àcopier.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Prague
74,"143. Horn (François), à Triesto(Littoral). — Reliures.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Triesto
75,"44. Huhn (Charles),(Bohême). — Couleurs.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",
76,"45. Jacob (Louis) et Cie, à Roveredo (Tyrol). — Papiors.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Roveredo
77,"16. Knepper (W.) et Cie, à Vienne. .— Cartes à jouer, papier à cigarettes.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Vienne
78,"47. Leldesdorf (L.P) et Cie, àEbenfunth, OberEggendorf, à WienerNeustadt, à Vienne, Seitzer gasse. —Papiers.",Paris1867_Austria_1.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",WienerNeustadt
79,"48. Lelsner (M.L.), à Pesth (Hon&rie). — Livres de commerce et d'in à Neusalta à Prague APPLICATION DU DESSIN FT DB LA PLASTIQUE AUX ARTS USUELS. ",Paris1867_Austria_2.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",Pesth
80,"94 dustrie réglés, ouhiers réglée pourles écoles.",Paris1867_Austria_2.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",
81,"49. Lorens (F) fils, à [Arnau{Bohêôme). — Papier à la mécanique.",Paris1867_Austria_2.jpg,"CLASSE 7. — OMRETS DE PAPETERIE;
RELIURES ; MATÉRIEL DES ARTS DE LA
PEINTURE ET DU DESSIN,",la
