,text,source,class,location
0,"ITALIE. GROUPE II. ÉDUCATION ET ENSEIGNEMENT.MATÉRIEL ET PROCÉDÉS DES ARTS LIBÉRAUX.  Amati (Chevalier À.), à Stradella (Pavie). — Tableaux géographiques statistiques. 3Angelini (R.), à Rome. — Exercices gradués d'écriture grecque et cahiers pour lesditsexercices. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Stradella
1,"16 Baragioln (E.),à Côme. — Exercices de grammaire et nomenclature pour les écolesprimaires À Barbirolli (Chevalier, J.B.), à Florence. — Cartes pour enseigner la musique auxenfants. A",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Côme
2,"0 Bert (A) fils, président du comité de direction de l'École suisse, à Gênes, et Kumz(M), professeur, directeur des études à la même école. — Cartes géographiques plas . tiques exécutées, en partie, par les élèves de l'École supérieure suisse pour les jeunespersonnes, ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Gênes
3,"31Benedetti [D'F.), président du comice agricole de Gonegliano, à Trévise, — Le vieilagril , maître du peuple, ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Trévise
4,100 leçons de culture; Catéchisme agricole populaire àl'usage des cultivateurs ttaliens. ' ,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",l
5,"47 Bistolfi (J.), maître à l'Institut des aveugles, à Gênes. — Carte géographique d'Italie àY des aveugles. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",l
6,"27 Brianzi (L.), à Milan. — Grammaire de la langue francaise. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan
7,"18 Cann (T.), professeur, à Florence. — Grammaire théoriquepratique de la langue anglaise;livres de lecture anglaise. k ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Florence
8,"19 Cantu (C.), à Milan. — Dixsept livres d'éducation.Carpené (D' À), à Conegliano {Trévise). — Petit traité d'énotechnie.Castelli (J.), à Turin. — Traité de calligraphie, avec divisions. “ÆContäni (C.), professeur, à Rome. — Traité d'hygiène populaire à l'usage des écoles primaires et des maisons d'éducation. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan
9,"45De Castro (V.), professeur, président de la Société d'initiative des jardins d'enfants, àMilan. — Appareil didactique Vittorino da Féeltre, pour l'enseignement simultané et graduëde lecture, écriture, dessin et calcul; livres d'éducation pour les écoles primaires. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan
10,"8 Danieli (C.), à Padoue, — Volume Ettore Fieramoscæ, en caractères sténographiques. À  D’Anna (S.), professeur, à Palerme. — Nouveau système musical, méthode pratique;documents sur l'institut Orfeo, à Palerme; compositions des élèves des deux sexes,quatre fugues. at Direction de l'agrieulture , à Rome. — Mémoire concernant l'enseignement élémentaire et spécial agricole. | École des employés des chemins de fer (Directeur: L. Theveuzint, ingé nieur), à Rome. — Documents, règlements et programmes de l'école. Faà di Bruno (Chevalier F.), à Turin. — Écritoire pour les aveugles. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Padoue
11,28 .Franceselhimi (,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",
12,"1°.), à Milan. — Revue hebdomadaire de bachiculture. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan
13,35.Giordane (,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",
14,"5.), professeur, à Turin. — Traité d'hygiène pour élever les enfants. A",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Turin
15,"6 Ferro (C.), à Udine, — Modèles d'écriture anglaise en six cahiers. Ligue véronaise de l’enscignement, à Vérone. — Matériel et modèles pour les jardins de Froëbel; histoire de la ligue de l'enseignement; travaux des élèves ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Udine
16,"4 Ë jardins de Froëbel de la ligue.Luziami (C.), à Pise. — Pédale pour faciliter l'étude du piano aux enfants. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Pise
17,"23Martuseelli (Chevalier D.), à Naples, fondateur et directeur de l'institut Prince de Naples, pour les aveugles, à Naples; matériel pour l'instruction des aveugles; ne des aveugles. Mauro (Chevalier M.A.), à Rome. — Études sur les sons représentés par les lettres de . l'alphabet italien, pour apprendre rapidement à lire et à écrire (livre); lettres, syllabeset mots pour apprendre à lire et à écrire aux soldats (livre). ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Naples
18,"9 Menglhi (J.), à Venise. — L'ouvrier italien {syllabaire); ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Venise
19,3 livres de lecture. ,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",lecture
