text,source,class,location,respones
"ITALIE. GROUPE II. ÉDUCATION ET ENSEIGNEMENT.MATÉRIEL ET PROCÉDÉS DES ARTS LIBÉRAUX.  Amati (Chevalier À.), à Stradella (Pavie). — Tableaux géographiques statistiques. 3Angelini (R.), à Rome. — Exercices gradués d'écriture grecque et cahiers pour lesditsexercices. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Stradella,Stradella
"16 Baragioln (E.),à Côme. — Exercices de grammaire et nomenclature pour les écolesprimaires À Barbirolli (Chevalier, J.B.), à Florence. — Cartes pour enseigner la musique auxenfants. A",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Côme,Como
"0 Bert (A) fils, président du comité de direction de l'École suisse, à Gênes, et Kumz(M), professeur, directeur des études à la même école. — Cartes géographiques plas . tiques exécutées, en partie, par les élèves de l'École supérieure suisse pour les jeunespersonnes, ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Gênes,Genova
"31Benedetti [D'F.), président du comice agricole de Gonegliano, à Trévise, — Le vieilagril , maître du peuple, ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Trévise,Treviso
100 leçons de culture; Catéchisme agricole populaire àl'usage des cultivateurs ttaliens. ' ,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",l,Italia
"47 Bistolfi (J.), maître à l'Institut des aveugles, à Gênes. — Carte géographique d'Italie àY des aveugles. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",l,Genova
"27 Brianzi (L.), à Milan. — Grammaire de la langue francaise. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Milano
"18 Cann (T.), professeur, à Florence. — Grammaire théoriquepratique de la langue anglaise;livres de lecture anglaise. k ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Florence,Firenze
"19 Cantu (C.), à Milan. — Dixsept livres d'éducation.Carpené (D' À), à Conegliano {Trévise). — Petit traité d'énotechnie.Castelli (J.), à Turin. — Traité de calligraphie, avec divisions. “ÆContäni (C.), professeur, à Rome. — Traité d'hygiène populaire à l'usage des écoles primaires et des maisons d'éducation. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Il nome italiano della città è Roma.
"45De Castro (V.), professeur, président de la Société d'initiative des jardins d'enfants, àMilan. — Appareil didactique Vittorino da Féeltre, pour l'enseignement simultané et graduëde lecture, écriture, dessin et calcul; livres d'éducation pour les écoles primaires. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Milano
"8 Danieli (C.), à Padoue, — Volume Ettore Fieramoscæ, en caractères sténographiques. À  D’Anna (S.), professeur, à Palerme. — Nouveau système musical, méthode pratique;documents sur l'institut Orfeo, à Palerme; compositions des élèves des deux sexes,quatre fugues. at Direction de l'agrieulture , à Rome. — Mémoire concernant l'enseignement élémentaire et spécial agricole. | École des employés des chemins de fer (Directeur: L. Theveuzint, ingé nieur), à Rome. — Documents, règlements et programmes de l'école. Faà di Bruno (Chevalier F.), à Turin. — Écritoire pour les aveugles. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Padoue,Rome.
28 .Franceselhimi (,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,Firenze
"1°.), à Milan. — Revue hebdomadaire de bachiculture. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Milano
35.Giordane (,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,Giordano
"5.), professeur, à Turin. — Traité d'hygiène pour élever les enfants. A",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Turin,Torino.
"6 Ferro (C.), à Udine, — Modèles d'écriture anglaise en six cahiers. Ligue véronaise de l’enscignement, à Vérone. — Matériel et modèles pour les jardins de Froëbel; histoire de la ligue de l'enseignement; travaux des élèves ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Udine,Udine
"4 Ë jardins de Froëbel de la ligue.Luziami (C.), à Pise. — Pédale pour faciliter l'étude du piano aux enfants. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Pise,Pisa.
"23Martuseelli (Chevalier D.), à Naples, fondateur et directeur de l'institut Prince de Naples, pour les aveugles, à Naples; matériel pour l'instruction des aveugles; ne des aveugles. Mauro (Chevalier M.A.), à Rome. — Études sur les sons représentés par les lettres de . l'alphabet italien, pour apprendre rapidement à lire et à écrire (livre); lettres, syllabeset mots pour apprendre à lire et à écrire aux soldats (livre). ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Naples,Napoli
"9 Menglhi (J.), à Venise. — L'ouvrier italien {syllabaire); ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Venise,Venezia
3 livres de lecture. ,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",lecture,Milano
"10 < U Ministère de l'instruction publique. — Matériel ct illustrations de J'ensei gnement primaire : dessins des établissements, mobilier et matériel scolaires dés salles u d'asile et jardins d'enfants, et travaux des élèves; dessins des établissements, mobilier etmatériel didactique, et travaux des élèves des écoles primaires; albums de dessins pourles écoles primaires professionnelles, ouvrières et pour les adultes; matériel et agence ment scolaires, travaux des écoles des aveugles et des sourdsmuets; spécimens de dessin des élèves des deux sexes des écoles normales, et travaux dé femmes; collection delivres de texte employés dans les écoles primaires et normales. Ces collections sont illustrées par une monographie spéciale. L ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",l,Roma
"11Municipalité de Rome. — Dessins exécutés par les élèves de l'École municipalepour les ouvriers; dessins exécutés dans l'École du musée des arts appliqués à l'industrie.Muratori (J.), à FinaleEmilia (Modène). — Livre élémentaire d'agriculture; tableausynoptique de la culture en Italie. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",l,Modène
"24 Musso (P.C.), à Turin. — Méthode de lecture et d'écriture simultanées (",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Turin,Torino
"8 tableaux muraux, livre, album et ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,Il nome italiano della città è Milano.
5 tableaux synoptiques). ,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,"Mi dispiace, ma nella stringa che hai fornito non è presente il nome di una città italiana. Posso aiutarti in qualche altro modo?"
"42Orphelinat pour les jeunes filles (Directrice: M"" F. Monavni), à Milan. —Notions sur l'Orphelinat de jeunes filles de Mian et description des devoirs des personnes attachées à cet institut; livres d'éducation employés dans ladite école, compiles par ladirectrice. ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Milan,Milano
"36 Palermo (J.), professeur, à Naples. — Collection de ",Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",Naples,Palermo
168 caractères et alphabets depresque toutes les nations. Û ,Paris_1878_Italy_2.jpg,"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E",,Roma
