City,1,2,3,4,5,6,7,8,9,10,11,12,13
POPOLAZIONE RESIDENTE,1861,1871,1881,1901,1911,1921,1931,1936,1951,1961,1971,1981,1991
Casamassima,6071,6601,7296,8489,10113,9863,8811,9186,10480,10760,10706,12047,14054
Cassano delle Murge,4263,4237,5004,6012,6259,6312,6386,6449,7280,7167,7110,7877,10460
Castellana Grotte,9811,8863,9651,11400,11533,11618,11994,12488,13961,14099,14839,16288,17585
Cellamare,885,857,881,982,997,1089,1213,1293,1415,1534,1556,1589,3016
Conversano,10440,10524,11768,13673,15112,16899,15034,15903,17705,17776,18597,20511,22641
Corato,25189,26367,30798,41739,45307,50010,45026,44661,45467,39452,38579,41198,42750
Gioia del Colle,17583,13256,17056,21851,22414,26234,24241,24312,28127,28645,27385,27411,26290
Giovinazzo,8669,9024,9745,11507,11907,11150,12604,12664,14801,14478,18037,19202,20933
Gravina in Puglia,13902,14139,16551,18197,19665,20874,19768,22179,28676,31977,32299,36226,39261
Grumo Appula,6527,8058,9336,12054,13405,13990,9445,10283,11983,11617,11042,11821,12029
Locorotondo,5890,7467,7301,8289,8883,9144,9547,10005,10370,11178,11651,12390,13418
Minervino Murge,13729,13933,15163,17385,19340,19536,18779,19132,20772,18427,13409,11909,10982
Modugno,7194,8038,8723,10388,10600,10605,10654,11433,13421,13516,20504,33830,37056
Mola di Bari,12596,12181,12274,14490,16530,17148,19787,19831,22901,22852,24020,26161,25847
Molfetta,25528,27251,30466,40641,45413,50299,48574,49361,55962,61684,63625,65625,66839
Monopoli,16486,18681,19608,22169,24697,24729,26746,28856,34437,37095,40487,44155,46733
Noci,8071,8402,10080,11897,12800,13884,14005,14674,16588,16951,16996,18210,19176
Noicattaro,6801,7008,7111,8473,8718,9533,9741,10172,11638,12822,14675,16510,20937
Palo del Colle,8471,12237,10257,12788,13027,13561,11559,12052,13995,13168,13651,14693,18106
Poggiorsini,278,283,331,429,559,652,825,1029,1634,1612,1465,1438,1478
Polignano a Mare,6582,8665,7855,9569,8540,10008,10273,10884,13153,13881,13662,14759,15849
Putignano,10090,10321,12161,13997,15065,17859,16180,16677,19000,19664,22329,25432,26992
Rutigliano,6291,7066,7751,9196,10137,10746,10907,11465,12683,12967,13353,14719,16378
Ruvo di Puglia,12227,15271,18051,23975,26476,27676,26005,25452,26336,23746,23384,23720,24845
Sammichele di Bari,3946,4176,4672,5962,6534,7077,6538,6752,7427,7144,6908,7008,7207
Sannicandro di Bari,4691,5343,5965,7905,8349,8023,8095,8372,9166,8098,7414,7981,8722
Santeramo in Colle,9856,9330,11213,13610,15013,15839,17102,17069,19727,20127,20198,22417,24435
Spinazzola,10337,10166,10548,11532,12224,11214,11299,12020,13162,10850,8433,8073,7817
Terlizzi,18009,18350,21178,23394,24853,24030,21277,21612,22568,21161,22352,24462,26433
Toritto,4988,5512,6565,8341,7836,6943,6533,7037,8524,8005,7230,7538,8331
Trani,23411,25128,26607,32059,31129,36112,30630,31175,34279,38129,40700,44510,50429
Triggiano,6355,6981,8332,10066,10936,11063,12502,13140,15705,15712,17298,20313,24698
Turi,5544,6264,6129,7275,7866,8506,8131,8785,10118,10687,10547,10929,10801
Valenzano,3816,3980,4223,4995,5050,5691,5968,6179,6882,6693,7806,11247,15628
Avetrana,1126,1518,1757,2000,2263,2542,3270,3662,5120,5957,6088,7772,8442
Carosino,1629,1764,1800,2158,2392,2464,3070,3416,4526,4755,4668,5600,5959
