	Number	Name	Place	Description	Pdf
0	3	Amati (Chevalier A.)	Stradella (Pavie)	Tableaux géographiques statistiques	Paris_1878_Italy_0.jpg
1	16	Angelini (R.)	Rome	Exercices gradués d'écriture grecque et cahiers pour lesdits exercices	Paris_1878_Italy_0.jpg
2	4	Baragiola (E.)	Côme	Exercices de grammaire et nomenclature pour les écoles primaires	Paris_1878_Italy_0.jpg
3	40	Barbirouilli (Chevalier, J.-B.)	Florence	Cartes pour enseigner la musique aux enfants	Paris_1878_Italy_0.jpg
4	31	Bert (A.) fils, président du comité de direction de l'école suisse, à Gênes, et  Kaux (M.), professeur, directeur des études à la même école	Gênes	Cartes géographiques plastiques exécutées, en partie, par les élèves de l'École supérieure suisse pour les jeunes personnes	Paris_1878_Italy_0.jpg
5	17	Benedetti (Dr F.), président du comité agricole de Concigliano, à Trévise.	Le vieil agriculteur, maître du peuple, 100 leçons de culture; Catéchisme agricole populaire à l'usage des cultivateurs italiens		Paris_1878_Italy_0.jpg
6	27	Bistolfi (J.), maître à l'Institut des aveugles	Gênes	Carte géographique d'Italie à l'usage des aveugles	Paris_1878_Italy_0.jpg
7	18	Brianzzi (L.)	Milan	Grammaire de la langue française	Paris_1878_Italy_0.jpg
8	30	Cann (T.), professeur	Florence	Grammaire théorique-pratique de la langue anglaise; livres de lecture anglaise	Paris_1878_Italy_0.jpg
9	5	Cantù (C.)	Milan	Dix-sept livres d’éducation	Paris_1878_Italy_0.jpg
10	20	Carpené (Dr A.)	Conegliano (Trévise)	Petit traité d’œnotechnie	Paris_1878_Italy_0.jpg
11	6	Castelli (J.)	Turin	Traité de calligraphie, avec divisions	Paris_1878_Italy_0.jpg
12	49	Contini (G.), professeur	Rome	Traité d’hygiène populaire à l’usage des écoles primaires et des maisons d’éducation	Paris_1878_Italy_0.jpg
13	45	De Castro (V.), professeur, président de la Société d’initiative des jardins d’enfants	Milan	Appareil didactique Vittoria da Feltre, pour l’enseignement simultané et gradué de lecture, écriture, dessin et calcul; livres d’éducation pour les écoles primaires.	Paris_1878_Italy_0.jpg
14	41	Domicili (G.)	Padoue	Volume Ettore Fieramosca, en caractères sténographiques.	Paris_1878_Italy_0.jpg
