Name	Place	Description	Pdf
Candiani (H.) et Cie.	Sesto-Calende (Milan)	Engrais artificiel complet; os non dégelatinés traités par l'acide phosphorique	Paris_1878_Italy_48.jpg
Carecli (L.)	Voghera (Pavie)	Soufreuses pour la vigne de différents systèmes	Paris_1878_Italy_48.jpg
Ferrari (P.)	Asola (Mantoue)	Charrue-bêche å défricher	Paris_1878_Italy_48.jpg
Fojadelli (O.), ingénieur	Milan	Machine pour soufrer la vigne	Paris_1878_Italy_48.jpg
Fracchioni (L.), mécanicien	Plaisance	Charrue	Paris_1878_Italy_48.jpg
Lafuste (J.)	Bologne	Sasseur; machine épuratrice à main	Paris_1878_Italy_48.jpg
Niccoli (P.), professeur-directeur de l'École agricole	Brusegana (Padoue)	Herse à deux dents tournantes	Paris_1878_Italy_48.jpg
Nobilı (F.), avocat	Florence	Semoir distribuant la semence et l'engrais	Paris_1878_Italy_48.jpg
Selbo (J.)	Udine	Égreneur avec ventilateur	Paris_1878_Italy_48.jpg
TardioIi (Chevalier M.)	Piticchio d'Arcevia (Ancône)	Semeuse	Paris_1878_Italy_48.jpg
Tomaselli (J.)	Crémone	Trois charrues; semeuse pour maïs; semeuse pour le froment; machine à espader le lin; machine à éplucher le chanvre mince	Paris_1878_Italy_48.jpg
Veechia (J.)	Plaisance	Batteuse; batteuse pour égrener le trèfle	Paris_1878_Italy_48.jpg
Lezza (S.)	Paris	confiseur. Machine d'un nouveau modèle pour fabriquer les bonbons	Paris_1878_Italy_48.jpg
Piana (V.)	Badia (Rovigo)	Machine à pétrir pour durcir la pâte	Paris_1878_Italy_48.jpg
Poggioli (H.)	Bologne	Machine pour raffiner la farine, à fonctionnement vertical	Paris_1878_Italy_48.jpg
Toselli (J.-B.)	Paris	Appareils d'économie domestique	Paris_1878_Italy_48.jpg
Bavaglin (J.)	Ravenne	Cafetière à vapeur	Paris_1878_Italy_48.jpg
Schiavini (G.)	Pise	Tamis pour la semoule	Paris_1878_Italy_48.jpg
Adragna (Baron J.)	Trapani	Sable fin siliceux pour fabrique le verre	Paris_1878_Italy_48.jpg
Sellaro (G.)	Naples	Modèle d'une fabrique d'acide sulfurique qui fonctionne à Naples	Paris_1878_Italy_48.jpg
Bonvicini (A.), mécanicien	Duemiglia (Crémone)	Pompe pour l'élévation des liquides	Paris_1878_Italy_48.jpg
Bossiso (P. et G.), ingénieurs, constructeurs-mécaniciens	Milan	Locomobile à vapeur de la force de huit chevaux avec chaudière cylindrique	Paris_1878_Italy_48.jpg
Brunetta (J.), constructeur-mécanicien	Vittorio (Trévise)	Cylindre hydrofore nouvelle roue élévatrice de l'eau	Paris_1878_Italy_48.jpg
Chiazzari de Torres (O.), ingénieur	Turin	Pompe-injecteur automatique pour alimenter les chaudières des machines à vapeur avec de l'eau rendue bouillante au moyen de la vapeur perdue	Paris_1878_Italy_48.jpg
