text;source;class;location;respones;LAU_ID;candidate_match_step2_1;candidate_match_step2_2;candidate_match_step2_3;candidate_match_step2_4;candidate_match_step2_5;candidate_match_step2_6;candidate_match_step2_7;candidate_match_step2_8;candidate_match_step2_9;candidate_match_step2_10;candidate_match_step2_11;candidate_match_step2_12;candidate_match_step2_13;candidate_match_step2_14;candidate_match_step2_15;lau_id_step2
1. Dalmasso (Henry), imprimerieroyale, à Turin. — Dictionnaire polyglotte en onze langues, de M. LouisCalligaris.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Turin;Turin;NA;Turin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2. Negro (AugusteFréderic), à Turin. — Ouvrages imprimés; spécimensde typographie.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Turin;The Italian city mentioned in the given string is Turin (Torino in Italian).;001272;Torino;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;001272
3. Pomba (Louis), à Turin.—Publications de la Société de l'union typographique de Turin.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Turin;Turin (or Torino in Italian) is the city mentioned in the string.;001272;Torino;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;001272
4. Gatti (Joseph), à Voghera. —Spécimens de typographie.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Voghera;The Italian city mentioned in the given string is Voghera.;018182;Voghera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;018182
"5. Bernardoni (CièreJoseph , àMilan. — Evangeliarium, Epistolariumet Leclionarium, elc. Documentsdiplomatiques tirés des archives milanaises; Histoire politique, civile etniliteire de la maison royule de Savoie; Statistique générale de la province de Sondrio; Supplément aux vocabulaires italiens de Ghérardini.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Milan;Milan;NA;Milan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6. Vallardi (François), à Milan.Bibliothèque médicale; Encyclopédienationale; collections scientifiques etlittéraires, Dictionnaire des synonymesde Tommaséo; Vocabulaire de la languehalienne de Trinchersa, Bible de Martini.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Milan;Milan (Italian: Milano);015146;Milano;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;015146
"7. Civelli (Joseph), à Milan. — Ouvrages d'architecture; grands concours; la Chartreuse de Pavie; le roiCharlesAlbert; le Dante; MarieLouiseGabrielle de Savoie.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Milan;Milan;NA;Milan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8. Trieste (Maso), souscommissionde Padoue, à Padoue. — Descriptiondes chapelles des Scrosegniet de SaintAntoine, à Padoue. (Voir cl.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Padoue;In the given string, the Italian city mentioned is Padoue, which is the Italian name for the city of Padua.;NA;Padoue;Padua;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9. Antomelli (Joseph), à Venise.—Ouvrages imprimés et reliés.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;Venise (Italian for Venice);NA;Venise;Venice;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10. Locatelli (Lomi et Piucco), àVenise. — Collection des éfremmes véniliennes. .;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;Venice (Venezia);027042;Venezia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;027042
11. Pères Mechitaristes de SaintLazare, à Venise, — Traduction enarménien de la Vie de Jules César, deS. M. Napoléon Il.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;The Italian city mentioned in the given string is Venice (Venise in French).;NA;Venice;Venise;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42. Triantañilo (Christophe), àVenise.— Œuvres brochées et reliées.;Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Venise;Unfortunately, the provided string does not contain the name of an Italian city.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13. Gozszadini (Jean), à Bologne.—Tombeaux étrusques découverts prèsde Bologne; nécropoles découvertes àMarzabotto, près Bologne.";Paris1867_Italy_0.jpg;"CLASSE 6..— PRUDLITS D'IMPRIMERIE
ET DE LIBRAIRIE.";Bologne;Bologna;037006;Bologna;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;037006
