PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
1,Estler,Anton,,,,,"Meine Verfahrungsart aus allen Getreide-Stroh-Gattungen ohne mindesten Zusatz von anderen
Substanzen ordinäre und die edelsten Papiere zu verfertigen; wie hier dieses Blat und jenes
worauf der Kupferstich ist, ...",Strohpapier,Wien,1816,18.02.1816
2,Ofenheimer,Anton,,,,,"Das Gebrüder Ofenheimersche Lack-Lake (roter Indigo) als Cochenille Ersatz und Mittel zur
Schellackerzeugung","Cochenille, Schellack, Lak-Lake, Indigo",Wien,1816,10.06.1816
3,Rupprecht,Joseph,,,,,Badeapparat mit Brennstoffeinsparung,Badeofen,Wien,1821,07.04.1821
4,Voigtländer,Johann Friedrich,,,,,Beschreibung der periskopischen Gläser und charakteristischen Kennzeichen derselben,"Periskopische Gläser, Brille",Wien,1816,06.09.1816
5,Strauss,Anton,,,,,Erfindung einer Druckmaschine,Druckmaschine,Wien,1815,02.12.1815
6,Koehler,A.C. Frh.v.,,,,,"Erfindung ..., daß man vermittelst einer Maschine in den Stand gesetzt wird, die Güte der
Schafwollensorten, in Beziehung auf die Stärke des Haares, genau und untrüglich zu messen",Wollmesser,Zwickau/Sa.,1823,18.06.1823
7,Schafzahl,Franz Xaver,,,,,Beschreibung der Maschinen Nägel - Modelle in 1/4 Maßstabe,Nagel,Graz,1816,18.04.1816
8,Mayer,Blasius,,,,,"Beschreibung über das dem Unterzeichneten ... verliehene Privileg über seine
Nägelerzeugungsmaschine",Nagel,Wien,1818,20.11.1818
9,Leppich,Caspar,,,,,Beschreibung meiner neu erfundenen Nägel-Erzeugungs-Maschine,Nagel,Wien,1818,15.10.1818
10,Bischof,Thomas,,,,,"Beschreibung der erfundenen Maschine ""Mühlstuhl"", auf welcher nicht nur ... Seidenbänder,
sondern alle Gattungen Zeuge, durch eine sitzende Person gewoben werden können",Bandstuhl,Wien,1816,20.02.1816
11,Mallat,Anna,,,,,"Eine Erzeugung von Weineinschlage, statt mit Leinwand mit Holz","Weineinschlag, Weinfaß",Znaim,1821,04.09.1821
12,Russwurm,Augustin,,,,,"Beschreibung eines Malz-, Flachs-, Obst- etc. Dörrofens","Dörrofen, Malzdörre, Obstdörre,
Flachsdörre",Iglau,1823,27.05.1823
13,Kissling,Johanna,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, Hüte aus geflochtener Seide, welche die
florentinischen Hüte an Schönheit und Dauer übertreffend, und, ohne der Schönheit des
Geflechtes zu schaden, geputzt werden können",Hut,Wien,1821,04.02.1821
14,Pfundheller,Josef,,,,,Beschreibung der Seidenhaartouren und des Seidepelzwerks,"Perücke, Seidepelzwerk",Wien,1821,09.11.1821
15,Tedeschi,Anton,,,,,"Beschreibung meiner Entdekkung, Lederabfälle in Pappe/Pappendeckel/ und lederartiges Papier,
oder papierartiges Leder zu verwandeln","Pappe, Papier, Lederabfälle",Wien,1821,20.03.1821
16,Kinzel,J. Christoph,,,,,Beschreibung des Mobile intervallatum samt seinen sechs Mutationen,"Mobile intervallatum, Getriebe",Prag,1821,15.06.1821
17,Ehrnfeld,Thaddaeus,Sechs,Julius,,,Beschreibung der von mir ... neu erfundenen Getreide-Setzmaschine,Sämaschine,Wien,1821,11.09.1821
18,Klein,Ignaz,,,,,Die Bestandtheile und die Verfertigung dieser Fleck- und Frauenzimmer-Putzseife,"Seife, Fleckputzmittel",Innsbruck,1821,24.09.1821
19,Tumfort,Franz,,,,,"Beschreibung des aus vierundzwanzig Gängen ... auf einen ganz neu verbesserten Mühlstuhl,
welcher Stuhl ... jedoch von einer Person betrieben werden kann",Bandstuhl,Wien,1821,08.12.1821
20,Waldhoer,Karl,,,,,"... neuen Erfindung, welche ... darin besteht, daß mittels einer neu erfundenen Ladehebemaschine
in Verbindung mit der Steiglade auf Seidenbandschübstühlen alle Gattungen Seiden-Mode-Bänder
erzeugt werden","Bandstuhl, Ladehebemaschine,
Seidenband",Wien,1822,
21,Felix,Gregor,,,,,"... Erfindung, daß er alle gebrannten Wässer sowohl mit Zukker versüßen als solche mit
aromatischen Gerüchen ... verfertigen könne","Branntwein, Likör",Wien,1822,28.08.1822
22,Grumüller,Franz,,,,,"Beschreibung über drei Stück sogenannte Fältelzangen nebst eine zum Faltellegen benötigende
Rolle",Plissiermaschine,Wien,1822,
