PRO_COM;year;patents_austria
1272;1832;2
1272;1840;1
1272;1847;1
10025;1822;1
10025;1824;1
10025;1827;1
10025;1842;1
12076;1822;1
13075;1806;1
13075;1821;2
13075;1822;1
13075;1824;2
13075;1827;1
13075;1832;1
13075;1833;1
13075;1834;1
13075;1835;1
13075;1836;2
13075;1841;2
13075;1842;1
13075;1845;1
13075;1846;1
13075;1847;1
13075;1850;1
13124;1811;1
13124;1817;1
13124;1843;2
13189;1845;1
13229;1847;1
13231;1827;1
15146;1804;1
15146;1808;1
15146;1810;1
15146;1811;1
15146;1816;2
15146;1817;3
15146;1818;2
15146;1820;2
15146;1821;11
15146;1822;6
15146;1823;16
15146;1824;21
15146;1825;20
15146;1826;10
15146;1827;5
15146;1828;8
15146;1829;7
15146;1830;10
15146;1831;7
15146;1832;4
15146;1833;4
15146;1834;7
15146;1835;7
15146;1836;13
15146;1837;9
15146;1838;6
15146;1839;13
15146;1840;13
15146;1841;9
15146;1842;15
15146;1843;16
15146;1844;16
15146;1845;18
15146;1846;16
15146;1847;12
15146;1848;1
15146;1850;2
15149;1826;1
15149;1828;1
15149;1838;1
16008;1844;1
16024;1821;2
16024;1823;1
16024;1826;1
16024;1827;1
16024;1829;1
16024;1830;1
16024;1842;1
16024;1844;2
16024;1846;1
17029;1823;4
17029;1825;1
17029;1826;1
17029;1827;1
17029;1828;2
17029;1829;1
17029;1833;1
17029;1834;1
17029;1836;1
17029;1837;1
17029;1838;1
17029;1840;2
17029;1844;1
17029;1850;1
17078;1823;1
17187;1822;1
17187;1825;1
18110;1814;1
18110;1823;1
18110;1824;1
18110;1827;1
18110;1837;1
18110;1841;1
18110;1844;1
18110;1845;2
18110;1847;1
19036;1813;1
19036;1825;2
19036;1829;1
19036;1834;2
19036;1850;1
20017;1827;1
20030;1828;1
20030;1833;1
20030;1847;1
20038;1846;1
21008;1825;1
21008;1829;1
21008;1836;1
21008;1845;1
21013;1826;1
22141;1827;1
22161;1821;1
22161;1845;2
22205;1847;1
23091;1821;1
23091;1822;3
23091;1823;2
23091;1825;2
23091;1836;1
23091;1838;1
23091;1839;1
23091;1844;3
23091;1845;1
24012;1846;1
24116;1824;1
24116;1825;1
24116;1829;1
24116;1835;1
24116;1847;1
25021;1822;1
26070;1823;1
26086;1844;1
27042;1821;3
27042;1822;2
27042;1823;4
27042;1824;4
27042;1825;4
27042;1826;2
27042;1827;1
27042;1828;3
27042;1829;4
27042;1830;3
27042;1831;2
27042;1833;3
27042;1834;5
27042;1835;2
27042;1836;1
27042;1837;6
27042;1838;4
27042;1839;4
27042;1840;8
27042;1841;1
27042;1842;2
27042;1843;6
27042;1844;8
27042;1845;4
27042;1846;6
27042;1847;3
27042;1850;1
28060;1822;1
28060;1823;1
28060;1826;1
28060;1828;1
28060;1830;1
28060;1831;1
28060;1832;1
28060;1833;1
28060;1835;2
28060;1839;1
28060;1840;2
28060;1843;1
28060;1847;2
30003;1839;1
30129;1821;1
30129;1826;1
30129;1846;1
31007;1827;1
31007;1830;1
31007;1834;1
32006;1822;1
32006;1823;1
32006;1826;3
32006;1827;3
32006;1828;4
32006;1829;3
32006;1830;2
32006;1832;1
32006;1833;2
32006;1835;3
32006;1836;2
32006;1837;1
32006;1838;1
32006;1839;3
32006;1840;5
32006;1841;3
32006;1842;3
32006;1843;4
32006;1844;1
32006;1845;1
32006;1846;1
32006;1847;3
32006;1849;1
32006;1850;1
32006;1851;1
33032;1847;1
67037;1837;1
88009;1828;1
93033;1822;1
93033;1823;1
93041;1845;1
