PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,,"Beschreibung der ... Verbesserung ..., welche ... darin besteht, alle Gattungen gedruckte, gefärbte",,,,,
"",,,,,,,,"und ungefärbte, färtige Schnittwaaren, durch zusammengesetzte verschiedene Materie, so zu",,,,,
"",,,,,,,,,"Schnittware/Lagerung,",,,,
265,Spitzer,B.,,,,,,"bereiten, daß dieselben sie mögen Jahre lang liegen sowohl in feuchten als tockenen Lokalen von",,Wien,,1824,21.08.1824
"",,,,,,,,,Lagerung/Schnittware,,,,
"",,,,,,,,"jedem Ungeziefer rein, und der Faulung befreut sind, ihre gute Farbe erhalten und in der besten",,,,,
"",,,,,,,,Qualität bleiben,,,,,
"",,,,,,,,"Beschreibung über einen neu erfundenen Destillir- und Bren-Apparat, wovon weder im Inn- noch",,,,,
266,Ehrenfeld,Anton,,Ehrenfeld,Jakob,,,,"Branntwein, Essig, Destillierapparat",Wien,,1828,
"",,,,,,,,"Auslande ein enhlicher bestehen dürfte, ...",,,,,
267,Estler,Anton,,Haumer,Joseph,,,Beschreibung der Verbesserung und Veredelung der österreichischen Biere,Bier,Wien,,1824,04.01.1824
"",,,,,,,,"... zeigt ... an, eine Verbesserung an der Anton Estlerischen Bierverdelungsmethode gemacht zu",,,,,
268,Felix,Gregor,,,,,,,"Bier, Bierfaß",Wien,,1825,14.09.1825
"",,,,,,,,haben,,,,,
269,Chandless,George,,Chandless,John,,,Description de Tanner et conoyer de la manique Suivante,"Gerberei, Leder",Theresienfeld,,1825,10.11.1825
270,Lieberger,Julius Gottlieb,,,,,,Beschreibung und Zeichnung meines neu entdeckten Apparats zum Brandwein-Brennen,"Branntwein, Destillierapparat",Wien,,1823,16.05.1823
"",,,,,,,,Hierin sind enthalten die Beschreibung und Zeichnung über die ... neu erfundenen Apparate zu,,,,,
271,Berthold,August,,,,,,Destilirung- und Reinigung aus verschiedenen Natur-Produkten zu erzeugenden Brandweines und,Destillierapparat,Wien,,1824,24.06.1824
"",,,,,,,,"Liqueure in Verbindung mit einer Kochanstalt und Essig-Erzeugung, ...",,,,,
272,Schmit,Andreas,,Stubenrauch,Peter,,,Das Silber aus dem sogenannten Schlieff auf eine chemische Art zu ziehen,"Silber, Schlief",Wien,,1826,12.09.1826
"",,,,,,,,Beschreibung einer ... ganz neu erfundenen Weinpreßmaschine zum entschiedenen Vortheil aller,,,,,
273,Jaege,Johann,,,,,,,Weinpresse,Nikolaus,,1821,03.05.1821
"",,,,,,,,Weinerzeuger in den k.k.österreichischen Staaten,,,,,
"",Pouchin de,,,Pouchin de,,,,,"Hanf, Flachs, Hanf Brechmaschine,",,,,
274,,Achille,,,Giuseppe,,,"... L'Importantissima Scoperta della Maciulla Meccanica Purale, ...",,Milano,,1825,12.05.1825
"",LaRoche,,,LaRoche,,,,,Flachsbrechmaschine,,,,
"",Pouchin de,,,Pouchin de,,,,,,,,,
