PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione della nuova invenzione che ... consiste in Sostanza in una Macchina Idraulica posta in,,,,
2468,Zanetti,Napoleone,,,,,"Windmotor, Schöpfwerk, Getriebe",,Venezia,1838,05.08.1838
"",,,,,,,movimento mediante un ventilatore ... [Windmotor],,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: daß der bey der Verkoaksung der Steinkohlen sich bildende",,,,
2469,Marchesani,Louis Christoph,,,,,"Steinkohlentheer besser condensirt und aufgefangen u. zugleich die Verkoaksung selber besser ... Steinkohle, Koksofen, Teer",,Wien,1838,17.12.1838
"",,,,,,,regulirt werden kann,,,,
2470,Romer,Stephan Edl.v.,,,,,"Beschreibung des neuen Trocknungsapparates ... Zündholz, Trockenapparat",,Wien,1839,22.01.1839
"",,,,,,,"Beschreibung und Zeichnung der ... Verbesserung an Pianofortes, ...: Mittelst einer sehr einfachen",,,,
2471,Streicher,Johann Baptist,,,,,"Verspreitzung von metallenen Röhren, sowohl an Flügel- als Tafelförmigen Pianofortes jede bisher Klavier",,Wien,1835,27.08.1835
"",,,,,,,unter dem Resonanz-Boden nöthig gewesene Verbauung der Corpus-Zarge entbehrlich zu machen,,,,
"",,,,,,,Descrizione della nuova scoperta ... che ... consiste in sostanza [in fabbricazione della] Carta ...,,,,
2472,Boussu,Benedetto,,,,,"Hadern, Papier",,,1837,19.04.1837
"",,,,,,,[Papier],,,,
2473,Woytech,Thomas,,,,,Beschreibung der Verbesserung der Jaquard-Maschine ... Jacquardmaschine,,Wien,1838,03.04.1838
2474,Demel,Franz,,,,,Beschreibung der neuen Erfindung und rücksichtlich Verbesserung der Billiards Billiard,,Wien,1838,12.05.1838
2475,Sammer,Joachim,,,,,"Beschreibung der ... erfundenen, construirten, verkleinerten Ankündigungstafel, ... Plakatierungstafel, Zeitungshalter",,Wien,1838,03.12.1838
"",,,,,,,Beschreibung der neuen Erfindung Leinwand und Carton Tüchl mit blauen Farben zu färben und zu,,,,
2476,Leitner,Salomon,,,,,"Zeugdruck, Färben, Blau",,Wien,1824,07.08.1824
"",,,,,,,"drucken, ...",,,,
"",,,,,,,"Beschreibung und Zeichnung der ... an den Eisenbahnwagen und Eisenbahnwagen-Rädern sowie Eisenbahnwagen, Hängebahn,",,,,
2477,Fischer,Andreas,,,,,,,Wiliczka,1838,18.08.1838
"",,,,,,,"an den schwebenden Eisenbahnen gemachten Verbesserungen, ... Transport",,,,
2478,Hollaender,Benjamin,,,,,Beschreibung der ... Verbesserung bei dem Destillirapparate für geistige Getränke Destillierapparat,,Bielitz,1836,26.06.1836
"",,,,,,,"Mühle, Destillierapparat, Schleifstein,",,,,
"",Smolenitz -,,,,,,"Beschreibung einer neuen Dampfmühle, eines damit verbundenen Branntwein Brenn-Apparates,",,,,
2479,,Nikolaus R.v.,,,,,"Hobelmaschine, Backofen, Dörrofen,",,Wien,1829,12.01.1829
"",Smolk,,,,,,"einer Schleiferey, Hobelmaschine, dann eines Back-, Dörr- und Trokken-Ofens",,,,
"",,,,,,,Trockenapparat,,,,
"",,,,,,,"Meine Erfindung aus- in geeigneten Verkohlungs-Oefen, wie man solche zur Erzeugung guten",,,,
