PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung einer neuen Vorrichtung zu pneumatischen hydrostatischen Spritzbädern und,,,,,
2783,Boettger,,Wagenmann,Karl,,,"Douchebädern, von uns Fontainebad Apparat genannt, welche man zugleich als fontaine zur","Bad, Kühlapparat",Wien,,1840,02.08.1840
"",,,,,,,Abkühlung der Zimmer benutzen kann,,,,,
2784,Gavazzi,,Quinterio,,,,"Disegno di un Battello a vapore per le acque ... [Dampfboot]. [Nur Zeichnung, Text fehlt]",Schiff,,,1841,
"",,,,,,,"Beschreibung der von Felix Droinet, Civil Ingenieur zu Paris, gemachten Erfindung, aus asphalt",,,,,
"",,,,,,,"oder festem Erdharz ... ein vortreffliches Leuchtgas zu erzeugen, - dann aus den verbleibenden",,,,,
"",,,,,,,,"Asphalt, Leuchtgas, Gasbeleuchtung,",,,,
2785,Droinet,Felix,,,,,"Resten mit Pech und anderen Bestandtheilen gement, eine ganz neue ... sehr festwerdende",,Wien,,1838,18.05.1838
"",,,,,,,,Plastische Masse,,,,
"",,,,,,,"Masse zu bilden, welche Steine, Gußeisen u. Eisenblech ersetzt, u. an Orten, die der Feuerhitze",,,,,
"",,,,,,,"nicht ausgesetzt sind, zu ... Bauführungen verwendet werden kann",,,,,
"",,,,,,,Beschreibung zu dem Gesuche ... über ein neues für jede Gattung Wägen anwendbares System,"Wagen, Federung/Wagen,",,,,
2786,Droinet,Felix,,,,,,,Wien,,1839,16.04.1839
"",,,,,,,"mit zwei wesentlichen Verbesserungen: Unmöglichkeit des Umwerfens, und articulirtes Gehänge",Aufhängevorrichtung,,,,
"",,,,,,,Beschreibung der ... Verbesserung in der Construcion der Kochöfen und Sparherde: gründet sich,,,,,
2787,Grundner,Michael Johann,,,,,,Kochherd,Wien,,1839,21.05.1839
"",,,,,,,"auf die anwendung der sonst unbenizt entweichenden Wärme, ...",,,,,
"",,,,,,,Beschreibung der ... Verbesserung ...: Regenschirme ... in einem wie Spazierstock geformten ... von,,,,,
2788,Reuter,Simon,,,,,,"Regenschirm, Sonnenschirm, Stock",Wien,,1839,02.07.1839
"",,,,,,,"dünnem Eisenblech gefertigten Rohre mit sich tragen zu können, ...",,,,,
2789,Armbruster,Fidelius,,,,,Beschreibung der ... neuen Erfindung einer ganz neuen Art von Reactions oder Kreiselräder ...,Wasserturbine,Wien,,1840,26.02.1840
"",,,,,,,"Beschreibung zufolge welcher alle, aus, eine Versilberung annehmenden Metalle, verfertigten",,,,,
2790,Cachedenier,Joseph,,,,,"Erzeugniße und Gegenstände, sowohl mit, als auch ohne Deseins, mittelst Anwendung einer","Versilbern, Mattieren",Wien,,1840,24.06.1840
"",,,,,,,"matten Walze, ein mattes, dem Silber ganz ähnliches Ansehen bekommen, ...",,,,,
"",,,,,,,"Beschreibung meiner neu erfundenen Bau- und Mauerziegelsteine zu fabrizieren, ohne daß",,,,,
2791,Braun,Johann Jakob,,,,,,"Ziegel, ungebrannter",Prag,,1839,30.05.1839
"",,,,,,,"dieselben in Feuer gebrannt werde, und doch sogleich fertig und brauchbar sind",,,,,
2792,Lintz,Franz,,,,,Maschinen Beschreibung der sogenannten Fonasch (oder Rocklitzen),"Kordel, Klöppelmaschine",Wien,,1840,29.09.1840
"",,,,,,,Descrizione della nuova invenzione che ... consiste ... in un meccanismo di naspi per incannatoj di,,,,,
2793,Gallimberti,Camillo,,,,,,Seidenhaspel,Milano,,1836,14.03.1836
"",,,,,,,Sete ... [Seidenhaspel],,,,,
"",,,,,,,Descrizione della nuova invenzione e miglioramento che ... consiste nell'esposizione seguente in,"Hausnummer, Schablone,",,,,
2794,Gloria,Osvaldo,,,,,,,Padova,,1840,17.08.1840
"",,,,,,,un metodo di eseguire la Civica numerazione ... [Hausnummern],Straßenbezeichnung,,,,
2795,Haussner,Philipp,,,,,Beschreibung des ... erfundenen Menschenlocomotives,"Wagen, Getriebe",Wien,,1839,11.12.1839
"",,,,,,,Nuovo metodo e descrizione delle macchine per rendere facile la fabbricazione de Ventaglj ...,,,,,
2796,Biglioli,Ignazio,,,,,,Fächer,Milano,,1836,04.07.1836
"",,,,,,,[Maschine zur Fächererzeugung],,,,,
"",,,,,,,Descrizione del Miglioramento che ... consiste in sostanza la formazione di una Cocchetta per,,,,,
2797,Corbella,Pietro,,,,,"timone di carozze o Carre per due e quattre cavalli, ... [Ansatzstück für Wagendeichseln zum","Wagendeichsel, Vorspannvorrichtung",Milano,,1840,07.05.1840
"",,,,,,,anspannen von mehreren Pferden],,,,,
"",,,,,,,,,Hüttenwerk,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: mittelst eines ... Flammofens des Roheisenfrischens und",,,,,
2798,Schlegel,Joseph,,,,,,"Roheisen, Frischofen, Eisenfrischen","Prevali, Kreis",,1838,24.01.1838
"",,,,,,,"Ausschweißen des gefrischten Produktes, die Braunkohle ... mit dem besten Erfolg anzuwenden ...",,,,,
"",,,,,,,,,Klagenfurt,,,
"",,,,,,,"Von den vierstreifigen Federkielen wie solche bisher zubereitet wurden, und von der Art wie",,,,,
2799,Cimburg,Franz,Dewidels,Abraham,,,,Schreibfeder,Prag,,1835,27.06.1835
"",,,,,,,"solches bei uns, auf der von uns verbesserten Maschine geschiehet",,,,,
2800,Mocenigo,Alois Graf v.,,,,,Déscription d'une Voiture à Vapeur. [Text frz.] [Dampfwagen],Dampfwagen,Wien,,1836,28.05.1836
2801,Wuest,Alois,,,,,"Zur Ausführung meines Privilegiums wird eine Tuchscherer Maschine verwendet, ...",Tuchschere,Wien,,1837,27.06.1837
"",,,,,,,Beschreibung meiner Erfindung Blei- und Rothstifte mit Anwendung neu entdeckter Materialien,,,,,
2802,Hirnschall,Karl,,,,,,"Graphit, Bleistift, Rot, Farbstift",Wien,,1838,05.07.1838
"",,,,,,,zu erzeugen und den Graphit chemisch rein darzustellen,,,,,
"",,,,,,,"Beschreibung des ... Kunst- und Druck Rades, mittelst welchem man ... ohne Dampf alle Strömme,",,,,,
2803,Bestaendig,Klemens,Kastner,Franz Paul,,,,"Getriebe, Perpetuum mobile",Linz,,1839,12.06.1839
"",,,,,,,Flüße und Seen gegen Berg und Tal fahren;- ja bei allen Maschinen ... angewendet werden kann,,,,,
"",,,,,,,Beschreibung der Verfertigung der ... erfundenen Dünntuch Chenillen und Dünntuch Chenillen,,,,,
2804,Hepp,Friedrich,,,,,"Tücher, so wie des Verfahrens, jene in allen Gattungen Seide, Schafwoll und Baumwoll-Stoffe","Chenille, Bandstuhl, Dessin",Wien,,1840,01.06.1840
"",,,,,,,einzuarbeitenden und damit zu figurieren,,,,,
"",,,,,,,Beschreibung über den nach der mitfolgenden Zeichnung verbesserten Mechanismus des,,,,,
2805,Seuffert,Martin,,,,,,Klavier,Wien,,1836,28.05.1836
"",,,,,,,Pianodroit,,,,,
2806,Abate,Stefano,Lorenz,Kaspar,,,"Beschreibunug der neuen Verbesserung, dass Klaviere einen weit stärkeren Ton erhalten","Klavier, Resonanzboden",Wien,,1839,20.07.1839
2807,Salzmann,Karl,,,,,Beschreibung des ... erfundenen horizontal wirkenden Windrades,Windrad,Wien,,1839,10.08.1839
"",,,,,,,"Beschreibung der ... neuen Verbesserung, ..., einen Datumsanzeiger für Bureaux, Comptoir und",,,,,
2808,Girardet,Charles,,,,,,Kalender,Wien,,1839,04.05.1839
"",,,,,,,"Schreibstuben zu verfertigen, ...",,,,,
