PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,,Jahr,Einreichdatum
"",,,,,,,"Beschreibung des zu privilegirenden Apparates zur Anbringung an den Dampfkesselöfen, welchen",,,,,
3072,Vielgut,Ernest,,,,,Funkenfänger,Linz,,,1840,24.08.1840
"",,,,,,,der Unterzeichnete den Funkenzehrer /:vulkan:/ benennt,,,,,
"",Berchtold-,,,,,,,,,,,
3073,,Karl Graf v.,Hoffmann,Joseph,,,Beschreibung der Eisenbahn mit comprimirter Luft Druckluftbahn,Wien,,,1840,29.09.1840
"",Ungerschuetz,,,,,,,,,,,
"",,,,,,,"Beschreibung der von Franz Thiel, Magistratsprotokollist in Bielitz gemachten neuen Erfindung",,,,,
3074,Thiel,Franz,,,,,"Ungeziefer, Vergasung",Bielitz,,,1840,12.01.1840
"",,,,,,,einer Ungeziefer-Tilgungs-Maschine,,,,,
"",,,,,,,Beschreibung der Verbesserung mehrerer schon zum Theil privilegirter Erfindungen und neuer,,,,,
3075,Schuster,Franz R.v.,,,,,"Ofen, Rauchverzehrung",Wien,,,1841,02.09.1841
"",,,,,,,Entdeckungen [in Oefen und Rauchableitungen],,,,,
"",,,,,,,"Beschreibung der neuen Erfindung und Verbesserung in der Eisennägel-Fabrikation, mittelst",,,,,
3076,Hackl,Johann,Schleuchert,Alois,,,"Nagel, Schneidemaschine, Presse",Wien,,,1841,26.10.1841
"",,,,,,,Maschinen auf kaltem Wege,,,,,
3077,Muellner,Anton,,,,,Rezept über das Chemichblau Pariserblau,Wien,,,1841,03.09.1841
"",Romer - Kiss -,,,,,,Meine neue Erfindung: Die Zündhölzchen aller Gattungen vortheilhafter als diess bissher möglich,,,,,
3078,,Stephan Edl.v.,,,,,"Zündholz, Einlegemaschine",Wien,,,1835,28.10.1835
"",Enyitzke,,,,,,war zu erzeugen ...,,,,,
"",,,,,,,"Armband, Handschuhhalter, Leibbinde,",,,,,
"",,,,,,,"Beschreibung ... der ... Erfindung ... elastische Hand Braseleten, Hanschuhälter und Leibbinden von",,,,,
3079,Apfel,Johann,,,,,"Goldwaren, Silberwaren, Bronzewaren, Wien",,,,1839,27.12.1839
"",,,,,,,"Gold, Silber, Bronce oder jedem anderen Metall zu erzeugen",,,,,
"",,,,,,,Galanterie,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß er die an den Beinkleidern zu deren Spannung",,,,,
3080,Offenheimer,Franz,,,,,"angebrachten sogenannten ledernen Strupfen mit einer metallenen Schließe versehe, welche Hosenstrupfe, Schließe",Wien,,,1841,13.12.1841
"",,,,,,,nach Belieben geöffnet und geschlossen werden kann ...,,,,,
"",,,,,,,Beschreibung der bei dem Schmelzen des Eisenerzes angewendeten Verbesserungen oder der,,,,,
"",,,,,,,"Anthrazit, Kalzination, Kalzinierofen,",,,,,
"",,,,,,,Anwendungsart des Anthracits (:Kohlenblende:) zum Schmelzen der Erze und des darauf,,,,,
3081,Manby,John,,,,,"Eisenerz, Verhüttung, Luftvorwärmer,",Paris,,,1837,10.06.1837
"",,,,,,,bezüglichen Verfahrens oder die Anwendung der Anthracit-Kohle zum Schmelzen der Gußerze,,,,,
"",,,,,,,Hochofen,,,,,
"",,,,,,,mittelst erhitzter Luft [Text dt.u.frz.],,,,,
"",Escher -,,,,,,"Beschreibung einer neuen Erfindung eines neuen Stoffes und Einrichtung zum Sieben der Mühler,",,,,,
3082,,Gustav  Albert v.,,,,,Beuteltuch,Zürich,,,1833,01.09.1833
"",Felsenhof,,,,,,Beutelgaz Tambour genant,,,,,
3083,Bauherr,Georg,Reger,Ignaz,,,Beschreibung der verbesserten Nachtlichter Nachtlicht,Wien,,,1841,08.03.1841
3084,List,Klemens,Schoenwaelder,Johann,,,"Beschreibung obigen mechanischen Wagens Wagen, Getriebe",Wien,,,1840,11.11.1840
"",,,,,,,Bitten um ein einjähriges Privilegium auf eine ganz neue Verbesserung 1.) in der Verarbeitung des,,,,,
"",,,,Johann,,,"kautschuks oder Gumi Elasticum in der Kette, wodurch ein schöneres Gewebe erzielt wird. 2.) auf Gummiband, Bandstuhl,",,,,,
3085,Reithoffer,Eduard,Reithoffer,,,,,Wien,,,1840,16.01.1840
"",,,,Nepomuk,,,"eine Einrichtung des Schuhstuhles. 3.) auf eine Schneidmaschine. 4.) auf eine neue Form von Schneidemaschine, Hosenträger",,,,,
"",,,,,,,Hosenträgern,,,,,
"",,,,,,,"Beschreibung des von Carl Eberl, bürgerlichen Hafnermeisters zu Klagenfurt neu erfundenen",,,,,
3086,Eberl,Karl,,,,,Kochherd,Klagenfurt,,,1840,22.09.1840
"",,,,,,,Sparofens ...,,,,,
