PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3099,Luedicke,Hugo,,,,,,Globus Ringe und Bracelets,,"Ring, Armband",Wien,,1840,19.11.1840
3100,Gropius,Ferdinand,,,,,,Beschreibung der Trockenmaschine,,Trockenapparat,Wien,,1840,05.09.1840
"",,,,,,,,"Descrizione della nuova invenzione che ... consiste in sostanza in un apparecchio, ossia congegno,",,,,,,
3101,Cagliani,Pietro,,,,,,"atta atrarre la Seta greggia dai bozzoli ossia filarla, o trarla e lavorarla ... [Seidekokon -",,"Seidenkokon, Seidenhaspel",Milano,,1840,19.10.1840
"",,,,,,,,Seidenhaspel],,,,,,
3102,Scazzosi,Luigi,Villa,,Ignazio,,,Processo per fabbricare la Gelatina alimentare volgarmente detta Colla [Gelatine],,Gallerte,Milano,,1842,24.01.1842
"",,,,,,,,Beschreibung der von Moses Müller neu erfundenen Federn zur hebräischen und deutschen,,"Fraktur, Schreibfeder, Hebräische",,,,
3103,Mueller,Moses,,,,,,,,,Wien,,1842,17.03.1842
"",,,,,,,,Frackturschrift,,Schrift,,,,
"",,,,,,,,"Beschreibung und Zeichnung eines ... neu erfundenen Doppel-Ofens, um in Tiegeln ... zu",,,,,,
3104,Rosthorn,Gerbueder,,,,,,,,"Tiegelofen, Tiegelgußstahl",Wien,,1838,05.01.1838
"",,,,,,,,schmelzen,,,,,,
"",,,,,,,,,,"Stahlrohrmöbel, Tischplatte, Möbel,",,,,
"",,,,,,,,Beschreibung der von Christian Haumann Hoftapezierer zu München und Inhaber zweier,,,,,,
3105,Haumann,Christian,,,,,,,,"Rahmen, Täfelung, Fußboden,",Wien,,1842,12.02.1842
"",,,,,,,,k.k.Oesterr.Privilegien gemachten Erfindung Holz auf Eisen zu fourniren,,,,,,
"",,,,,,,,,,Furnieren,,,,
3106,Pollak,,Preshel,,,,,"Beschreibung einer neuen Erfindung, glimmende Feuerzeuge von Holz zu erzeugen",,Zündholz,Wien,,1842,31.01.1842
"",,,,,,,,Beschreibung der von dem bürgerlichen Handelsmann und Weinhändler Anton Detter zu Krems,,,,,,
3107,Detter,Anton,,,,,,"gemachten Erfindung einer neuen Presse, um den Saft von Trauben, Obst, Oehl und dergleichen",,"Weinpresse, Obstpresse, Oelpresse",Krems,,1838,13.12.1838
"",,,,,,,,Gegenstände möglichst schnell auspressen zu können,,,,,,
"",,,,,,,,Abschrift der Beschreibung meines neuen nachgesuchten Patents meine neue wichtige,,,,,,
3108,Hueber,Franz Anton,,,,,,,,"Pumpe, Ventil",Absam/Tirol,,1834,07.10.1834
"",,,,,,,,"Verbesserung in Stellung der Ventile, ...",,,,,,
"",,,,,,,,,,"Kleidung, Schneiderei, Darmsaite,",,,,
3109,Widiann,Lazar,,,,,,"Beschreibung der ... Verbesserung in einer Naht zu Mannskleider, ...",,,Lemberg,,1837,11.12.1837
"",,,,,,,,,,Zwirn,,,,
"",,,,,,,,Beschreibung: Die Verfahrungsart bey Erzeigung der im beyliegenden Privilegiums Gesuche auf,,"Tonwaren, Töpferofen, Kochherd,",,,,
3110,Hirnschall,Leopold Florimund,,,,,,Verbesserung in der Fabrication vollkommen feuerfester Thonproducte mit gänzlicher Beseitigung,,"Ziegel, Dachziegel, Pflaserstein, Kitt,",Wien,,1838,26.01.1838
"",,,,,,,,des Graphits angegebenen Gegenstände betreffend,,Mörtel,,,,
"",,,,,,,,"Die Beschreibung in einem Bogen und die Zeichnung in einem Blatte, der von Ferdinand",,,,,,
3111,Leitenberger,Ferdinand,,,,,,,,Sämaschine,Reichstadt,,1837,06.11.1837
"",,,,,,,,"Leitenberger k.k.pensionirte Rittmeister aus Reichstadt in Böhmen erfundenen Saemaschine, ...",,,,,,
"",,,,,,,,Beschreibung der von Mathaeus Rosthorn unter der Firma Thomar Mathe gemachten,,,,,,
3112,Rosthorn,Matthaeus Edl.v.,Thomar,,Mathe,,,,,"Lokomotive, Dampfkessel",Wien,,1839,16.11.1839
"",,,,,,,,"Verbesserung an den Dampfkesseln, vorzüglich für Locomotiven geeignet",,,,,,
"",,,,,,,,Beschreibung. 1. Abschnitt: Beschreibung der sogenannten Syphon Krüge oder Flaschen.,,"Siphonflasche, Kohlensäureappart,",,,,
3113,Mathis,Ferdinand,,,,,,"2.Abschnitt: Beschreibung der Maschinen d. Verfahrungsweise zur Bereitung mouss. Weine,",,"Champagner, Sodawasser, Kracherl,",Wien,,1839,25.11.1839
"",,,,,,,,"Wasser & anderer Getränke, der Füllung ...",,Abfüllapparat/Sodawasser,,,,
"",,,,,,,,"Beschreibung der von Vitus Mayer, Inhaber der k.k.priv.Guntramsdorfer Cottonfabrik, gemachten",,,,,,
3114,Mayer,Vitus,,,,,,,,"Zeugdruck, Druckmaschine",Wien,,1840,24.12.1840
"",,,,,,,,"neuen Verbesserung der von mir selbst vor mehreren Jahren erfundenen Modldruckmaschine, ...",,,,,,
"",,,,,,,,Beschreibung zu den beiliegenden Zeichnungen der von mir entdekten Verbesserung der Spinn-,,,,,,
3115,Bracegirdle,Thomas,,,,,,,,Krempeln,Gablonz,,1840,17.12.1840
"",,,,,,,,Krempelmaschine,,,,,,
3116,Dupont,Peter,,,,,,Beschreibung der Verbesserung der Haar-Touren,,Perücke,Graz,,1841,08.12.1841
"",,,,,,,,Beschreibung der Erfindung und Verbesserung: eine neue Gattung Lade mit Nadlstäbe auf Mühl-,,,,,,
3117,Messat,,Moering,,Andreas,Wallner,,,,"Nadelstab, Lade, Bandstuhl",Wien,,1842,10.04.1842
"",,,,,,,,Hand- oder Schubstühlen zu erzeugen,,,,,,
"",,,,,,,,,,"Hanfsamen, Oelsamen,",,,,
3118,Hock,Karl,,,,,,Beschreibung der Hanf-Schälmühle und Enthülsung öhlhaltiger Samengattungen,,"Hanfschälmaschine,",Wien,,1842,10.06.1842
"",,,,,,,,,,Enthülsungsmaschine/Oelsamen,,,,
3119,Mueller,Johann August,,,,,,"Beschreibung der sogenannten englisch-amerikanischen durch Wasser getriebenen Mahlmühle, ...",,Mühle,Leitmeritz,,1841,13.10.1841
"",,,,,,,,"Beschreibung Bücher ohne Nath oder auch mit Nath der Art einzubinden, daß hiedurch eine bisher",,,,,,
3120,Cronberg,Johann v.,Zink,,Anton,,,,,"Buchbinderei, Planieren, Gummi",Wien,,1841,08.07.1841
"",,,,,,,,noch nicht erreichte Elasticität erzielt wird. [Dieses Privilegium wurde später cedirt an Anton Zink],,,,,,
"",,,,,,,,Beschreibung der ... Erfindung ... rücksichtlich eines Destillats unter dem Namen: Eau Cöleste -,,,,,,
3121,Trevani,Hedwig,geb. König,,,,,,,Parfüm,Wien,,1837,27.09.1837
"",,,,,,,,cachucha als Toiletten - Wasser,,,,,,
"",,,,,Marcus,,,Beschreibung der ... Erfindung ...: Alle Gattungen Zündhütchen aus Papier oder Papiermassa mit,,,,,,
