PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Zwei Stück Zeichnungen und Beschreibung der ... Erfindung, welche ... darin besteht: Baumwoll-",,,,,
340,Kespelhofer,Joseph,Odersky,Ernst,,,,Spinnmaschine,Wien,,1823,19.12.1823
"",,,,,,,"Wutzel-Vorspinn- und Water-twist Maschinen zu bauen, ...",,,,,
"",,,,,,,"Beschreibung eines in der Zusammensetzung neu erfundenen Mechanism, zur Bewegung eines",,,,,
"",,,,,,,"Fuhrwerks durch eine Dampfmaschine, um mit einem Wagen zum Laden grosser Lasten als",,,,,
341,Griffith,Julius,,,,,,"Lokomotive, Dampfwagen",Wien,,1821,08.02.1821
"",,,,,,,"Frachtfuhrwerk sowohl, als auch mit leichtem Fuhrwerk zum schnellen Reisen für Menschen, auf",,,,,
"",,,,,,,jeder mit jedem anderen Fuhrwerk befahrbaren Strasse- fortkommen zu können,,,,,
"",,,,,,,Beschreibung neuer Erfindung und Erzeugung einer Weinpunsch-Essenz welches aus Wurzeln und,,,,,
342,Huettling,Karl,Uhel,Moritz,,,,Punsch,Wien,,1823,09.05.1823
"",,,,,,,Kräutern erzeugt wird,,,,,
"",,,,,,,"Beschreibung der ... Entdekkung, welche ... darin besteht: 1. in einem verbesserten Verfahren, den",,,,,
"",,,,,,,"durch ... entstehenden Steinkohlengries und Staub ... mit wenig kostspieligen Bindemitteln, in ein",,,,,
343,Schlegel,Heinrich,,,,,,"Kohlenstaub, Brikett",Wien,,1823,08.09.1823
"",,,,,,,... Brennmaterial in Ziegelform- unter Benennung-Steinkohlen-Torfen- zu verwandeln; 2. in einer,,,,,
"",,,,,,,Siebmaschine wodurch der Steinkohlengries ... sortirt ... werden kann,,,,,
344,Fritz,Anton,,,,,Beschreibung zur Erzeugung der Draht-Schniere und Seile,Drahtseil,Wien,,1824,02.05.1824
345,Vallier,Joseph Maria,,,,,Art der Verfertigung der Baijaderen Corsetts und Brustgürtel,"Korsett, Büstenhalter",Wien,,1829,
346,Spamann,Leonhard,,,,,"Beschreibung der ... erfundenen Bohr- und Schneid-Maschine, für Bürstenbinder ...",Bürstenbinder,Wien,,1821,28.07.1821
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, einen Dampfofen für einen Wagen,",,,,,
347,Kraeuterer,Karl,,,,,"welcher sich von denen bisher bekannten in der Wesenheit dadurch unterscheidet, daß derselbe","Dampfkessel, Lokomotive",Wien,,1824,25.05.1824
"",,,,,,,"von Eisenblech ... verfertigt ist, kein Gemäuer benöthigt, ...",,,,,
348,Alram,Johann,,,,,"Beschreibung über die ... entdeckten Moscoviter gesundheits-Punsch-Getränke, ...",Punsch,Wien,,1826,09.05.1826
349,Koenigsbrunn,Alois Frh.v.,,,,,Beschreibung der ... gemachten neuen Entdeckung und Verbesserung auf Erzeugung von Bier,"Bier, Brauapparat",Graz,,1822,12.08.1822
"",,,,,,,Beschreibung der ... gemachten Erfindung welche in Zusätzen und Verbesserungen seiner bereits,,,,,
350,Koenigsbrunn,Alois Frh.v.,,,,,,"Bier, Brauapparat",Graz,,1823,09.06.1823
"",,,,,,,priv. Braumethode besteht,,,,,
351,Lafite,Friedrich,,,,,Beschreibung eines Bierbräu-Apparates und Anleitung zu dessen Gebrauch,"Brauapparat, Bier",Graz,,1822,18.03.1822
"",,,,,,,"Beschreibung einer ... verbesserten Biererzeugungs-Methode, mittelst seinem Bierbrau-Apparate;",,,,,
352,Lafite,Friedrich,,,,,,"Brauapparat, Bier",Graz,,1822,27.06.1822
"",,,,,,,...,,,,,
"",,,,,,,"Beschreibung einer Bier-Erzeugungs-Methode, welche vom Gefertigten nach ganz eigener Idee",,,,,
353,Lafite,Friedrich,,,,,,Bier,Graz,,1823,20.05.1823
"",,,,,,,"und Ausführung, ...",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß durch einen Dampf-Apparat unter",,,,,
354,Pack,Anton,,,,,,"Bier, Branntwein, Destillierapparat",Wien,,1823,24.03.1823
"",,,,,,,einen zugleich Bier und Brandwein erzeugt werden können,,,,,
"",,,,,,,Verfahren Bey Verfertigung von entkohlten Stahlplatten zum Gebrauche für Kupferstecher und,,,,,
355,Stoeber,Franz,,,,,,"Entkohlen, Stahlstich, Kupferstecher",Wien,,1828,24.12.1828
"",,,,,,,das Härten derselben nach dem Stiche,,,,,
"",,,,,,,"Beschreibung der ... erfundenen Hüteappretirung, bestehend in einer besonderen neuen Steife",,,,,
356,Reitter,Michael,,,,,,Hut,Wien,,1827,01.10.1827
"",,,,,,,und Lasur,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, verschiedene Sorten Waaren von 13",,,,,
"",,,,,,,"lothigen Wiener Prob Silber als Kaffee Punsch und Thee Maschinen, Kaffee- Milch- und Thee-",,,,,
357,Wuerth,Alois Johann,,,,,,Silberwaren,Wien,,1823,12.12.1823
"",,,,,,,Wasser Kannen Kaffee Tassen Trinkbecher alle Gattungen Leuchter etc. auf eine wet schnellere,,,,,
"",,,,,,,und schönere und auf den höchsten Grad der Vollendung gebrachte Art zu verfertigen,,,,,
"",,,,,,,"Beschreibung der ... Verbesserungs-Entdeckung, welche ... darin bestehen soll, daß die",,,,,
358,Ulbricht,Karl,,,,,,Hut,Brünn,,1827,18.01.1827
"",,,,,,,"Hutmacherpeitz durch eine neue Beymischung, die gegenwärtigen ... entbehrlich macht ...",,,,,
"",,,,,,,"Geheimniß meiner neuen theoretisch und praktisch gemachten Erfindung, der ganz",,,,,
359,Mareda,Wenzel,,,,,"vollkommenen neuen Herrschafts Argand, und wiener Herrschafts Tafl Kerzen gegossen und","Kerze, Unschlitt",Wien,,1826,30.06.1826
"",,,,,,,gezogen und eiens wohlriechenden wiener Seifengeistes,,,,,
360,Perl,Franz,,,,,"Geheimnißerklärung ueber die Verbesserung Argantischen Unschlitt Tafel Kerzen, ...","Kerze, Unschlitt",Wien,,1826,10.03.1826
361,Diedeck,Johann,Weisboeck,Mathias,Fischer,Johann,Beschreibung der Kerzenfabrikation und jener der Seife,"Kerze, Unschlitt, Seife",Wien,,1826,16.07.1826
"",,,,,,,Beschreibung des neu ... erfundenen Privilegiums welches in der Wesenheit darin besteht: Erste,,,,,
362,Boehm,Vinzenz,,,,,,"Kerze, Seife, Unschlitt",Wien,,1826,13.12.1826
"",,,,,,,"Dampfkerzen und Dampfseife von verschiedener Gattung sowohl der Form als der Natur nach, ...",,,,,
"",,,,,,,"Geheimnis meiner neuen Verbesserung: 1. Gezogene argantische Tafelkerzen, welche mit einem",,,,,
"",,,,,,,"Hohltochte welcher in Spiritus getränkt, und mit einem Wachsdochte versehen ist, ... 2. Gezogene",,,,,
363,Perl,Franz,,,,,,"Kerze, Docht",Wien,,1825,13.06.1825
"",,,,,,,"argantische Tafelkerzen welche eben wie obgenannte mit Hohltochten versehen sind, ... nur mit",,,,,
"",,,,,,,"der Ausnahme das die Dochte mit reinem Schweinefett geträngt werden, ...",,,,,
