PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione del nuovo miglioramento che ... consiste in sostanza in un nuovo metodo di,,,,,
3330,Luraschi,Antonio,,,,,,Billard,,Milano,1841,28.07.1841
"",,,,,,,costruzione delle sponde o mattinelli da bigliardo ... [Billardmantinell],,,,,
"",,Ludwig Alexander,,,,,,,,,,
"",,,,,,,Beschreibung der ... Erfindung und Verbesserung eines Systems mechanischer Axen und,,,,,
3331,Miramon,Napoleon Marquis,,,,,,"Wagenachse, Wälzlager",,Wien,1841,29.10.1841
"",,,,,,,"beweglicher Rad-Spindeln, ...",,,,,
"",,v.,,,,,,,,,,
"",,,,,,,Unsere gemachte Erfündung besteht in der Erzeugung von Frictions Siegellak und Frictions,,,,,
3332,Pollak,,Preshel,,,,,"Siegellack, Luftreiniger",,Wien,1842,14.11.1842
"",,,,,,,Zimmer-Rauch Kerzchen,,,,,
3333,Kraemer,Johann,,,,,"Beschreibung: Das Bracelett (Armband) besteht aus einer Kette, ...",Armband,,Wien,1843,11.04.1843
"",,,,,,,Beschreibung der ... Verbesserung seiner bereits am 29.07.1825 priv. Erfindung darin bestehend,,,,,
"",,,,,,,"eine neue Vorrichtung anzuwenden, wodurch Thür und Mobilien Schlößer gegen das aufsperren",,,,,
3334,Lecigoski,Joseph,,,,,,Schloß,,Wien,1842,14.05.1842
"",,,,,,,mit Dietrichen Nachschlüssel oder sonstige Werkzeuge ganz vollkommen gesichert werden,,,,,
"",,,,,,,können,,,,,
"",,,,,,,"Beschreibung der Bestandtheile, wodurch die geruchlosen Haus und Zimmer Retiraden verbessert",,,,,
3335,Mayer,Lorenz,,,,,,"Abort, Zimmerklosett",,Wien,1833,20.02.1833
"",,,,,,,wurden,,,,,
"",,,,,,,"... zeigt ... an eine neuen Entdeckung ..., das Gußeisen nicht nur zu schmelzen ... und zu behandeln,",,,,,
3336,Fischer,Johann Konrad,,,,,,"Gußstahl, Schmelzen",,Wien,1828,02.10.1828
"",,,,,,,daß es für jede der Bearbeitung ... geschikt ist ...,,,,,
"",,,,,,,"Neue Erfindung vom reinen dreizehnlöthigenn Silber, dann von Nr.2 und Nr.3 Gold Eßbestecke",,,,,
3337,Weiss,Jakob,,,,,,"Silber, Gold, Schlaglot, Eßbesteck",,Wien,1832,04.10.1832
"",,,,,,,"aller Art sehr schnell, sehr rein und billig zu verfertigen",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß der Privilegienwerber aus einer eigenen",,,,,
3338,Goldschmidt,Ignaz,,,,,"Metallcomposition Diademe, Braceletten, Stirnbänder, Ohrgehänge, Uhrenpendel, Luster usw.","Legierung, Schmuck, Galanterie",,Wien,1838,15.10.1838
"",,,,,,,verfertiget ...,,,,,
"",,,,,,,Beschreibung und Zeichnung ... auf seine neue Erfindung zu einem vervollständigten Dampfkessel,,,,,
3339,Dobbs,Wilhelm,,,,,,"Dampfkessel, Dampfmaschine",,Wien,1838,21.08.1838
"",,,,,,,"und einer vervollständigten Dampfmaschine, ...",,,,,
"",,,,,,,Beschreibung des Verfahrens zur Bereitung der Clearing-coal welche nicht nur als Ersatzmittel für,"Blätterkohle, Knochenkohlenersatz,",,,,
"",,,,,,,thierische Kohle zur Entfärbung von Zuckersyrupen und anderen vegetabilischen Farbstoffen,"Klärmittel, Bleichmittel,",,Altrohlau u.,,
3340,Leidenfrost,Rudolf,Novotny,August,Stierba,Johann,,,,,1838,19.06.1838
"",,,,,,,"dient, sondern auch als Schwärze zum Anstreichen, als Zusatz zur Schuhwichse, als Klärungsmittel","Raffinade/Zucker, Schwärze,",,Tischern,,
"",,,,,,,für trübes Wasser etc. verwendet werden kann,Wasserreinigung,,,,
"",,,,,,,,,,Baerringen/Böh,,
3341,Pfob,Johann,,,,,"Beschreibung der ... Verbesserung in der Apretur der gestickten Tüllanglais Waaren, ...","Tüll, Appretur",,,1838,12.11.1838
"",,,,,,,,,,men,,
"",,,,,,,"Beschreibung einer neuen Verfahrungsweise bei Vergoldung, bei Matt-, Grün- und Roth-",,,,,
3342,Lorenz,Michael,,,,,,"Bronzewaren, Vergolden, Mattieren",,Wien,1840,30.10.1840
"",,,,,,,Vergoldung der Metalle und bei Erzeugung eines grünen Bronze,,,,,
"",,,,,,,"Rezept uiber das zu bereitende Schönbrunner Blumenflorwasser ... Rezeda Extract, ...",,,,,
3343,Fischer,Joseph,,,,,,Parfüm,,Wien,1840,11.09.1840
"",,,,,,,Karmelittergeist ... Violengeist ...,,,,,
3344,Antonelli,Giuseppe,Zantedeschi,Francesco,,,Descrizione della nuova invenzione che consiste in sostanza nella applicazione del galvagnizare,"Galvanoplastik, Kupferdruck",,Venezia,1840,24.09.1840
"",,,,,,,Beschreibung der ... Erfindung und Verbesserung über die Verfertigung von Männerhüte aus,,,,,
3345,Berl,Eduard,,,,,,"Rohrpalme, Hut",,Bregenz,1841,05.11.1841
"",,,,,,,"amerikanischen Rohrschilf Palmen genannt, nach Art der Brassilianer",,,,,
"",,,,,,,"Genaue Beschreibung einer von Albert Berghaus, k.k. Rittmeister in der ersten Arcieren Leibgarde",,,,,
3346,Berghaus,Albert,,,,,"Sr. Majestät des Kaisers, gemachten Erfindung an den Schlössern solcher Feuergewehre, die zu",Gewehrschloß,,Wien,1842,19.07.1842
"",,,,,,,"ihrer Ladung Schießpulver erfordern, ...",,,,,
"",,,,,,,,,,Swatoborzitz/M,,
3347,Kumzak,Joseph,,,,,Beschreibung der Joseph Kumschak'schen Vervielfältigungs-Oefen ...,Ofen,,,1839,21.08.1839
"",,,,,,,,,,ähren,,
"",,,,,,,"... zeigt ... an: Eine neue Verbesserung gemacht zu haben, ..., daß anstatt wie bis dato bey der",,,,,
3348,Delhaes,Gregor,,,,,Longitudinal Tuchschehrmaschinen nach der Länge ... die zu scherende Gegenstände über fest,Tuchschere,,Brünn,1840,10.10.1840
"",,,,,,,"stehende litzen, nun über eine holle Spannung geschoren werden, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß eine mit mechanischer Vorrichtung versehene Tafel, jede",,,,,
"",,,,,,,"Frage aus den 4 Rechenspezies, Adiren, Subtrahiren, Multipliciren und Dividiren, durch eine an ihr",,,,,
3349,Bardach,Adolph,,,,,,Rechenmaschine,,Stainslau,1838,15.08.1838
"",,,,,,,"veranlaßte, bestimmte Aufstellung der in Frage stehenden Zifern, mit dem nie zu fehlenden",,,,,
"",,,,,,,"Resultate, in der geschwindesten Zeit beantwortet; ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ...: Vier Gattungen Kalender mit mehreren",,,,,
3350,Schweiger,Anton,,,,,,Kalender,,Wien,1842,10.12.1842
"",,,,,,,"Verbesserungen verbunden, herauszugeben",,,,,
3351,Calderoni,Stephan,,,,,Rezept des Gefahrlosen Fliegen VertilgungsPapier,Fliegenpapier,,Wien,1840,04.12.1840
"",,,,,,,"Beschreibung der ... Erfindung bezüglich des Tengelns der Schneide an Sensen, Sicheln und","Sense, Sichel, Strohmesser,",,,,
3352,Zeilinger,Joseph,,,,,,,,Rettenegg,1833,06.02.1833
"",,,,,,,Strohmesser; ...,Dengelmaschine,,,,
3353,Dankowski,Johann,,,,,Beschreibung des ... erfundenen Schnell-Fenster Verschluß von Kaleschen,Wagenfenster,,Wien,1842,09.12.1842
