PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Ein neu erfundener sicherheits Zaum, welcher aus nichts andern besteht, als aus einer seidenen",,,,,,
3381,Wickede,Karl,,,,,,"Schnur und 5 Rolle, wodurch man im Stande ist, das wildeste Pferd durch einen Handzug zu",Zaum,,Wien,,1838,06.02.1838
"",,,,,,,,bendigen,,,,,,
"",,,,,,,,Beschreibung der ... erfundenen Schmuck Gegenstände aller Arten aus Folien von allen Metallen,"Folienbelegung, Goldwaren,",,,,,
3382,Mayer,Johann,,,,,,"in allen Farben, sowie auch aus Gold- und Silberpapier dann Blumen Bouquets, Kränze Kopfputz","Silberwaren, Schmuck, Haarschmuck,",,Wien,,1843,18.02.1843
"",,,,,,,,und Aufputz auf Bänder und Kleidungen aus Folien von allen Metallen in allen Farben,"Kunstblume, Drahtgewebe",,,,,
3383,Kronik,Johann,,,,,,Beschreibung der neu erfundenen Spucknäpfe oder Kästchen mit Dekel,Spucknapf,,Wien,,1843,21.02.1843
"",,,,,,,,"Beschreibung der neuen Erfindung, die Revers Seite der Spielkarten durch Maschinen-Druck,",,,,,,
3384,Uffenheimer,Max,,,,,,,"Spielkarte, Farbendruck",,Wien,,1841,01.07.1841
"",,,,,,,,mittelst Oehlfarbe zu erzeugen,,,,,,
"",,,,,,,,Beschreibung der ... Erfindung und nachherige Verbesserung in der Marmorirung der irdenen,,,,,,
3385,Partsch,Anton,,,,,,,"Tabakspfeife, Tonwaren, Marmorieren",,Theresienfeld,,1832,11.02.1832
"",,,,,,,,"Tabakpfeifenköpfe, ...",,,,,,
"",,,,,,,,... auf eine ganz neue Erfindung und Verbesserung in der bisherigen Erzeugungsart der,,,,,,
3386,Weilheim,Karl L.,,,,,,,"Graphit, Bleistift",,Wien,,1837,08.01.1837
"",,,,,,,,Graphitstifte /:Bleystifte:/,,,,,,
"",,,,,,,,"Beschreibung ... über die von Samuel Clegg, Civil-Ingenieur zu London in England ... gemachte",,,,,,
3387,Clegg,Samuel,,,,,,,Gasmesser,,Wien,,1838,05.07.1838
"",,,,,,,,"Entdeckung, welche ... in Verbesserungen an dem Gasmesser bestehen, ...",,,,,,
