PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"... Beschreibung des erfundenen Instruments ""Lithographisches Universal-Instrument genannt"",",,,,,
"",,,,,,,,"womit man jede beliebigen Gegenstände, in jeder beliebigen Größe u. in jedem beliebigen","Lithographie, Pantograph,",,,,
3681,Sedlatzek,Joseph,,,,,,,,Wien,,1843,21.03.1843
"",,,,,,,,"Verhältnisse zum Original rechts u. verkehrt auf Stein zu zeichnen u. Elipsen ..., sowie auch Kreise",Zeichenapparat,,,,
"",,,,,,,,... frey zu construiren im Stande ist,,,,,
3682,Ranek,Michael,,,,,,"Beschreibung der ... Erfindung, ..., die Dachwerkstühle aller Gebäude ... herzustellen, ...",Dachstuhl,Prag,,1830,29.01.1830
3683,Felsenburg,Moses,,,,,,"Beschreibung der ... Erfindung, ..., daß er eine neue Goldfarbe erfunden hat, ...",Goldfarbe,Czaslau,,1839,07.01.1839
3684,Schumacher,Christian Jakob,,,,,,Beschreibung des Geheimnisses Künstlicher Wetzsteine,Wetzstein,Bietigheim,,1838,24.12.1838
3685,Lazzaris,Bortolo,Perini,Francesco,,,,Descrizione della Macchina Battipalo [Pfahlramme],"Pilotenschlagen, Ramme",Venezia,,1839,27.11.1839
"",,,,,,,,,"Kartoffel, Stärke, Plastische Masse,",,,,
"",,,,,,,,"Genaue Beschreibung der Masse, aus welcher Schildkritt, Horn, ja auch Edelstein-Gegenstände",,Schambach/Böh,,,
3686,Hoffmann,L.W.,,,,,,,"Imprägnierung/Plastische Masse,",,,1841,02.01.1841
"",,,,,,,,sehr ähnlich und äußerst billig nachgeahmt werden können,,men,,,
"",,,,,,,,,"Hornersatz, Kunstedelstein",,,,
3687,Dorn,August,,,,,,Beschreibung einer Lehm- und Loh-Ziegel Presse,"Ziegel, Luftziegel, Ziegelpresse",Wien,,1843,15.01.1843
"",,,,,,,,Beschreibung samt Zeichnung der ... Erfindung einer Vorrichtung zur Einhüllung und,,,,,
"",,,,,,,,,"Oelfarbe, Konservierung, Tube,",,,,
3688,Dodge,Josua,,,,,,"Aufbewahrung der Oehlfarben zum Mahlen, und anderer Substanzen, um selbe ohne Zutritt der",,Wien,,1842,28.11.1842
"",,,,,,,,,Abfüllapparat/Tube,,,,
"",,,,,,,,"atmosphärischen Luft sowohl zu verschließen, als auch wieder ausfließen zu lassen",,,,,
"",,,,,,,,Beschreibung mit 5 Zeichnungen zu dem Privilegium auf eine Verbesserung: Alle Gattungen,"Seidenstoff, Wollstoff, Broschierlade,",,,,
3689,Biehler,Tobias,,,,,,,,Wien,,1843,27.01.1843
"",,,,,,,,"facionirter Seiden- und Wollstoffe ... zu erzeugen, ...",Bandstuhl,,,,
"",,,,,,,,"Zeichnung zur Beschreibung der von Franz Czerwenka, k.k. Assistenten und Bau Inspizienten der",,,,,
3690,Czerwenka,Franz,,,,,,"Staatseisenbahnen, gemachten Verbesserung im Baue der Eisenbahnen und Locomotiven, bei","Lokomotive, Zahnradbahn, Steigung",Wien,,1843,02.01.1843
"",,,,,,,,deren Anwendung man jede beliebige Steigung ... überwältigen kann,,,,,
"",,,,,,,,"Beschreibung des [Preß-]Verfahrens, auf welche Art die neu erfundenen Brennstoffe zu bereiten","Steinkohle, Kohlenstaub, Asphalt, Teer,",,,,
3691,Buschek,Karl,,,,,,,,Wien,,1842,20.12.1842
"",,,,,,,,"sind, und Benennung der hiebey zu verwendenden Materialien","Petroleum, Brikett",,,,
"",,,,,,,,,"Pelz, Färben/Pelz, Schwarz, Beize,",,,,
3692,Loewy,Moses,Plon,Ignaz,,,,"Beschreibung der ... Verbesserung bei der Rauhwarenfärberey, ...",,Prag,,1842,19.12.1842
"",,,,,,,,,Imprägnierung/Pelz,,,,
"",,,,,,,,Fabrikations-Beschreibung ...zur neuen Verbesserung der Erzeigung convex-concaver gläserner,,,,,
3693,Palkh,Joseph,Uffenheimer,Karl,,,,,"Fensterglas/Gekrümmtes, Tafelglas",Wien,,1843,27.12.1843
"",,,,,,,,Fenstertafeln,,,,,
"",,,,,,,,"Beschreibung und Zeichnung der v.H.F. & E.Soxhlet, Schafwoll-Spinnfabrikanten in Brünn, und Th.",,,,,
3694,Bracegirdle,Thomas,Soxhlet,H.F.,Soxhlet,E.,,"Bracegirdle & Sohn, k.k.priv. Maschinen Fabrik in Gablonz, der neu erfundenen Schafwoll","Schafwolle, Krempeln",Brünn,,1844,19.01.1844
"",,,,,,,,Lockmaschine /:Locquette Continue:/,,,,,
"",,,,,,,,,"Blasinstrument,",,,,
3695,Riedl,Joseph Felix,,,,,,Verbesserung sämmtlicher Blas-Instrumente mit Maschine,"Klappe/Blasinstrument,",Wien,,1835,11.09.1835
"",,,,,,,,,Bogen/Blasinstrument,,,,
3696,Tichtel,Joseph,,,,,,Wesentlich neu verbesserter Badapparat,Bad,Wien,,1838,26.01.1838
"",,,,,,,,Beschreibung des ... neu erfundenen beweglichen Models zum Vordrucke des Schnittes der,"Handschuh, Maßnehmen,",,,,
3697,Voigtlaender,Christian Friedrich,,,,,,,,Wien,,1839,18.02.1839
"",,,,,,,,Handschuhe,"Schnittzeichnen, Zuschneiden",,,,
3698,Pruetzmann,D.,,,,,,Beschreibung der gemachten Erfindung und Verbeßerung der Damen Casseten mit Soufflets,Necessaire,Wien,,1844,28.02.1844
"",,,,,,,,Beschreibung der auf den Eisenbahn-Personen-Wägen (nach amerikanischer Bauart) -,,,,,
