PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,,,,Obernberg,,
4074,Ploy,,Ludwig,,,,,"Beschreibung einer neuen Erfindung und Verbesserung in der Bereitung des Phosphors, ...",Phosphor,,,1840,08.02.1840
"",,,,,,,,,,,Ob.Oest.,,
4075,Lackner,,Eduard,Lackner,Robert,,,Beschreibung der ... Erfindung einer selbstthätigen Fein-Spinn-Maschine für alle Spinn-Branchen ...,Spinnmaschine,,Aus/Sachsen,1844,17.01.1844
"",,,,,,,,"Beschreibung einer neuen Construction von Eisenbahnwagen, durch welche die Achsbrüche an","Eisenbahnwagen, Lokomotive,",,,,
4076,Busse,,Friedrich,,,,,,,,Leipzig,1845,01.01.1845
"",,,,,,,,denselben sowie an Locomotiven vermieden ... werden,"Federung/Wagen, Schmierbüchse",,,,
"",,,,,,,,,"Gummiersatz, Kartoffelstärke,",,,,
4077,Dietz,,Johann,,,,,"Fabrikation des künstlichen Gummi, welcher den arabischen völlig ersetzt",,,Wien,1845,05.04.1845
"",,,,,,,,,"Diastase, Dextrin, Verdickungsmittel",,,,
4078,Darebny,,Joseph,Sorel,,,,Beschreibung der ... Verbesserung an den Koch-Apparaten des Herrn Sorel in Paris ...,Kochherd,,Wien,1845,05.05.1845
"",,,,,,,,"Beschreibung der ... Entdeckung, ..., daß mittelst kegelförmiger Walzen ... alle Gattungen",,,,,
4079,Toepper,,Andreas,,,,,,"Stabeisen, Nagel, Walzwerk",,Scheibbs,1836,29.11.1836
"",,,,,,,,Streckwalzeisen und Nägelschienen und auch ... Kopfnägel ... erzeugt werden können,,,,,
"",,,,,,,,,"Dampfmaschine, Lokomotive,",,,,
4080,Dingler,,Heinrich,,,,,"Beschreibung der Zeichnungen auf eine variable Expansions Vorrichtung für Dampfmaschinen, ...",,,Wien,1844,03.06.1844
"",,,,,,,,,"Schieber, Steuerung",,,,
"",,,,,,,,"Beschreibung meiner neu erfundenen und rücksichtlich verbesserten Schnallen, welche aus allen",,,,,
4081,Strunz,,Katharina,,,,,,"Schließe, Presse",,Wien,1845,09.06.1845
"",,,,,,,,wie immer Nahmen habenden Materialien verfertiget werden können,,,,,
"",,,,,,,,"Beschreibung der Erfindung, wodurch die bei den Wägen angewendeten Druckfedern durch einen",,,,,
"",,,,,,,,"fest angebrachten Wagenkloben laufend, sich auf einen zwischen dem Wagenkloben und an den",,,,,
4082,Pelikan,,Karl,,,,,,"Wagen, Federung/Wagen",,Prag,1840,20.04.1840
"",,,,,,,,Wagenpratzen angebrachtes Scharnier stützend freien Spielraum gewinnen und jeden Stoß,,,,,
"",,,,,,,,beseitigen,,,,,
4083,Geyer,,Gottlieb,,,,,Beschreibung der nebenliegenden Zeichnung der von mir neu erfundenen Hutschmaschine,Schaukel,,Wien,1840,05.10.1840
4084,Metzger,,Alois,,,,,Beschreibung des projektirten neuen Universal-Toilette-Wassers,Parfüm,,Wien,1842,08.06.1842
"",,,,,,,,Beschreibung und Zeichnungen der neuen Erfindung einer Strick-Webmaschine zur Verfertigung,,,,,
4085,Bonfil,,Ralph,,,,,,Wirkmaschine,,Wien,1841,30.09.1841
"",,,,,,,,"von verschiedenen Stoffen für Kleidungsstücke, Bänder durchbrochene Arbeiten und dergleichen",,,,,
4086,Chiavassa,,Giovanni,,,,,Descrizione dei miglioramenti fatti pei bagni Russi-Orientali e di fumicazione,Sauna,,Wien,1841,08.02.1841
4087,Lampato,,Paolo,,,,,Descrizione dell ruote dei carri ... [Wagenräder],Wagenrad,,Milano,1845,07.01.1845
4088,Bollinger,,Leopold,,,,,Beschreibung der Vortheile inbenannt erklärter und gezeichneter Erfindung [einer Lokomotive],Lokomotive,,Wien,1845,09.09.1845
"",,,,,,,,Beschreibung der neu erfundenen mechanischen Triebkraft /: Schiffe stromaufwärts treiben zu,,,,,
4089,Dirnboeck,,Johann August,Meill,Franz,Kneschorek,Franz,,"Schiffsantrieb, Getriebe",,Wien,1839,27.07.1839
"",,,,,,,,können:/,,,,,
4090,Stierba,,Johann,,,,,"Beschreibung der Russerzeugung auf nassem Wege, aus Kohlenschiefer","Schieferton, Druckerschwärze",,Neuhaus,1845,23.06.1845
"",,,,,,,,Beschreibung der ... Erfindung alle Gattungen Feuer im trockenen und nassen Zustande löschen zu,,,,,
4091,Dietrich,,Johann,,,,,,Feuerlöschmittel,,Graz,1840,10.09.1840
"",,,,,,,,"können, mittelst Zusammensetzung verschiedener Ingredienzien ...",,,,,
4092,Obermayer,,Johann Franz,,,,,Rauchableitungs- und Luftreinigungs Apparat,Champion,,Rzeszow,1845,24.02.1845
"",,,,,,,,Zeichnung des von mir erfundenen Schornstein - Aufsatzes zur Verhinderung des Rauchens in den,,,,,
4093,Miksch,,Johann,,,,,,Champion,,Reichenberg,1841,07.06.1841
"",,,,,,,,Gebäuden,,,,,
"",,,,,,,,Descrizione dell' Invenzione ... che consiste nel metodo facile e poco diffendioso di rendere la,,,,,
"",,,,,,,,"corteccia dei giovani rami del gelso atta alla filatura, alla fabbricazione della carta ... [Rinde der","Maulbeerbaum, Baumrinde,",,,,
4094,Amadeo,,Girolamo,,,,,,,,Como,1841,30.03.1841
"",,,,,,,,"jungen Maulbeeräste zum Spinnen und zur Papiererzeugung als Lein-, Hanf-, Baumwoll- und","Spinnfaser, Papier",,,,
"",,,,,,,,Seidenabfallersatz],,,,,
4095,Francetti,,Carlo,Willa,Ignazio,,,Processo per fabbricar la Gelatina alimentare e colla forte per al Arti [Gelatine und Knochenleim],"Gelatine, Leim",,Milano,1843,25.07.1843
"",,,,,,,,"Descrizione della scoperta ... consistente in sostanza di produrre col mezzo della litografia, delle",,,,,
4096,Guioni,,Giuseppe,Vassalli,Francesco,,,,"Farbendruck, Lithographie",,Milano,1841,20.07.1841
"",,,,,,,,Stampe colorate anche con oro ed argento ... denominata ... Cromolitografia ... [Farbdruck],,,,,
"",,,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza nella fabbricazione di un inchiostro,,,,,
4097,Pogliaci,,Giacomo,,,,,,Tinte,,Milano,1845,22.07.1845
"",,,,,,,,a vernice acido ed altre due ... ingredienti senza gomma ... [Tinte],,,,,
"",,,,,,,,"Spiegazione sul movimento dell'Orologia segnante le ore di tutto il globo terestre ... [Uhr, die die",,,,,
4098,Cornisi,,Gaetano,,,,,,Uhr,,Wien,1840,11.08.1840
"",,,,,,,,Stunden auf der ganzen Welt angibt],,,,,
"",,,,,,,,"Processo per moltiplicare le stampe d'ogni genere e specialmente le carte di musica ... [Abdruck,",,,,,
4099,Lucca,,Francesco,,,,,,"Notendruck, Abdruck",,Wien,1841,30.07.1841
"",,,,,,,,besonders von Musikalien],,,,,
"",,,,,,,,Descrizione della nuova invenzione di tappetto o Suppedaneo pieghevole di legno ... [Fußschemel,,,,,
4100,Alberizzi,,Luigi,,,,,,Fußschemel,,Pavia,1845,01.04.1845
"",,,,,,,,und Teppiche],,,,,
"",,,,,,,,"Descrizione della semplificazione e miglioramente ai nuova ... invenzione, che consiste nel",,,,,
4101,Lampato,,Paolo,,,,,esecuzione di una nuova Stereotipia da eseguirsi con caratteri mobili ... [Stereotypie mit,Stereotypie,,Milano,1844,17.06.1844
"",,,,,,,,beweglicher Schrift],,,,,
