PrivRegNr,Name1,Vorname1,Name2,Vorname2,,Name3,Vorname3,,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
4102,Heller,Rudolph,,,,,,Erzeugung der Flor-Ketten Druck Teppich,,"Florkette, Teppich",Wien,,1845,27.09.1845
"",,,,,,,,Beschreibung der ... neuen Verbesserungen der zum Drucken und Formen der Metallbleche,,,,,,
4103,Bolze,Michael,Falkbeer,Anton,,,,"dienenden Maschine; worauf Herr Anton Falkbeer unterm 3.3 u. 25.5.1828 ausschl., im Jahre 1831",,Blechbearbeitung,Wien,,1832,23.08.1832
"",,,,,,,,"an mich ... gediehene Privilegien erwirkte, ...",,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung im Mechanismus des Drehens und Dublirens der Baumwolle,",,,,,,
4104,Hyggins,Jamed,,,,,,,,"Spinnmaschine, Doubliermaschine",Wien,,1837,23.02.1837
"",,,,,,,,"des Flachses, Seide, Wolle, Hanf und anderer Faserstoffe. [Text dt.u.engl.]",,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ... alle Arten von Fabrikaten, insbesondere auch Calicots",,,,,,
4105,Jones,William,,,,,,(Baumwolltuch) bei denen man Indigo entweder allein oder in Verbindung mit anderen Farbwaren,,"Vakuum, Kaliko, Indigodruck",Wien,,1837,16.08.1837
"",,,,,,,,"anzuwenden pflegt, in Räumen, aus denen der Sauerstoff künstlich abgeleitet wird, zu drukken",,,,,,
"",,,,,,,,Beschreibung des chemischen Verfahrens wodurch man jede Sorte Talg und sonstige Fette Stoffe,,,,,,
4106,Stern,Jakob H.,,,,,,,,"Unschlitt, Fett, Verdichten",Wien,,1838,27.06.1838
"",,,,,,,,auf einmal verdichtet,,,,,,
"",,,,,,,,Beschreibung der Erfindung und Verbesserung auf eine neue Art mit den hiezu Theils neu,,,,,,
4107,Pochon,,Schram,C.J.,,,,,,"Zucker, Raffinade/Zucker",Wien,,1837,11.07.1837
"",,,,,,,,erfundenen Theils verbesserten Vorrichtungen und Aparaten Zucker zu raffiniren,,,,,,
4108,Oeberg,Johann Erik,,,,,,Beschreibung [des erfundenen Webstuhles],,Webstuhl,Stockholm,,1838,28.06.1838
4109,Adcock,Henry,,,,,,Beschreibung der ... Verbesserung das Wasser aus Minen oder anderen Tiefen ... zu heben ...,,"Wasserhebemaschine, Kompressor",Wien,,1838,21.11.1838
4110,Herzmansky,Franz,Regnier,Francois,,,,Erklärung der Zeichnung der neuen Walk Maschine mittelst Druck durch Walzen,,"Tuch, Walken",Stuben,,1839,09.04.1839
4111,Dienst,Nikolaus,,,,,,Püncktliche und gewissenhafte Beschreibung den feuerfesten Bronce auf Kupfer aufzutragen,,"Kupfer, Messing, Broncieren",Wien,,1839,18.04.1839
"",,,,,,,,"Meine Erfindung und Verbesserung besteht darin, Hafteln/Oesen und Hacken/ vermittelst einer",,,,,,
4112,Machts,Franz,,,,,,,,Haftel,Wien,,1839,11.11.1839
"",,,,,,,,"Maschine zu verfertigen, ...",,,,,,
