PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,,Ort,Jahr,Einreichdatum
4379,Sonnermayer,Joseph,,,,,"Beschreibung und Zeichnung der ... Erfindung und Verbesserung in Sparherden und Oefen, ... Kochherd",,,Wien,,1841,21.06.1841
"",,,,,,,"Beschreibung u. Zeichnung der neuen Erfindung, Zeuche, die gefaltet oder in Falten gelegt,",,,,,,
"",,,,,,,"gebraucht werden, sollen nicht erst durch Handarbeit, wenn sie schon gewoben worden sind,",,,,,,
4380,Dixon,Thomas,,,,,"Taft, Webstuhl, Stoff, gefalteter",,,Wien,,1842,28.06.1842
"",,,,,,,"sondern schon im Weben zu falteln, oder solche gefalteten Zeuche durch Weben in einem",,,,,,
"",,,,,,,Weberstuhle zu fabriziren,,,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza in un nuovo macchinismo a leva per,,,,,,
4381,Ercolessi,Antonio,Rossetti,Domenico,Lattes,Abramo,"Schiffsantrieb, Getriebe",,,Venezia,,1842,12.05.1842
"",,,,,,,porre in moto bastimenti tanto naviganti in mare ... [Schiffsantrieb],,,,,,
"",,,,,,,Beschreibung der Geheimnisse wodurch die Sägen für Tischler anstatt wie bisher ohne Härtung,,,,,,
4382,Pfurtscheller,Franz,Pfurtscheller,Michael,Pfurtscheller,Johann,"Säge, Härten/Stahl, Anlassen (Härten)",,,Fulpmes,,1842,05.07.1842
"",,,,,,,federhart elastisch verfertiget werden,,,,,,
"",,,,,,,"Papiermaché, Papierplatte, Werkstoff,",,,,,,
4383,Heller,Anton,& Sohn,,,,Beschreibung der Anfertigung der Papierplatten zur Eindeckung der Gebäude,,,Ronan,,1844,26.06.1844
"",,,,,,,"Hausbau, Dach",,,,,,
4384,Epstein,Simon,,,,,Beschreibung der ... Entdeckung bei der Erzeugung des Bleichersalzes Bleichmittel,,,Wien,,1844,14.07.1844
"",,,,,,,Beschreibung der ... Erfindung: alle Arten Galanterie- und Bijouteriewaren von edlen und unedlen,,,,,,
4385,Mayerhofer,Thomas,,,,,"Metallen sowie von metallischen Compositionen auf mechanischen, chemischem und Galanterie, Schmuck",,,Wien,,1844,09.07.1844
"",,,,,,,"galvanischem Wege mit mosaikähnlichen Verzierungen ... zu versehen, ...",,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung in der Verfertigung von ledernen Portefeuilles, Cigarren- u.",,,,,,
4386,Habenicht,August,,,,,"sonstige Etuis, Damen-Ridicüls, Tapetten ..., anatomische Präparate, dann aller Gattungen Meuble- Lederwaren, Galanterie, Pressen",,,Wien,,1844,09.08.1844
"",,,,,,,Verzierungen durch ... antike Leder-Preßarbeiten en relièf,,,,,,
4387,Hoepfinger,Joseph,Kammerzell,Gustav,,,"Beschreibung einer neuen Art alle Gattungen Stoffe zu sengen Stoff, Sengen",,,Wien,,1845,24.05.1845
"",,,,,,,"Holz, Imprägnierung/Holz, Eisenoxyd,",,,,,,
"",,,,,,,"Beschreibung einer Erfindung, alle Arten Hölzer so zu behandeln, daß sie viel dauerhafter und",,,,,,
4388,Davy,Henry Savill,,,,,"Salzsaures, Kalziumchlorid, Holzschutz,",,,Wien,,1846,02.06.1846
"",,,,,,,"härter werden, und den Angriffen von Insekten und der Fäulung vollkommen wiederstehen",,,,,,
"",,,,,,,"Feuchtigkeitsschutz, Imprägnierwagen",,,,,,
"",,,,,,,"Weberkamm, Fräsmaschine/Kamm,",,,,,,
4389,Jaworski,Franz Xaver v.,Schraml,Mathias,,,Beschreibung der Anfertigung von galvanisirten /:ganz metalnen:/ Maschinen Webekämmen,,,Wien,,1846,03.06.1846
"",,,,,,,Galvanisieren,,,,,,
4390,Barth,Jakob,,,,,Beschreibung der ... an den Brückenwaagen gemachten Verbesserungen Brückenwaage,,,Krems,,1846,16.05.1846
4391,Neuner,Christoph,,,,,Beschreibung der neu verbesserten englischen Kumpte Kummet,,,Klagenfurt,,1845,14.05.1845
"",,,,,,,"Beschreibung der ... Entdeckung, aus jedem Harz und jedem harzähnlichen Körper eine öhlartige Harz, Trockene Destillation, Harzöl,",,,,,,
4392,Rumler,Karl,,,,,"Flüssigkeit darzustellen, welche sich zur Auflösung des Federharzes, (Caoutschouc's oder Gummi Gummi, Lösungsmittel, Harzölfirnis,",,,Wien,,1847,07.01.1847
"",,,,,,,elasticum's) u. zur Bereitung von Firnissen und Anstreicherfarben vollkommen eignet Oelfarbe,,,,,,
"",,,,,,,"Beschreibung der von mir erfundenen Kaffeh-Maschine, wegen ihrer dem Lehmann'schen",,,,,,
4393,Jaksch,Joachim,,,,,Kaffeemaschine,,,Wien,,1846,25.05.1846
"",,,,,,,"Luftballon nachgebildeten Form der ""Adler von Wien"" genannt",,,,,,
"",,,,,,,"Sessel, Diwan, Rückenlehne,",,,,,,
4394,Doerfler,Wenzel,Kreil,Karl,,,Beschreibung der Erfindung der Federartigen Möbel,,,Wien,,1846,29.07.1846
"",,,,,,,Federung/Sessel,,,,,,
"",,,,,,,... Beschreibung einer Verbesserung in der Construction von portativen Universal Mühlen nach,,,,,,
