PrivRegNr,,Name1,Vorname1,Name2,Vorname2,,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
4403,Holl,,Johann,Ullmayer,Anton,,,,"Zeigen an, eine Verbesserung in der Erzeugung der Holzkohle gemacht zu haben","Holzkohle, Verkohlen",Wien,,1844,24.07.1844
"",,,,,,,,,"Beschreibung und Verbesserung der Erfindung ...: Schreibfedern ... zu verfertigen aus Horn,",,,,,
4404,Buehler,,Eduard,,,,,,,"Schreibfeder, Hornbearbeitung",Wien,,1845,30.06.1845
"",,,,,,,,,"Schildkrot, Klauen, Hufen und Elfenbein vermittelst Maschinen ...",,,,,
"",,,,,,,,,"Zusätze zu dem 15-jähr. Priv., das dem H. Danjoy in Paris am 12.06. für Wiederherstellung der","Dampfkessel, Verkohlen,",,,,
4405,Danjoy,,,Dellacroix,P. Lagoutte,,,,,,Stuttgard,,1842,28.04.1842
"",,,,,,,,,Thierkohle verliehen,"Knochenkohle, Regeneration",,,,
4406,Pollak,,Aron,Preshel,Johann,,,,Beschreibung einer neuen Erfindung aus allen animalischen Körper die Gallerte zu gewinnen,"Knochen, Gallerte, Extraktionsapparat",Wien,,1842,14.03.1842
"",,,,,,,,,"Beschreibung der ... Verbesserung, ... der fortwährenden und regelmäßigen Heitzung der",,,,,
"",,,Jakob Franz,,,,,,"Dampfkesseln mittelst der Kocks-Oefen, und in der Anwendung von Apparate ... zur","Steinkohle, Verkohlen, Koks,",,,,
4407,Hemberger,,,,,,,,,,Wien,,1842,22.04.1842
"",,,Heinrich,,,,,,vervollständigen Verbrennung der durch die Carbonisation der Steinkohle erzeugten Gaße,"Dampfkessel, Feuerung",,,,
"",,,,,,,,,bestehet,,,,,
4408,Forni,,Giuseppe,,,,,,Descrizione del metodo per òttenere il Nitrato di Potassa puro [Salpeter aus Pottasche],"Salpeter, Pottasche",Triest,,1840,15.10.1840
4409,Winter,,Joseph,,,,,,Beschreibung der Oehlgaslampe ...,"Lampe, Vergaser",Prag,,1843,19.05.1843
"",,,,,,,,,Erklärender Anhang zur Beschreibung des Verfahrens bey Verfertigung der Gefäße u.,,,,,
4410,Caccia,,Emanuel Graf v.,,,,,,"Gerätschaften, welche geeignet sind, die Verbrennung der Beleuchtungssubstanz, genannt","Lampe, Vergaser",Wien,,1842,10.06.1842
"",,,,,,,,,"""flüssiges Hydrogen"" nach der Methode des Erfinders Dr. Julius Guyot zu befördern",,,,,
"",,,,,,,,,"Descrizione del miglioramento che ... consiste in sostanza nel produrre migliorate, ossia raffinate",,,,,
