PrivRegNr,Name1,Vorname1,,Name2,Vorname2,,Name3,Vorname3,,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
498,Hallas,Matthaeus,,,,,,,Dieses Vorbereitung der Juhten Leder,,Leder,,Brünn,,1822,08.02.1822
"",,,,,,,,,Beschreibung des neu erfundenen Ofens zur Erzeugung des Mauer- und eines um die Hälfte,,,,,,,
499,Zoehrer,Joseph,,,,,,,,,"Gips, Gipsofen",,Wien,,1822,12.02.1822
"",,,,,,,,,"wohlfeileren Stukador Gyps, und die hiebey zu beobachtenden Manipulation",,,,,,,
"",,,,,,,,,,,"Rebbelmaschine/Wein, Weinlese,",,,,,
500,Hummel,Karl,,,,,,,Beschreibung einer Maschine um den Weinstock abzubeeren und zu zerschmettern,,,,Wien,,1822,09.07.1822
"",,,,,,,,,,,Traubenmühle,,,,,
"",,,,,,,,,"Beschreibung der ... neu erfundenen Art aller Gattungen metalener, fischbeinerne, hölzerne",,,,,,,
501,Lux,Johann Georg,,,,,,,,,Maßstab,,Wien,,1822,08.05.1822
"",,,,,,,,,"Zollstäbe wohlfeiler, und besser als die bis jetzt gewöhnlichen zu verfertigen",,,,,,,
"",,,,,,,,,"Beschreibung der ... Verbesserung, welche, ... darin besteht: Die sogenannten Argand'schen oder",,,,,,,
"",,,,,,,,,Wiener Herrschaftskerzen mit Anwendung von; auf und verbesserten Maschinen und dem,,,,,,,
502,Mareda,W. & Sohn,Perl,,Jakob & Franz,Perl,,Anton,,,"Docht, Bandstuhl, Klöppelmaschine",,Wien,,1829,28.09.1829
"",,,,,,,,,Samtbandstuhle verfertigten gradelartigen hohlen Rundschnüren und geklöppelten gleichfalls,,,,,,,
"",,,,,,,,,"hohlen Viereckschnüren, statt der Dochte; zu erzeugen ...",,,,,,,
"",,,,,,,,,"Verbesserung die Schornsteine vortheilhafter zu reinigen, mittelst einer eigens dazu erfundenen",,,,,,,
503,Carnelly,Bartholomaeus,,,,,,,,,Rauchfang,,Wien,,1829,10.12.1829
"",,,,,,,,,"Schaufl von Eisen, nebst einer steifen Porsten Bürste",,,,,,,
"",,,,,,,,,"Beschreibung einer ganz neu unbekannten sehr nützlichen und Vortheilhaften Tuchrau, und",,"Tuch/Aufrauhen, Rauhmaschine,",,,,,
504,Kube,Augustin,,,,,,,,,,,Iglau,,1824,29.12.1824
"",,,,,,,,,Preßmaschine,,Tuchpresse,,,,,
"",,,,,,,,,Erfindung Lederabfälle und andere thierische und vegetabilische Stoffe theils zu einem,,,,,,,
"",,Franz Anton Graf,,,,,,,,,,,,,,
505,Magnis,,Tedeschi,,Anton,,,,"lederartigen Papier oder Deckel, theils zu anderen verschiedenen Papiersorten zu allerlei",,"Papier, Pappe, Lederabfälle",,Wien,,1823,22.04.1823
"",,v.,,,,,,,,,,,,,,
"",,,,,,,,,Gebrauche zu bearbeiten,,,,,,,
506,Blaschke,Ignaz,,,,,,,Sicheres Mittel aus der Leinpflanze eine Art Baumwolle zu bereiten,,"Baumwolle, Lein",,Wien,,1824,14.08.1824
507,Weeger,Leopold,,,,,,,Beschreibung der ... Entdeckung zur Verbesserung der Sohlengärberey ...,,"Gerben, Leder Schuhsohle",,Brünn,,1821,16.04.1821
508,Luz,Heinrich Alexander,Schoell,,Friedrich,,,,Beschreibung der Verbesserung zur wesentlichen Vereinfachung der Dampfmaschine,,Dampfmaschine,,Brünn,,1824,31.07.1824
509,Wintgens,Cornelius,,,,,,,Beschreibung einer neuen Art Auflock-Maschine für Schaaf- und Baumwolle,,"Schafwolle, Baumwolle, Krempel",,Brünn,,1823,16.10.1823
"",,,,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht: daß bei und in seiner Brettsäge ... aus",,,,,,,
510,Meinholdt,Friedrich,,,,,,,"allen Gattungen Holz geschnittenen von 3 bis 9 Zoll breiten Brettern, ... Dachschindeln, ... auch",,Schindel,,Biskupitz,,1824,12.01.1824
"",,,,,,,,,Gehrschnideln ... verfertigt werden können,,,,,,,
"",,,,,,,,,Beschreibung der Neue Erfindung und Verbesserung aus dem Schlechtesten Brandwein und,,,,,,,
511,Sorer,Jakob,Winternitz,,Jakob,Winternitz,,Heinrich,,,"Branntwein, Spiritus, Rosoglio",,Wien,,1825,14.02.1825
"",,,,,,,,,gering Grädtigten von 8 bis 10 Grad besten Brandwein und Spiritus zu Erzeugen,,,,,,,
512,Friedmann,Johann,Steiner,,Elias,Steiner,,Emanuel,Erzeugen aus 10 Metzen Erdäpfel einen Centner Honig,,"Kartoffel, Sirup",,Wien,,1825,08.01.1825
513,Jage,Johann,,,,,,,Beschreibung üder die Verfertigung eines guten und haltbaren Fruchtessigs aus Erdäpfeln,,"Essig, Kartoffel",,Nikolsburg,,1821,19.04.1821
"",,,,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß er fertige Schnitt- und Leinwand",,,,,,,
"",,,,,,,,,,,"Schnittware/Lagerung,",,,,,
"",,,,,,,,,Waaren aller Gattung mit verschiedenen zusammengesetzte Mittel auf eine solche Art und Weise,,,,,,,
514,Trebitsch,Moses,,,,,,,,,"Imprägnierung/Schnittware,",,Wien,,1824,01.04.1824
"",,,,,,,,,"zubereitet, daß die Waaren dadurch nie verlägert und Schobfräßig wird, u. dann die Farbe sogar in",,,,,,,
"",,,,,,,,,,,Lagerung/Schnittware,,,,,
"",,,,,,,,,"einem feichten Locall nicht abschießt, sondern diese Waare bleibt immer in der besten Qualität",,,,,,,
"",,,,,,,,,"Genaue Beschreibung der ... Verfahrungsart, Haute und Felle die lohgar werden sollen, durch ein",,,,,,,
"",,,,,,,,,"Mittel, welches nichts kostet; zu gerben, und die zu Sohlenleder bestimmten Haute damit zu",,,,,,,
515,Weeger,Leopold,,,,,,,,,"Gerberei, Färben/Leder",,Brünn,,1828,09.07.1828
