PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
4821,Eibensteiner,Joseph,,,,,,"Grundriß, Profil und Ansicht resp. Beschreibung des Apparat Ofens, ...",Kachelofen,,Friesach,1845,17.08.1845
4822,Hohenblum,Joseph R.v.,,,,,,Der zu privilegirende praeparirte Kalkdünger ...,Kunstdünger,,Wien,1848,20.01.1848
"",,,,,,,,"Beschreibung der ... hydraulischen Caementsteine, aus welchen ... hydraulischer Caementkalk und",,,,,
4823,Waser,Johann Konrad,,,,,,,Kalk/Hydraulischer,,Brünn,1845,19.03.1845
"",,,,,,,,"aus diesen ein Mörtel bereitet werden kann, ...",,,,,
"",,,,,,,,Descrizione del miglioramento introdotto nel metodo di filar la seta la più fina al pari della più,,,,,
4824,Keller,Alberto,,,,,,,"Seide, Spinnmaschine",,Milano,1837,26.09.1837
"",,,,,,,,tonda; senza i così detti Copiati ... [Seide spinnen],,,,,
"",Romer - Kiss -,,,,,,,Eigenschaften und Darstellungsart-Beschreibung der Frictions-Feuerzeuge und Chlorzündhölzchen,,,,,
4825,,Stephan Edl.v.,,,,,,,"Zündholz, Reibzündhölzchen, Fidibus",,Wien,1834,04.01.1834
"",Enyitzke,,,,,,,ohne Schwefel,,,,,
"",,,,,,,,Beschreibung über die ... Entdeckung und Verbesserung in der Construktion der Wägen ... jeder,,,,,
4826,Schwechter,Friedrich,,,,,,"Art, welche ... in einfachen und doppelten Wagen-Tritte bestehet, welche mit dem","Wagen, Trittbrett",,Wien,1844,29.11.1844
"",,,,,,,,"Kutschenschlage ... auf- und zugehen, ...",,,,,
"",,,,,,,,"Beschreibung samt Zeichnung des ... Privilegiums ... einer Verbesserung von Vorlegegurten, wo",,,,,
4827,Zapf,Ignaz,,,,,,,"Sattel, Vorlegegurt",,Wien,1846,16.11.1846
"",,,,,,,,"das bistado vorkomende Vorrutschen der Sättel ganz beseitigt wird, ...",,,,,
4828,Kind,Carl Gottfried,Lamort,J.,,,,"Neues verbessertes Bohrverfahren, mit zwei Steindrucktafeln","Tiefbohrung, Bohrapparat",,Luxemburg,1844,
"",,,,,,,,"Beschreibung einer neuen laternamagica, welche bewegliche Figuren an der Wand hervorbringt,",,,,,
4829,Doebler,Ludwig,,,,,,,Kino,,Wien,1847,03.01.1847
"",,,,,,,,...,,,,,
4830,Hoefer,Leonhard,,,,,,"Beschreibung ... auf eine neue Art Ringe ""Pompejus-Ringe"" ...",Ring,,Wien,1847,17.11.1847
4831,Heuberger,Joseph,Heuberger,Ludwig,,,,Beschreibung des neu verbesserten Etherapparates,"Anästhesie, Betäubungsapparat",,Wien,1847,13.11.1847
"",,,,,,,,Beschreibung der ganz neu erfundenen Geheiße /:oder Kapseln:/ zur Verwahrung und,,,,,
4832,Swoboda,Karl,,,,,,Versicherung der Aufschrift des Nahmens der Eigenthümer auf den auf Handsäcken und ledernen,"Koffer, Mantelsack, Vignette, Schloß",,Wien,1847,23.12.1847
"",,,,,,,,Reisekoffern zur Sperrung befindlichen Schlössern,,,,,
4833,Knoll,Johann,,,,,,Beschreibung: Ein sicheres Mittel das Haar wachsend zu machen,Haarwuchsmittel,,Wien,1847,28.08.1847
"",,,,,,,,"Neue Erfindung des Herrn Edouard Billard, domicilirend in Paris, neue waermeleitende Apparate",,,,,
"",,,,,,,,"herzustellen, um: 1. Wohnzimmer ... zu heitzen, 2. zum Waermen aller Flüssigkeiten, insonderheit",,,,,
"",Billard [de,,,,,,,,"Zentralheizung, Destillierapparat,",,,,
4834,,Edouard,Elkau,L.A.,,,,"der Baeder, zur Erzeugung des Dampfes für Feuermaschinen zum Destilliren und Verdampfen ... 3.",,,Wien,1838,07.07.1838
"",Vinches],,,,,,,,"Verdampfapparat, Kühlapparat",,,,
"",,,,,,,,... als abkühlende Condensation ... in die k.k. oesterr. Staaten durch das k.k.Wiener,,,,,
"",,,,,,,,Großhandlungshaus L.A. Elkau,,,,,
"",,,,,,,,"Beschreibung der von Rickenbach & Fehr, Eigenthümer der in Melegnano gelegenen Walz Mühle,",,,,,
4835,Fehr,,Rickenbach,,,,,,Reismühle,,Meiland,1839,23.09.1839
"",,,,,,,,erfundenen neuen Reis Mühle,,,,,
"",,,,,,,,Beschreibung der ... Erfindung ... In der Anwendung des zinkes a) zu Fußböden ... b) Uiberzüge zu,,,,,
"",,,,,,,,,"Zinkblech, Fußboden, Möbel, Beschlag,",,,,
"",,,,,,,,"tischen, Kästen, Nacht- und Waschkästen ... c) ... Heitzöfen ... d) zu ... Uiberzügen für Oefen von",,,,,
"",,,,,,,,,"Ofen, Ofenmantel, Dichtungsmasse,",,,,
4836,Bernd,Karl,,,,,,"Guß- und Blecheisen, und zu ... Ofenmänteln ... e) zur Bereitung einer Wachsmasse zu",,,Wien,1840,06.06.1840
"",,,,,,,,,"Zinkbister, Zinkschwarz,",,,,
"",,,,,,,,"Zinkfußböden und einer ... Farbe-schwarz-braun zur Anwendung bei allen Zinkgefäßen, welche ...",,,,,
"",,,,,,,,,Korrosionsschutz,,,,
"",,,,,,,,von Oxidirung geschützt werden,,,,,
"",,,,,,,,Beschreibung der Bestandtheile und Bereitungsart des aus thierischen Substanzen erzeugten,,,,,
4837,Lux,Samuel,,,,,,,Zahnpulver,,Wien,1841,25.09.1841
"",,,,,,,,Zahnpulvers als Toiletten-Mittel unter dem Namen Sans pareil-Damen-Zahnpulver,,,,,
"",,,,,,,,Beschreibung sammt Zeichnungen der ... privilegirten J.H. Schwarz'schen Dampf-Maisch-Destillir-,,,,,
4838,Schwarz,J. Heinrich,,,,,,,"Branntwein, Destillierapparat",,Wien,1841,14.10.1841
"",,,,,,,,und Dampf-Brand-Destillir-Apparate ...,,,,,
"",,,,,,,,Beschreibung der neu verbesserten resp. erfundenen Mechanisch-Elastisch auf drei Art zu,,,,,
4839,Lehmann,M.H.,Schwarz,Salomon,,,,,Abziehen/Messer,,Prag,1842,19.10.1842
"",,,,,,,,gebrauchenden Streich- u. Abziehriemen,,,,,
4840,Hoffmann,Karl,,,,,,Beschreibung der ... Verbesserung der Falzhacken als Dachdeckung,"Dachziegel, Ziegelpresse",,Tabor,1843,17.07.1843
"",,,,,,,,Beschreibung der wesentlichen Vorzüge und Vortheile des ... erfundenen Mahlmühlen-,,,,,
4841,Brielmayer,Anselm,,,,,,,Mühle,,Bregenz,1843,22.10.1843
"",,,,,,,,Mechanismus,,,,,
4842,Winkler,Joseph,,,,,,Geheimniss des von mir neu erfundenen Koch- und Hitz Ofen,"Ofen, Kochherd",,Wien,1844,07.10.1844
4843,Wurm,Franz Xaver,,,,,,Beschreibung und Zeichnung der ... Verbesserung seines Dampfhammer ...,Dampfhammer,,Wien,1845,24.09.1845
4844,Cantor,David,Glaser,Elias,,,,Beschreibung der Strucktur der Maschine zum Kaffeebrennen mittelst Dampf,"Kaffee, Röstmaschine",,Wien,1845,13.10.1845
"",,,,,,,,"Beschreibung d. Erfindung u. Verbesserung, daß mit Beyseitigung der bei d. deutschen,",,,,,
"",,,,,,,,französischen u. englischen Mechanik vorhandenen Fehler bey allen Gattungen von Fortepianos,,,,,
4845,Dir,Friedrich,Schrimpf,Joseph,,,,,Klaviermechanik,,Wien,1846,25.07.1846
"",,,,,,,,"mit einem schöneren u. reineren Ton, die Sicherheit u. Leichtigkeit im Spiele mit der Stärke u. dem",,,,,
"",,,,,,,,Ausdruck d. engl. u. frz. Mechanik vereinigt wird,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß er eine ganz neue Art von Retiraden unter dem Nahmen",,,,,
4846,Darebny,Joseph,,,,,,,"Abort, Wasserspülung",,Wien,1847,23.11.1847
"",,,,,,,,"""Wiener geruchlose Haus- und Zimmer-Maschine Retiraden"", erfunden hat, ...",,,,,
"",,,,,,,,,"Kupferstich, Stahlstich, Zinkstich,",,,,
4847,Enthoffer,Joseph,,,,,,"Beschreibung der neu erfundenen Farbendruckpresse für Kupfer-, Stahl- und Zinkstiche ...",,,Wien,1847,22.11.1847
"",,,,,,,,,"Farbendruck, Druckmaschine",,,,
4848,Andrassy,Johann,Kaudelka,Eduard,,,,Beschreibung der ... verbesserten Isatin-pomade als Haarfärbe- und Conservierungsmittel,"Haar, Färben/Haar",,Wien,1847,16.08.1847
