PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,Descrizione della nuova scoperta che ... consiste: I. In una barca ... II. In un timone ... [Schiff und,,,,,
4930,Bei,,Giuseppe de,,,,,,Schiffbau,,Verona,1839,08.05.1839
"",,,,,,,,Steuer],,,,,
"",,,,,,,,Beschreibung des neuen Maschinen- und Manipulationssystems zur Zerkleinerung der,,,,,
"",,,,,,,,,"Farbholzmühle, Extraktionsapparat,",,,,
4931,Dietz,,Johann,,,,,verschiedenen Farbematerialien und zur gleichzeitigen Extrahirung der darin befindlichen,,,Wien,1844,17.01.1844
"",,,,,,,,,Farbextrakt,,,,
"",,,,,,,,Farbpigmente mittels Dampfes,,,,,
"",,,,,,,,Descrizione dell'invenzione ... consistente nel riportare sopra pietra Litografico qualunque Stampo,,,,,
4932,Guioni,,Giuseppe,,,,,,"Farbendruck, Lithographie",,Milano,1844,16.01.1844
"",,,,,,,,"Tipogarfico, Calcografico e Litografico ... [Chromo-Lithographie]",,,,,
"",,,Friedrich Hermann,,,,,,,,,,
4933,Gersheim,,,,,,,Beschreibung der neu erfundenen Massa zur Füllung sowohl der Papier- als Metall zündhütchen,"Schießpulver, Kapsel",,Lengholz,1843,12.09.1843
"",,,Raphael v.,,,,,,,,,,
"",,,,,,,,Beschreibung der neuen Erfindung ... bestehend in einem chemisch-elastisch und chemisch-,,,,,
"",,,,,,,,,"Rasiermesser, Messer,",,,,
4934,Goldschmidt,,Philipp,,,,,festliegenden magnetischen Schärfungs-Apparate für Rasier- und Federmesser und chirurg.,,,Wien,1844,08.03.1844
"",,,,,,,,,Abziehen/Messer,,,,
"",,,,,,,,anatom. Instrumenten ...,,,,,
"",,,,,,,,"Beschreibung von Verbesserungen im Wegebau und der Einrichtung von Wägen, die auf solchen",,,,,
4935,Dixon,,Abraham,,,,,,"Oberbau, Geleise, Lokomotive",,Wien,1844,06.01.1844
"",,,,,,,,Wegen gehen sollen,,,,,
"",,,,,,,,"Beschreibung der von Henry Paine Esou., Civilingenieur aus Stockport in England, derzeit in Erla in",,,,,
4936,Paine,,Henry,,,,,,Selfaktor,,Wien,1844,12.01.1844
"",,,,,,,,"Sachsen, gemachten ... Erfindung eines neuen Selfacters /:Selbst-Spinn-Apparates:/, ...",,,,,
