PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der neuen Metall-Composition zu Buchdrucker Lettern, Stereotypen und sonstigen",,,,
4991,Erhard,Heinrich,,,,,,"Legierung, Letternmetall",Stuttgart,1839,19.08.1839
"",,,,,,,"Fabrikaten der Schriftgießerei, ...",,,,
4992,Kohn,Leopold,,,,,Beschreibung der ... neu erfundenen Schafwoll-Sortir- und Reinigungs-Methode,"Schafwolle, Wollwäsche",Wien,1843,15.05.1843
4993,Partsch,Anton,,,,,Beschreibung der Verbesserung auf Verfertigung der Thon-Pfeifenköpfe ...,"Tonwaren, Tabakspfeife",Theresienfeld,1844,10.06.1844
4994,Waldstein,Jakob,,,,,"Beschreibung der ... Erfindung, ..., ein für dioptrische Zwekke geeignetes Flintglas zu erzeugen","Optisches Glas, Schmelzofen",Wien,1844,28.06.1844
"",,,,,,,"Descrizione della nuova Scoperta od invenzione, che ... consiste in sonstanza sul modo di cuocere",,,,
4995,Lendinara,Antonio,,,,,,"Tonwaren, Töpferofen",Treviso,1844,22.04.1844
"",,,,,,,li Materiali Latterizj ... [Brennen von Tonwaren],,,,
"",,,,,,,Beschreibung der von dem bürgerlichen Schlossermeister Joseph Wagner zu Korneuburg,,,,
"",,,,,,,"erfundenen und dem Joseph Wagner, Syndikus der l.f. Stadt Korneuburg zur Benützung",,,,
4996,Kohn,Joseph,Wagner,Joseph,,,,Schrotmühle,Korneuburg,1847,03.03.1847
"",,,,,,,"überlassenen Verfertigung von neune Maschinen, mittelst welchen ... alle Gattungen",,,,
"",,,,,,,Körnerfrüchte geschrottet werden können,,,,
4997,Huegel,Adam,,,,,"Beschreibung der Erfindung und Verbesserung der Metall-Federn, ...",Schreibfeder,Wien,1845,16.04.1845
"",,,,,,,"Beschreibung der erfundenen Haertung, wodurch alle Stahlwaaren ein zäher, haltbarer Härtegrad",,,,
4998,Pfurtscheller,Ferdinand,Pfurtscheller,Johann,Pfurtscheller,Franz,,"Werkzeugstahl, Härten/Stahl",Fulpmes,1847,18.06.1847
"",,,,,,,beigebracht werden kann,,,,
"",,,,,,,... bittet ... um ein ... Privilegium auf die von ihm erfunden[en] Metallzigarrenetui mit,"Zigarrenetui, Zündholzbehälter,",,,
4999,Reindel,Johann,,,,,,,Wien,1848,16.06.1848
"",,,,,,,Fridonfeuerzeugen u. Zigarrenmesser ...,Zigarrenspitzenmesser,,,
5000,Franke,G. AD.,,,,,Ueber Centrifugalregulatoren bei Dampfmaschinen,"Dampfmaschine, Zentrifugalregler",Wien,1846,08.06.1846
"",,,,,,,... Beschreibung eines phisikalischen Instrumentes ... als vollkommen entsprechender,,,,
5001,Ekling,Johann M.,Matzenauer,Engelbert,,,,Telegraph,Wien,1848,03.04.1848
"",,,,,,,Schreibapparat beim electrischen Telegraphen ...,,,,
"",,,,,,,Descrizione dell nuovo miglioramento che la Direzione della Casa d'Industria di Venezia dichiara di,,,,
5002,Querini,E.,,,,,,"Ginster/Spanischer, Matte",Venezia,1839,13.04.1839
"",,,,,,,aver fatta nelle Stuoje di Brulla ... [Matten aus spanischem Ginster],,,,
5003,Perini,Francesco,,,,,Descrizione della Strada di Legno vergata di ferro ... [Eisenbahngeleise],"Oberbau, Geleise",Venezia,1843,29.09.1843
"",,,,,,,Kessel für eine Dampfmaschine [Chaudière pour machine à vapeur. deutscht] [Abgetreten an],,,,
5004,Macerone,Francois,Squire,Jean,Verheyen,Melchior,,Dampfkessel,Wien,1834,05.04.1834
"",,,,,,,Melchior Verheyen aus Antwerpen [Text frz.u.dt.],,,,
"",,,,,,,Beschreibung einer neuen Verbesserung /:Vervollkommnung:/ in der Fabrikation des Guß- und,,,,
"",,,,,,,,"Eisen, Stahl, Aufbereitung,",,,
5005,Wall,Arthur,,,,,"Schmied-Eisens, Stahles, Messings und anderer Metalle, welche ... in der Anwendung gewisser",,Wien,1844,10.04.1844
"",,,,,,,,"Schmelzmittel, Batterie",,,
"",,,,,,,Substanzen und ... der Electricität bey der Eisenfabrikation besteht,,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza nel far movere in canali artificiali dei,,,,
5006,Recalcati,Giuseppe,,,,,,"Kanalschiffahrt, Schiffsschleuse",Venezia,1844,02.04.1844
"",,,,,,,gallegianti di qualunque siasi mole con molta celerit a e forza gratuita [Schleusen in Kanälen],,,,
"",,,,,,,Beschreibung der Verbesserung bzw. Erfindung der Fabricazion in geprägten Silber- und,,,,
5007,Baecher,A.B.,,,,,,"Silberwaren, Metallwaren, Pressen",Prag,1844,09.04.1844
"",,,,,,,"Metallwaren, ...",,,,
"",,,,,,,Beschreibung der von John Coope Haddan in London erfundenen Verbesserungen an den,,,,
5008,Haddan,John Coope,,,,,,"Eisenbahnwagen, Wagenrad",Wien,1844,15.04.1844
"",,,,,,,Eisenbahn-Rädern,,,,
5009,Dixon,Abraham,,,,,Beschreibung von Verbesserungen im Kämmen der Wolle und anderer faseriger Substanzen,"Wolle, Krempeln",Wien,1844,15.04.1844
"",,,,,,,"Beschreibung der von L. Jakobs, Kaufmann und Fabriksherrn zu Potsdam, gemachten Erfindung ...:",,,,
5010,Jakobs,Ludwig,,,,,,"Knochenkohle, Regeneration",Potsdam,1844,06.02.1844
"",,,,,,,einer neuen Art der Wiederbelebung der thierischen Kohle ...,,,,
"",,,,,,,"Beschreibung der von Carl Bauer, Ziegeldeckermeister Nr.216 in Ottakring, gemachten neuen",,,,
5011,Bauer,Karl,,,,,,"Dachziegel, Schiefer, Dach",Wien,1844,17.04.1844
"",,,,,,,Erfindung ...: Jede Art Ziegel- und Schieferdächer ... herzustellen,,,,
"",,,,,,,Beschreibung eines von mir erfundenen Verfahrens den Inkrustationen der Dampfkessel,,,,
5012,Orth,Louis v.,,,,,,"Salmiak, Kesselsteinmittel",Wien,1845,10.05.1845
"",,,,,,,"vorzubeugen, ...",,,,
5013,Krakowitzer,Stephan,,,,,"Beschreibung der Erfindung einer Wagen-Achsen-Schmiere, ...",Schmiermittel,Wien,1846,15.05.1846
5014,Perinetti,Carlo,,,,,Fuso meccanico per organzine di Seta ... [Organzinseidenhaspel],"Organtin, Seidenhaspel",Piacenza,1847,05.02.1847
5015,Orth,Louis v.,,,,,Specification eines neuen Verfahrens in der Behandlung der Zink-Erze,"Zink, Aufbereitung",Wien,1847,03.06.1847
"",,,,,,,"Beschreibung des neuen Weckers, genannt omnireveil, ...,  dessen Zweck ist, alle in einem",,,,
"",Demoret -,,,,,,Gasthofe oder einem sonstigen Etablissement schlafenden Personen einzeln und zu beliebigen,,,,
5016,,,,,,,,"Wecker, Alarmanlage",Wien,1847,10.05.1847
"",Durozoy,,,,,,"Stunden zu wecken, und zugleich den Vortheil gewährt, Tag und Nacht nöthigenfalls die Stunde",,,,
"",,,,,,,anzugeben,,,,
"",,,,,,,Descrizione del nuovo miglioramento che ... consiste in sostanza in una barca per trasporto di,,,,
5017,Busetto,Giovanni,,,,,,Schiffbau,Venezia,1847,12.07.1847
"",,,,,,,"passaggeri, poci leggera, poci rapida al corso ...",,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß auf eine neue Art Menige erzeuget werden könne durch",,,,
"",,,,,,,"Benutzung bey einem, einen hohen Hitzgrad erfordernden Ofen, als z.B. Bleyschmelz-, Ziegel-,",,,,
5018,Rainer,Johann v.,,,,,,Mennige,Klagenfurt,1834,01.04.1834
"",,,,,,,"Glätt-, Budelofen, an der Wölbung desselben entweichenden Wärme ohne andern Aufwand von",,,,
"",,,,,,,Brenn Material,,,,
"",,,,,,,"Beschreibung der Erfindung eines neuen Verfahrens, aus schwefelsaurem Bleioxyd /Bleivitriol/",,,,
5019,Herrmann,Karl,Tromsdorff,Hermann,,,"metallisches Blei zu gewinnen, welches letzteres besonders anwendbar zur Bleizucker- und","Bleivitriol, Fällung, Blei",Erfurt,1844,14.05.1844
"",,,,,,,Bleiweißfabrikazion ist,,,,
