PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung des Verfahrens zur Erzeugung eines Erdefett-Teiges, welcher in der Fabrikation von",,,,,,
5052,Boehm,Vinzenz,,,,,"Ton, Seife",,,Wien,,1847,07.10.1847
"",,,,,,,gewöhnlichen und von wohlriechenden Seifen ... zu verwenden ist,,,,,,
5053,Lejeune,Franz,,,,,Vergleich des admosphärischen Schmied Hammers gegen einen Dampf- und Schwarz Hammer Drucklufthammer,,,Wr.Neustadt,,1847,17.07.1847
"",,,,,,,"Beschreibung der ... Erfindung ..., auf einem eigenthümlich construirten Werkstuhle gewirkte Bett-",,,,,,
5054,Smattosch,Joseph,,,,,"Decke, Bettdecke, Wirkmaschine",,,Krumau,,1844,28.04.1844
"",,,,,,,"und andere Decken ... zu erzeugen, ...",,,,,,
"",,,,,,,Beschreibung des von Jean Baptiste Bouche de Cluny erfundenen neuen Railway-,,,,,,
5055,Bouche,Jean Baptiste,,,,,"(Schienenbahn)systems, mittelst dessen man, ohne Abgleiten von den Schienen, in allen Eisenbahn, Führungsschiene",,,Wien,,1847,29.11.1847
"",,,,,,,"Krümmungen und Neigungen fahren kann, ...",,,,,,
"",,,,,,,"Beschreibung eines neuen Ofens, genannt ""Four à suspension"", in welchem auf eine sehr",,,,,,
5056,Angremy,Antonin,,,,,"bequeme, schnelle und kostenersparende Weise und ohne alle Unterbrechung gebacken werden Backofen, Zentralheizung, Kochherd",,,Wien,,1847,23.06.1847
"",,,,,,,kann ...,,,,,,
5057,Baranowski,Joseph Jean,,,,,Beschreibung der von Joseph Jean Baranowski in Paris erfundenen Rechenmaschine Rechenmaschine,,,Wien,,1848,05.01.1848
"",,,,,,,Descrizione dell'uso degli qui uniti disegni per la confessione del Bottone di Stoffa montata sopra,,,,,,
5058,Maggioni,Fratelli,,,,,"Knopf, Presse, Stoffüberzug",,,Milano,,1842,23.08.1842
"",,,,,,,lattia con gambo flessibile [Stoffknöpfe],,,,,,
5059,Schmid,Anton,,,,,Beschreibung des Kühl-Apparates Kühlapparat,,,Wien,,1844,08.06.1844
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß durch die Enthülsung der Repskörner ein so feines, geruch-",,,,,,
5060,Himmelbauer,Anton,,,,,"Raps, Rüböl",,,Stockerau,,1844,28.09.1844
"",,,,,,,"und rauchloses Brennöhl, wie es bisher noch nicht erzeugt wurde, gewonnen wird",,,,,,
"",,,,,,,"... Erfindung u. Verbesserung, welche ... darin bestehet, in der Benützung des Dampfes, welcher",,,,,,
5061,Polland,Franz,,,,,"bereits die Dampfmaschinen ... in vollen Gang und Bewegung gesetzt hat, bei der Ausströmung Abdampf, Oelsamendörre, Dörrofen",,,Wien,,1844,30.08.1844
"",,,,,,,"aufzunehmen, und denselben zur Röstung des Samens ... zu verwenden, ...",,,,,,
"",,,,,,,"Beschreibung des Verfahrens bei der Erzeugung aller Gattungen Strick-, Näh- u. Litzen-Zwirne, Hanf, Flachs, Garn, Zwirn, Kordel,",,,,,,
5062,Nadasdy,Thomas Graf,,,,,,,,Wien,,1844,20.08.1844
"",,,,,,,"Schnüre u. verschiedene Garne aus Hanf und Flachs, ... Zwirnmaschine, Krempeln",,,,,,
"",,,,,,,"Beschreibung der von L. Jacobs, Kaufmann u. Fabriksherr aus Potsdam, gemachten Erfindung u.",,,,,,
"",,,,,,,"Verbesserung in der Fabrication des Rüben-Zukkers u. in der Raffinerie des Colonial-Zuckers,",,,,,,
"",,,,,,,"Zucker, Raffinade/Zucker,",,,,,,
5063,Jakobs,Ludwig,,,,,"wobei der luftleere Raum angewendet wird, um das Decken des Zuckers in Formen ..., wie auch",,,Wien,,1844,17.02.1844
"",,,,,,,"Vakuumapparat, Verdampfapparat",,,,,,
"",,,,,,,"das Auswaschen u. Nettmachen ... zu beschleunigen, ... ferner das Trocknen ... vermittelst des",,,,,,
"",,,,,,,luftverdünnten Raumes zu bewirken,,,,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una macchina per la,,,,,,
5064,Baletti,Pancrazio,Biaxino,Bernardo,Marchesi,Giovanni,"contemporanea filatura dello struzzo e della seta... [Gleichzeitiges Spinnen der Seidenabfälle und Seide, Seidenabfälle, Spinnmaschine",,,Milano,,1844,20.09.1844
"",,,,,,,der Seide].,,,,,,
5066,Brunner,Franz,,,,,"Beschreibung der Dachdeckung mit doppelt gebrannten gefalzten und glasirten Thonplatten, ... Tonplatte, Glasierte, Dach, Kitt",,,Olmütz,,1846,12.05.1846
"",,,,,,,"Beschreibung des Verfahrens, um Kupfer mit Schmiedeisen, Stahl etc. in verschiedenen",,,,,,
5067,Fischer,F. Johann Konrad,,,,,"Verhältnißen durch Schmelzung ... zu verbinden, daß dadurch ein gelbröthliches Metall ... Kupfer, Eisen, Stahl, Legierung",,,Wien,,1847,25.06.1847
"",,,,,,,dargestellt wird,,,,,,
"",,,,,,,"Beschreibung des von Prokop Spolak, Kupferschmied in Chrudim, neu erfundenen [Branntwein-]",,,,,,
5068,Spolak,Prokop,,,,,"Branntwein, Destillierapparat",,,Chrudim,,1847,30.04.1847
"",,,,,,,Dampf-Apparats,,,,,,
"",,,,,,,"Beschreibung der neuen Erfindung, ..., auf Schornsteinen oder Luftzugröhren von Metall oder",,,,,,
5069,La Croix,Jeanne de,,,,,anderen Platten eine Einrichtung zu treffen vermög welcher die äußere Luft ... entfernt werden Champion,,,Wien,,1847,14.04.1847
"",,,,,,,soll,,,,,,
"",,,,,,,Beschreibung der Verbesserung der vom gefertigten erfundenen priv. Vorrichtung zum Schneiden,,,,,,
5070,Piasecki,Felix,,,,,Mähapparat,,,Wien,,1847,09.10.1847
"",,,,,,,der Halmfrüchte,,,,,,
5071,Lieber,Ernst,,,,,Beschreibung & Erklärung des Separateurs Walzenpresse,,,Wien,,1848,03.08.1848
5072,Dobbs,S.,Luz,H.A.,,,"Beschreibung der Maschine zur Erzeugung der Haaken und Haften Haken, Haftel, Stecknadel",,,Brünn,,1844,01.08.1844
"",,,,,,,"Beschreibung neu erfundener Ordenshaken aus allen Metallen, wodurch Orden oder Medailen auf",,,,,,
5073,Palkh,Joseph,,,,,eine bequeme und sichere Weise von einem Uniform Rock auf den andern können gemacht Ordenschnalle,,,Wien,,1849,31.12.1849
"",,,,,,,"werden, ohne das Band, den Orden oder die Medaile zu verderben, ...",,,,,,
"",,,,,,,Beschreibung der Erfindung und Verbesserung: Die Legierung der Platina mit edlen Metallen ...,,,,,,
5074,Weiger,Joseph,,,,,"Legierung, Gebiß/Künstliches",,,Wien,,1844,11.11.1844
"",,,,,,,darzustellen ... und dem Zwecke Zahntechnischer Arbeiten ... anzubringen,,,,,,
"",,,,,,,Beschreibung der ... Verbeßerung in der Manipulation seiner am 22.06.1846 ausschl. priv.,,,,,,
5075,Bardach,Adolph,,,,,"Gummischuh, Galosche",,,Wien,,1847,12.08.1847
"",,,,,,,Kautschukschuh-Erzeugung ...,,,,,,
"",,,,,,,"Beschreibung der ... Verbeßerung, ..., daß mittelst Freeßen bei Anfertigung von Feuergewehren",,,,,,
5076,Lammich,Thomas,,,,,"Gewehr, Fräsmaschine (Metall)",,,Wien,,1849,20.04.1849
"",,,,,,,"dieselben billiger zu liefern, als es bis jetz der Fall war",,,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza in una macchina idraulica atta a dar,,,,,,
5077,Werner,Jacopo Peter,,,,,Wasserkraftmaschine,,,Milano,,1844,17.07.1844
"",,,,,,,moto ed alimentare opificj [Wasserkraftmaschine],,,,,,
"",,,,,,,"Descrizione fondamentale del Barometro Elicostilo, e Termometro d'ugual nome",,,,,,
5078,Bianco,Giuseppe,,,,,"Barometer, Thermometer",,,Venezia,,1844,01.08.1844
"",,,,,,,[Schraubenförmiges Barometer und Thermometer],,,,,,
