PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Verbesserung des Alkohols, welche ... darin besteht; daß die Liquerus an",,,,,,
"",,,,,,,"Reinheit, Geschmack und Annehmlichkeit unendlich gewinnen, dieser Alkohol dient auch zum",,,,,,
523,Schmidt,Franz,,,,,"vorzüglichen Gebrauche in den Apotheken, kann zur Reinigung des Mundes gebraucht werden,",Alkohol,,Wien,,1824,21.09.1824
"",,,,,,,"verschaft dem Kaffee oder Thee ... eine größere Annehmlichkeit, und dient den Kunsttischlern",,,,,,
"",,,,,,,"zum Poliren, ...",,,,,,
524,Lieber,Peter,,,,,Beschreibung einer neu erfundenen Metall-Wagenschmiere ...,Schmiermittel,,Prag,,1823,09.10.1823
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Erzeugung einer glänzend schwarzen,",,,,,,
"",,,,,,,"gänzlich undurchsichtigen, besonders harten, dauerhaften, haltbaren und einen höheren Hitzgrad",,,,,,
525,Buquoy,Georg Graf v.,,,,,,Hyalitglas,,Prag,,1824,10.07.1824
"",,,,,,,"als Glas aushaltenden, mit dem Namen Hyalith belegten Masse; und Verfertigung aller Gefäße",,,,,,
"",,,,,,,"und Gegenstände aus derselben, welche aus Glas und Porzellan erzeugt werden können",,,,,,
"",,,,,,,"Beschreibung der ... neu erfundenen, sonst nirgends bestehenden Maschine, welche den",,,,,,
526,Pettersch,Ambros,,,,,"Strumpfwirkerstuhl so schnell und gleichmäßig bewegt, daß er mehr und schönere Ware erzeugt,","Wirkmaschine, Strumpf",,Nixdorf,,1826,10.05.1826
"",,,,,,,als gewöhnlich ein Strumpfwirker zu erzeugen vermag,,,,,,
"",,,,,,,Descrizione dell'invenzione che ... consiste in un nuovo metodo per esseguire in rilievo ogni sorta,,,,,,
527,Martini,Giuseppe,,,,,,Stickerei,,Milano,,1824,25.06.1824
"",,,,,,,"di ricamo d'ornato in oro, ed in argento, ...",,,,,,
"",,,,,,,Descrizione ... che ... consiste in un Meccanismo da applicarsi a qualunque Bugia/Bougevir/ per cui,,,,,,
528,Ceruti,Domenico,,,,,premendo una molla si apre tosto una Boccetta contenente l'acido solforico comunemente in uso,Leuchter,,Pavia,,1824,23.08.1824
"",,,,,,,...,,,,,,
