PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung und Abzeichnung eines neu erfundenen und verbesserten Rastrir- und Rubricir-,,,,,
5135,Fogowitz,Joseph,,,,,"Liniermaschine, Papier, Rubriziertes",,Wien,,1846,27.05.1846
"",,,,,,,Instrumenetes,,,,,
5136,Springer,Ignaz,,,,,"Beschreibung der neu erfundenen Dachplatten zur Verfertigung fugenloser Dächer Dachziegel, Dach",,Wien,,1840,03.03.1840
"",,,,,,,"Beschreibung der ... Erfindung, ..., durch eine Maschinenvorrichtung alle Tonarten blasen zu",,,,,
5137,Stowasser,Ignaz,,,,,"Blasinstrument, Piston",,Wien,,1845,26.03.1845
"",,,,,,,"können, ...",,,,,
"",,,,,,,"Beschreibung und Zeichnung einer Vorrichtung, vermittelst welcher das Abgleiten der Locomotive- Lokomotive, Eisenbahnwagen,",,,,,
5138,Chernel,Franz Xaver v.,Hoffmann,C. Louis,,,,,Wien,,1846,11.02.1846
"",,,,,,,"und anderer Wagenräder von den Eisenbahnschienen verhindert wird Spurkranz, Weiche, Geleise",,,,,
"",,,,,,,"Beschreibung von Verbesserungen an Eisenbahn-Waggons und anderen Fuhrwerken, bestehend",,,,,
5139,Roediger,Friedrich,,,,,"Eisenbahnwagen, Schmierbüchse",,Wien,,1849,01.03.1849
"",,,,,,,in einer neuen Construction der Achsenbüchsen und der dazu gehörigen Räderbestandtheile ...,,,,,
"",,,,,,,Descrizione del nuovo miglioramento che ... consiste in sostanza nel ridurre il filato di cotone,,,,,
5140,Pontillo,Domenico,,,,,"Baumwolle, Zwirn",,Venezia,,1847,22.01.1847
"",,,,,,,greggio in refe candido [Baumwollzwirn],,,,,
"",,,,,,,"Beschreibung einer ... Erfindung ..., daß ich alle jene festen Gegenstände, die von Posamentirern",,,,,
"",,,,,,,"und Stikkern durch Weben, Spulen, Wirken, Drehen und sonstige derlei Arten erzeugt werden, aus Posamentierwaren, Metallwaren,",,,,,
5141,Beck,Peter Paul,,,,,,,Wien,,1849,28.11.1849
"",,,,,,,"allen Sorten von Metallen und Metall Composizionen durch Treiben, Preßen, Stoßen, Drucken, Abzeichen, Militärische",,,,,
"",,,,,,,Walzen usw. verfertige,,,,,
"",,,,,,,Descrizione della macchinetta semplice ... destinata alla più perfetta filatura della seta ...,,,,,
5141,Detoni,Francesco,,,,,"Seide, Spinnmaschine",,Milano,,1844,03.01.1844
"",,,,,,,[Seidenspinnmaschine],,,,,
"",,,,,,,"Beschreibung ... betreffend gewisse Verbesserungen in der Verfertigung gewebter Stoffe oder wasserdichter Stoff,",,,,,
5142,Cotter,John Berkely,,,,,,,Wien,,1844,11.10.1844
"",,,,,,,"Zeuge, und des Verfahrens, welches anzuwenden ist, um dieselben wasserdicht zu machen Imprägnierung/Stoff",,,,,
5142,Graf,Henry,,,,,"Neu erfundene Spinnmaschine zum Zwirnen der Seide, Wolle, Lein, Baumwolle, und Flock-Seide Organtin, Seide, Spinnmaschine",,St. Petersburg,,1841,15.03.1841
"",,Charles Louis,,,,,Beschreibung der ... Erfindung ... einer neuen Construction des Gewehrschlosses und seiner,,,,,
5143,Heurteloup,,,,,,Gewehrschloß,,London,,1842,01.07.1842
"",,Stanislaus Baron,,,,,verschiedener Theile ...,,,,,
"",,,,,,,"Beschreibung einer neuen, verbesserten Centrifugal Trokken Maschine nach den beigelegten",,,,,
5143,Rohlfs,Jean,Zurhelle,Heinrich,,,"Zeichnung, und Cessions-Act für Heinrich Zurhelle, Associe & Directeur der k.k.priv. Namietser Zentrifuge, Trockenapparat",,Wien,,1844,30.11.1844
"",,,,,,,Fein Tuchfabrik ...,,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza in un pettine ranoglitore per cereali ...,,,,,
5144,Bianco,Luigi,,,,,"Getreide, Mähapparat",,Verona,,1844,16.12.1844
"",,,,,,,[Körnerfruchternteapparat],,,,,
5144,Selka,Anton,Selka,Joseph,,,"Beschreibung der Verfertigung des englischen Stickpapiers Stickmusterpapier, Liniermaschine",,Wien,,1845,10.01.1845
"",,,,,,,"Beschreibung der Erfindung einer Holzmassa aus sägespänen in allen Farben zu einfachen und Plastische Masse, Modellieren,",,,,,
5145,Berger,Emil Edl.v.,Moser,Alexander v.,,,"Mosaik Fußböden, Parquetten, Möbel, Rahmen, Wand, spalierungen, Ornamenten, Plafonds, Galanterie, Fußboden,",,Wien,,1845,27.12.1845
"",,,,,,,"Figuren, Buchstaben und diversen Galanterie Gegenstände Wandverkleidung, Rahmen",,,,,
"",,,,,,,"Erfindung und bezw. Verbesserungen an Rotirenden Dampfmaschinen, dann im Fortschaffen von",,,,,
5145,Loosey,Karl,,,,,Dampfmaschine,,Wien,,1847,29.10.1847
