PrivRegNr,Name1,,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,,Beschreibung einer neuen Verfahrungsart behufs Austrocknung feuchter und selpeterhältiger,"Mauer/Isolierung, Feuchtigkeitsschutz,",,,
5207,Tiget,B.,,Wiebusch,F.,,,,,,Franfort,1845,05.06.1845
"",,,,,,,,,Mauern durch Entziehung der hygroskopischen Materie [Text dt.u.frz.],"Trockenlegung, Salpeter/Mauer",,,
5208,Cooke,William Fothergill,,,,,,,William F. Cooke's verbesserter electrischer Telegraph,Telegraph,Wien,1846,05.05.1846
"",,,,,,,,,"William Pidding's Verbesserung in der Methode oder Verbesserung der Methoden, gewisse",,,,
"",,,,,,,,,,"Tee, Kaffee, Zichorie, Hopfen, Malz,",,,
5209,Pidding,William,,,,,,,vegetabilische Extracte darzustellen und das Aroma gewisser vegetabilischer Stoffe vor den,,Wien,1847,16.09.1847
"",,,,,,,,,,"Aroma, Konservierung, Paketieren",,,
"",,,,,,,,,Einflüssen der Atmosphäre zu verwahren,,,,
5210,King,Eduard Augustin,,,,,,,Eduard Augustin King's Erfindung eines elektrischen Lichtes für Beleuchtungs-Zwecke,"Beleuchtung/Elektrische, Glühlampe",Wien,1845,16.12.1845
5211,Mertens,Ludwig,,,,,,,Anweisung zur Bereitung der ... verbesserten Hutsteife,"Hut, Steifung",Wien,1849,02.11.1849
"",,,,,,,,,,,Hafnerzell/Nied,,
5212,Augustin,Franz Paul,,,,,,,Beschreibung der- ... Erfindung und Verbeßerung in der Holzfassung der Bleistiften,Bleistift,,1839,16.11.1839
"",,,,,,,,,,,erbayern,,
"",,,,,,,,,,"Hanfbrechmaschine,",,,
"",,,,,,,,,Beschreibung der von den Gebrüdern Alberti aus Waldenburg in preuß.Schlesien neu erfundenen,,,,
5213,Alberti,Gebrueder,,,,,,,,"Flachsbrechmaschine,",Wien,1842,30.03.1842
"",,,,,,,,,Brech- u. Schwing-Maschine für Flachs und Hanf,,,,
"",,,,,,,,,,Schwingmaschine,,,
"",,,,,,,,,Beschreibung der neuen Erfindung daß: Bei den gewöhnlichen Frischfeuern durch Hinzugabe eines,,,,
5214,Melling,Franz Xaver,,Schlegel,Joseph,,,,"eigens construirten Ofens noch ein zweyter Eisenhüttenprozeß, nämlich das Puddeln gleichzeitig","Eisenfrischen, Puddelofen, Frischofen",Laibach,1845,26.04.1845
"",,,,,,,,,bewerkstelligt wird,,,,
"",,,,,,,,,Beschreibung und Zeichnung der Erfindung einer neuen Mehode zur Verfertigung von Barometern,,,,
"",,,,,,,,,"und andern pneumatischen Instrumenten, ..., dünne Blätter oder Diaphragme von Metall, Glas,",,,,
5215,Fontainmoreau,Armand Graf v.,,,,,,,,"Barometer, Druckmesser",London,1845,31.03.1845
"",,,,,,,,,Kautschuk und andern biegsamen und luftdichten Substanzen beym Messen der Elastizität und,,,,
"",,,,,,,,,des Druckes der Luft und der Flüssigkeiten anzuwenden,,,,
5216,Trentsensky,Mathias,,,,,,,Beschreibung der ... erfundenen Double Raster Maschinen,"Liniermaschine, Papier/Rubriziertes",Wien,1845,30.04.1845
5217,Orth,Louis v.,,,,,,,Specification einer Verbeßerung in der Construktion der Feuerspritzen,Feuerspritze,Wien,1847,12.05.1847
5218,Dolainski,Ferdinand,,,,,,,Beschreibung und zwei Zeichnungen ... auf eine Verbesserung der Bier Dampf-brauapparate ...,"Bier, Brauapparat",Wien,1847,27.03.1847
5219,Roy,Joseph,,,,,,,Beschreibung der von mir erfundenen neuen Pipen,Pipe,Wien,1847,18.11.1847
"",,,,,,,,,"Beschreibung der Wechselvorrichtungen, wodurch eine Verbesserung des Robinson'schen",,,,
5220,Schneider,Georg,,,,,,,,Telegraph,Wien,1849,23.04.1849
"",,,,,,,,,Telegraphen-Apparates erzielt wird,,,,
5221,Wroblewski,Hilarius,,,,,,,Getraide Schnittmaschine ...,Mähmaschine,Lemberg,1849,07.04.1849
"",,,,,,,,,"Genaue und specielle Beschreibung der von mir erfundenen, durchaus neuen Methode, zur",,,,
5222,Buschmann,Eduard,,,,,,,,"Holzmosaik, Parkettboden",Hamburg,1840,10.03.1840
"",,,,,,,,,"Anfertigung von Holz-Mosaik, nach Art der römischen Stein-Mosaik, ...",,,,
"",,,,,,,,,"Vollmacht, kraft welcher ich eindesgefertigter Johann Leslie, Private in London, den Herrn Xaver",,,,
5223,Lesire,John,,,,,,,"Kny, sämmtl. Rechte Dr.u.öffentl. Civil- u. Militairagenten in Wien, berechtige, für mich ... auf","Gasbeleuchtung, Brenner",London,1846,02.05.1846
"",,,,,,,,,meine Verbesserung des Gasbrenner ... ein ausschließendes Privilegium anzusuchen ...,,,,
"",,,,,,,,,"Beschreibung einer einfachen, wenig kostspieligen und völilg zuverlässigen Sicherheits-",,,,
5224,Roediger,Friedrich,,,,,,,,"Gewehr, Sperrvorrichtung",Wien,1848,22.12.1848
"",,,,,,,,,"Vorrichtung für Kapselgewehre, ...",,,,
5225,Waguza,Stanislaus,,,,,,,Beschreibung der Getreide- und Graas-Schnitt-Maschine ...,Mähmaschine,Tarnow,1848,24.01.1848
5226,Pollak,Aaron,,,,,,,Beschreibung meiner neuen Entdeckung in der Erzeugung des Siegellackes ...,"Siegellack, Raffinade/Siegellack",Wien,1839,01.07.1839
5227,Giussani,Filippo,,,,,,,Dimostrazione del modo di eseguire il disegno del broccato à rilieve ... [Reliefbrokat],"Brokat, Reliefgewebe",Milano,1848,17.03.1848
5228,Vincenz,Lorenz,,,,,,,Beschreibung der Verbesserung in der Fabrikation des Oeles ...,Oelmühle,Pancsova,1845,15.09.1845
"",,,,,,,,,Beschreibung unserer neuen Erfindung einer immerwährenden oder an einem fortwirkenden,,,,
5229,Luz,H.A.,,Luz,Karl,,,,,Zuckerrübenpresse,Brünn,1848,15.04.1848
"",,,,,,,,,Presse,,,,
5230,Hirsch,Joseph Wilhelm,,Tlach,Vinzenz,,,,"Beschreibung der Art und Weise, wie aus rohem Zink oder Spiauter Zinkdrath erzeugt wird","Zinkdraht, Drahtwalzwerk, Polieren",Troppau,1839,30.12.1839
"",,,,,,,,,"Verbesserungen in der Anfertigung von Verschraubungen und Coupelungen für Röhren,","Rohrverbindung,",,,
5231,Loosey,Karl F.,,,,,,,"Absperrungen, Cylinder und anderen Deckel und Verbindungen bey Maschinen und Apparaten","Schraubenverbindung,",Wien,1849,10.01.1849
"",,,,,,,,,aller Art,"Deckelverschluß, Kupplung",,,
5232,Loosey,Karl F.,,,,,,,Verbesserungen in der Darstellung von Relief Oberflächen für Kunstwerke,"Abguß, Klischee",Wien,1848,25.07.1848
5233,Tante,Johann,,,,,,,Beschreibung des 3 fahcen Bahnwechsels ...,Weiche,Prag,1849,08.02.1849
"",,,,,,,,,Meine gemachte Erfindung besteht in der Erzeugung eines neuen Feuerzeuges /:Zündhölzchen,,,,
5234,Pollak,A.M.,,,,,,,,Zündholz,Wien,1849,13.08.1849
"",,,,,,,,,"oder Zündfidibus:/, ...",,,,
"",,,,,,,,,Beschreibung der Erfindung eines neuen Verfahrens in der Bleiweiß-Fabrication durch Anwendung,,,,
5235,Roediger,Friedrich,,,,,,,,Bleiweiß,Wien,1849,07.12.1849
"",,,,,,,,,von Dämpfen und Gasen,,,,
"",,,,,,,,,"Beschreibung einer neuen Erfindung zur Erzeugung aller Art ""Cylinder-, Wäsche-, Damenkleider-",,,,
5236,Heller,Balduin,,Heller,Joseph,,,,,"Knopf, Stoffüberzug",Prag,1847,21.06.1847
"",,,,,,,,,"und Putzwäsche-Stoffknöpfe, ...",,,,
5237,Giovanella,Gaetano,,,,,,,Descrizione di un fuso di metallo per filatojo da seta ... [Metallene Seidenspindel],"Seide, Spinnmaschine",Rovereto,1845,14.04.1845
