PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der neu erfundenen Methode, gepreßte Bleiröhren mit mehreren Oeffnungen jeder",,,,
5238,Egger,Johann Baptist,,,,,,,"Bleirohr, Kabel",Villach,1849,09.12.1849
"",,,,,,,,"beliebiger Dimension, Länge & Stärke erzeugen zu können",,,,
"",,,,,,,,"Nouveau Systéme pour filer et devider le soiet dans une seule opération, ... [Seidenhaspel und",,,,
5239,Poidebard,Sebastian,,,,,,,"Seidenhaspel, Spinnmaschine",Turin,1840,18.02.1840
"",,,,,,,,Seidenspinnmaschine],,,,
"",,,,,,,,"... Beschreibung ... auf die Erfindung, einen Theil des gebrauchten Dampfes bei Locomotiven",,,,
5240,Haswell,John,Heh,,Johann,,,,"Abdampf, Heizung, Eisenbahnwagen",Wien,1850,02.01.1850
"",,,,,,,,"wieder zu benutzen, ...",,,,
"",,,,,,,,Privilegiums Beschreibung auf Erfindung und auf eine Verbesserung der Oefen zum rösten und,"Zink, Aufbereitung, Röstofen,",,,
5241,Reinhardt,A.C.L.,,,,,,,,Wien,1844,02.07.1844
"",,,,,,,,schmelzen der Zinkerze ...,Schmelzofen,,,
"",,,,,,,,"... Beschreibung und eine Zeichnung, betreffend eine neue Erfindung und Verbesserung bey",,,,
5242,Reinhardt,A.C.L.,,,,,,,"Zink, Aufbereitung, Schmelzofen",London,1845,13.04.1845
"",,,,,,,,"Ausschmelzung des Zinkes, ...",,,,
5243,Stempf,Karl,,,,,,"Beschreibung einer ... neu erfundenen Locomotic-Constructions-Art, ...",Lokomotive,Wien,1849,18.07.1849
"",,,,,,,,"Bitten, ihnen ein Privilegium für die Verbesserung in der Construction verschiedener Apparate",,,,
5244,Bonfil,Ralph,Samuda,,Jakob,,,,Druckluftbahn,London,1844,12.10.1844
"",,,,,,,,sowie für eine verbesserte Art der atmosphärischen Eisenbahn zu bewilligen,,,,
5245,Loosey,Karl F.,,,,,,Carl F. Loosey's Erfindung und Verbesserung in der Erzeugung des Gases,Luftheizung,Wien,1848,22.09.1848
"",,,,,,,,"Samuel Slater's Verbesserungen an gewissen Maschinen, welche zum Herrichten für das Spinnen",,,,
5246,Slater,Samuel,,,,,,,"Baumwolle, Schafwolle, Krempeln",Wien,1845,15.12.1845
"",,,,,,,,"von Baumwolle, Schafwolle und andere fibrosen Substanzen verwendet werden",,,,
"",,,,,,,,Neueste Erfindung des Kaufmann und chemischen Fabrikanten Eduard Gross in Breslau:,,,,
"",,,,,,,,,"Rheumatismus, Gicht, Halskette,",,,
5247,Gross,Eduard,,,,,,"Neuerfundener, verbesserte Galvano electrische Rheumatismus- & Gicht Kette mit",,Wien,1848,07.10.1848
"",,,,,,,,,"Elektrotherapeutische, Elektrotherapie",,,
"",,,,,,,,Electormagnetischem beweglichen Cylinder,,,,
"",,,,,,,,,"Rheumatismus, Gicht, Band,",,,
"",,,,,,,,"Neueste Erfindung des Kaufmann Eduard Groß in Breslau, (Fabrik electro magnetischer Apparate):",,,,
5248,Gross,Eduard,,,,,,,"Elektrotherapeutisches, Sandale,",Wien,1848,07.10.1848
"",,,,,,,,Gicht- & Rhematismus Ableiter in Band- und Sandalenform,,,,
"",,,,,,,,,"Elektrotherapeutische, Elektrotherapie",,,
5249,Gessmann,Ignaz,Syrrenberg,,Heinrich August,,,Beschreibung der Erfindung einer Unschlitt-Seife,"Unschlitt, Seife",Wien,1849,30.11.1849
5250,Wuerth,Wilhelm Edl.v.,,,,,,Bestandtheile und Bereitungsart des Zahnkittes,"Gebiß/Künstliches, Plombe",Wien,1835,08.10.1835
