PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,,"Beschreibung der Materialien, deren Qualität, Quantität, ihres Verhältnißes und des Verfahrens",,,,,
546,Till,,Franz,,,,,,"Wichse, Schuhcreme",Prag,,1821,05.06.1821
"",,,,,,,,"zur Erzeugung der nach meiner Erfahrung und Wissen, bisher besten schwarzen Glanzwichs",,,,,
547,Hendrich,,Joseph,,,,,"Beschreibung der ... Verbeserung in den bestehenden Kupferzündhütchen, ...",Zündhütchen,Prag,,1827,27.04.1827
"",,,,,,,,... beschreibet die Art und Weise alle in Krügen und Glasflaschen versendeten Mineral-Wasser,,,,,
"",,,,,,,,"zum zweckmäßigsten Genuße in hermetische geschlossenen gläsernen Trinkbecher zu bringen,",,,,,
548,Pelikan,,Friedrich,,,,,,Mineralwasser,Wien,,1827,04.04.1827
"",,,,,,,,weil die ... in Flaschen und Krügen enthaltene Massa Wasser nicht auf einmahl getrunken werden,,,,,
"",,,,,,,,"kann, ...",,,,,
"",,,,,,,,Beschreibung der Leder Spalt Maschine. Beschreibung der Leder Falz Maschine. Beschreibung der,"Leder, Spaltmaschine/Leder,",,,,
549,Gertmann,,Bernard,,,,,,,Prag,,1824,18.07.1824
"",,,,,,,,Leder Appretir und Glanz Maschine,"Appretur/Leder, Falzmaschine/Leder",,,,
"",,,,,,,,"Description d'une nouveau Système de Machine propre a filer le Coton & la laine, secomposant de","Spinnmaschine, Baumwolle,",,,,
550,Krammer,,,,,,,,,,,1830,
"",,,,,,,,"Machine à nettoyer on éplucher, carder, étirer, préparer les boudins et filer",Schafwolle,,,,
"",,,,,,,,Beschreibung der durch gemeinschaftliches Zusammenwirken zu Stande gebrachten neuen,,,,,
551,Ertl,,Johann,Stauffer,Johann Georg,,,,Gitarre,Wien,,1822,19.05.1822
"",,,,,,,,Erfindung und Verbesserung im Bau der Guitarren,,,,,
552,Strauss,,Franz,,,,,"Erfindung einer neuen Art, Tafelessige zu erzeugen, ...",Essig,Wien,,1823,02.08.1823
"",,,,,,,,"Beschreibung der ... Verbesserung in der Bierbrauerey, welche ... darin besteht, daß er das Bier",,,,,
"",,,,,,,,"mittelst eines eigenthümlichen, einfachen, nicht kostspieligen, sehr wenig Platz bedürfenden",,,,,
553,Voegl,,Johann Michael,,,,,,"Bier, Brauapparat",Wien,,1825,14.09.1825
"",,,,,,,,"Apparat, so abkühle, daß solches in viel kürzerer Zeit als gewöhnlich abgekühlt werde, das Bier",,,,,
"",,,,,,,,"hiebey mit der Luft in keine Berührung komme, ...",,,,,
"",,,,,,,,"... zeigen ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht: durch Maschinen",,,,,
554,Tanzwohl,,Johann,Voigts,Johann,,,"aller Gattungen von Kaffee, Flaschen, Gläßer und Lichtbutz-Tazzen von dazu geeigneten Metallen","Tasse, Pressen",Wien,,1826,23.06.1826
"",,,,,,,,"und lackirten Eisenblech ... zu verfertigen, ...",,,,,
"",,,,,,,,"Beschreibung und Zeichnung der ... Erfindung, womit er ohne Anwendung thierischer und",,,,,
"",,,,,,,,"Feuerkraft ... nicht nur auf allen Flüssen, sondern auch auf dem Kanal in Ungarn und Wien nach",,,,,
555,Loebersorger,,Anton,,,,,,"Schiffsantrieb, Kettenschleppschiffahrt",Wien,,1824,03.02.1824
"",,,,,,,,Wienerisch Neustadt um vieles geschwinder hinaus und herein als man jetzt mit Pferden zu fahren,,,,,
"",,,,,,,,"vermag auch vermag er viel größerer Last durch seine Erfindung ... auf allen Wassern zu führen, ...",,,,,
"",,,,,,,,Beschreibung einer neu erfundenen Betriebsmaschine unbeladene und beladene Schiffe schneller,,,,,
556,Bodmer,,Johann Kaspar,,,,,,Schiffsantrieb,Wien,,1825,24.10.1825
"",,,,,,,,und billiger Strom auf- und abwärts zu führen,,,,,
"",,,,,,,,"Beschreibung: ... zeigt ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht, daß:",,,,,
"",,,,,,,,,"Luftmotor, Kraftübertragung,",,,,
557,Bodmer,,Johann Kaspar v.,,,,,"Vermittelst des Druckes der atmosphärischen Luft, alle möglichen Arten von Maschinen zu",,Wien,,1825,17.11.1825
"",,,,,,,,,Pneumatische,,,,
"",,,,,,,,"betreiben, Lasten zu heben, so wie fort zu bewegen u.: Preßung hervor zu bringen",,,,,
558,Aichinger,,,Hebenstreit,Johann Ph.,,,Beschreibung der Orbicular Prismatischen Flachs-Spinn-Maschinen,"Flachs, Spinnmaschine",Wien,,1819,01.12.1819
559,Hoerschelmann,,Ernst Christian,,,,,Beschreibung der ... erfundenen Drehpumpe,Pumpe,Wien,,1829,01.11.1829
"",,,,,,,,"Descrizione dell'invenzione, che ... consiste nel fabbricare una stoffa di seta, che puo simulare i",,,,,
"",,,,,,,,"panni-Lana tanto rasi quanto col pelo volgarmente detti peluzzi, la quale serve per fare abiti di",,,,,
561,Seregni,,Ambrogio,,,,,,Seidenstoff,Milano,,1824,14.02.1824
"",,,,,,,,"ogni sorta, e per fare cappelli, stanteche invece di quastarse e logorarsi all'acqua acquista anzi",,,,,
"",,,,,,,,"maggior Lustro, e bellezza",,,,,
"",,,,,,,,Descrizione dell'invenzione che ... consiste nell'aver applicata la macchina à la Jacquart per le,"Seidenstoff, Webstuhl,",,,,
562,Rosa,,Giovanni,,,,,,,Brescia,,1823,24.09.1823
"",,,,,,,,"stoffe di seta ai lavori di filo, ...",Jacquardmaschine,,,,
"",,,,,,,,Descrizione della scoperta che ... consiste ... in telari atti alla fabbricazione di nostri velutini all'uso,,,,,
563,Gillier,,Antonio,,,,,,"Samtband, Bandstuhl",Milano,,1821,18.12.1821
"",,,,,,,,di Francia,,,,,
"",,,,,,,,Descrizione della Scoperta che ... consiste nel fabbricare un olio di tre qualità vantaggioso nelle,,,,,
564,Bosiz,,Felice,,,,,,"Oel/Malerei, Oelfarbe",Milano,,1823,31.12.1823
"",,,,,,,,operazioni della pittura ...,,,,,
"",,,,,,,,"Descrizione della Scoperta ... della Macchina denominata Lifoge à la Jacard, la quale consiste in",,,,,
565,Roux,,Jaquet,,,,,,"Jacquardmaschine, Webstuhl, Dessin",Milano,,1822,08.02.1822
"",,,,,,,,sostanza in Leggere ... [Jacquardmaschine],,,,,
566,Richard,,Giovanni Ippolito,,,,,"Descrizione della Scoperta ... Macchina della Jaquard tanto con un Cilindro che con due, ...","Jacquardmaschine, Webstuhl",Milano,,1822,02.01.1822
"",,,,,,,,"Descrizione dell' invenzione che ... consiste in nuovo metodo per segare i marmi, e le pietre duri",,,,,
567,Aldini,,Giovanni cavaliere,,,,,,"Steinsäge, Marmorplatte",Milano,,1823,02.08.1823
"",,,,,,,,tanto a mano quanto ad acqua ...,,,,,
"",,,,,,,,Descrizione del Processo per la formazione dell'Estratto da cavarsi dalla Pianto Scotano (Rhus,,,,,
568,Conti,,Pietro,,,,,,"Sumach, Gerberei, Färben",Verona,,1825,11.07.1825
"",,,,,,,,"cotinus Linnei), volgarmente nominata dagli Italiani Sommaco, Rosolo, e Fogliarolo",,,,,
569,Praschinger,,Benedikt,Praschinger,Michael,,,Geheimniß der von uns verbesserten Roßhaarzeuge,"Roßhaarzeug, Färben",Wien,,1827,04.01.1827
570,Longo,,Marino,,,,,"Descrizione ... per la nuova invenzione d'indorare, ed inargentare le margherite di vetro","Glasperle, Vergolden, Versilbern",Padova,,1828,26.07.1828
