PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
5351,Moser,Joseph,,,,,"Beschreibung meiner Verbesserung im Baue der Wägen, genannt Winer Camäleons-Wägen",Wagen,,Wien,,1846,26.10.1846
"",,,,,,,Il privilegio consiste nella scoperta di un nuovo processo per la fabbricazione dell'Acido solforico ...,,,,,,
5352,Fornara,Giulio Cesare,,,,,,Schwefelsäure,,Trieste,,1847,09.12.1847
"",,,,,,,[Schwefelsäure],,,,,,
"",,,,,,,"... zeigt ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht, eine Masse von",,,,,,
"",,,,,,,,"Harz, Guttapercha, Schuhsohle,",,,,,
5353,Frank,Joseph,,,,,"verschiedenartigen Harzen für Besohlung von Fußbekleidungen, genannt ""Resina Arbora Franka""",,,Wien,,1850,07.01.1850
"",,,,,,,,Stiefelsohle,,,,,
"",,,,,,,...,,,,,,
"",,,,,,,"Beschreibung eines neu erfundenen Gas-Brenn-Apparates von R.W. Elsner, Ingenieru der",,,,,,
5354,Elsner,R. W.,,,,,,"Gasbeleuchtung, Brenner",,Wien,,1849,28.02.1849
"",,,,,,,"Imp.Cont. gas Association in London, Inspector der Gasbeleuchtung zu Wien",,,,,,
"",,,,,,,Beschreibung ... über Verbeßerung einer Verzierung von Samt- und Seidenstoffen ... zu Vorhang-,"Samt, Seidenstoff, Vorhang,",,,,,
5355,Kowatz,Elisabeth,,,,,,,,Wien,,1850,02.03.1850
"",,,,,,,"Ausschnitte, Vorhanghalter, Glockenzüge und Damenkleidungsstücke","Vorhanghalter, Glockenzug, Kleidung",,,,,
"",,,,,,,Beschreibung des neuen Säbelgriffes mit doppelt springenden einen geschlossenen Korb,,,,,,
5356,Schoeller,Alexander,,,,,,"Säbelgriff, Säbelkorb",,Wien,,1849,28.03.1849
"",,,,,,,bildenden Bügel ... erfunden in der Berndorfer Metallwaaren Fabrik des Alexander Schöller,,,,,,
"",,,,,,,"Die Beschreibung sammt 1 Stück Zeichnung des neu erfundenen pneumatsichen Einsaugers,","Saugapparat, Imprägnierapparat,",,,,,
5357,Nagy,Joseph Eugen v.,,,,,mittel welchem das gefällte Holz fast augenblicklich mit einer conservierenden oder nach Bedarf,"Imprägnierung/Holz, Färben/Holz,",,Wien,,1847,04.09.1847
"",,,,,,,"mit einer färbenden oder entfärbenden Substanz durchgedrungen wird, ...",Entfärben,,,,,
