PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,,"Reduktionsmaßstab,",,,,
5480,Aubréville,Leopold d',,,,,Divisions- und Reductions-Apparate,,,Wien,,1850,27.12.1850
"",,,,,,,,,Mikrometerschraube,,,,
"",,,,,,,"Beschreibung der Bracelettes von Gold, silber und anderen Metallen ohne Schloß, Schnepper oder",,,,,,
5481,Almeroth,Jakob,,,,,,,Armband,Wien,,1850,05.12.1850
"",,,,,,,"Schließe, genannt Sprungfeder Bracelets",,,,,,
"",,,,,,,,,"Briefwaage, Federwaage,",,,,
5482,Sonnenfeld,Joseph,,,,,Beschreibung der mit Drahtfedern construirten Brief- und Packett-Wagen,,,Wien,,1850,06.05.1850
"",,,,,,,,,Briefmarkenlade,,,,
"",,,,,,,"Beschreibung ... zu der neuen Erfindung und Verbesserung einer Maschine, daß Messer, Gabel,",,"Eßbesteck, Putzmaschine,",,,,
5483,Mayer,Ludwig Edmund,,,,,"Schmuck-Toilette-Gegenstände, so auch Gewehre und Säbel u.d.g. ... geputzt oder geschliffen",,"Gewehrreinigen, Säbel,",Wien,,1850,02.07.1850
"",,,,,,,werden ...,,Schleifmaschine,,,,
"",,,,,,,Beschreibung und Zeichnung der ... Erfindung eines Etui zur separirten Aufbewahrung der,,,,,,
5484,Girardet,Charles,,,,,,,Briefmarkenkästchen,Wien,,1850,16.07.1850
"",,,,,,,Briefmarken ...,,,,,,
5485,Selka,Anton,Selka,Joseph,,,Beschreibung zur Verbesserung der Beinkleider ohne Hosenträger,,"Kleidung, Schneiderei",Wien,,1850,29.07.1850
5486,Loosey,Karl F.,,,,,Verbesserungen in der Construction von Heitz Vorrichtungen,,Ofen,Wien,,1849,19.05.1849
5487,Gassauer,Christian,,,,,Beschreibung des ... Bierbraudampfapparats,,"Bier, Brauapparat",Libiegicz,,1846,25.07.1846
"",,,,,,,Beschreibung der Erfindung ... bestehend in einem neuen aus einem bisher nicht verwendeten,,,,,,
5488,Immergut,Markus,,,,,"Abfalle erzeugten Schmirgel- und Schleifpulver, Diamantin genannt, ... auch noch gewisse Theile",,"Schmirgel, Siebwerk",Wien,,1850,13.12.1850
"",,,,,,,"des Produktes zum Cementen, zum Asphalt und zum Gypsmarmor verwendet werden können",,,,,,
5489,Hohenblum,Joseph R.v.,,,,,Manipulations-Verfahren bei der Erzeugung eines hydraulischen Kalkzementes aus Tonschiefer ...,,"Tonschiefer, Kalk/Hydraulischer",Wien,,1849,21.05.1849
5490,Damsky,Andreas,,,,,Beschreibung über die Bestandtheile und über die Art der Erzeugung [der Knöpfe],,Knopf,Wien,,1850,24.08.1850
5491,Grossmann,Joseph,,,,,Erklärung des von mir erfundenen Bierkühl-Apparats,,"Bier, Kühlapparat",Wien,,1846,06.06.1846
"",,,,,,,Beschreibung der ... Erfindung einer neuen Art die Schnur durchzuziehen beim Stempeln der,,,,,,
5492,Girardet,Charles,,,,,,,"Geschäftsbuch, Blattkontrolle",Wien,,1850,30.08.1850
"",,,,,,,Geschäftsbücher,,,,,,
"",,,,,,,... Erfindung und Verbesserung einer Maschine um nicht nur wie bisher die lynontrockenmaschine,,,,,,
"",,,,,,,"mit überflüßig vermehrter Kraft, feuergefährlich und unvollkommen zu betreiben, sondern bey",,,,,,
5493,Mayer,Ludwig Edmund,,,,,,,"Linon, Trockenapparat",Wien,,1850,23.09.1850
"",,,,,,,vereinigter Kraftanwendung dennoch feuersicherer Struktur der Maschine viel gleichartiger,,,,,,
"",,,,,,,schöner und billiger Lynon erzeugen zu können,,,,,,
5494,Hanewald,Karl,,,,,Beschreibung der ... verbeßerten Methode den Zucker crystllisiren zu lassen,,Kristallzucker,Lossen bei Brieg,,1846,30.03.1846
"",,,,,,,"Beschreibung einer neuen Erfindung - betreffend eine Verbesserung electrischer Leiter, nebst",,"Isolierung, elektrische, Kabel,",,,,
5495,Davy,Henry Savill,,,,,,,,Wien,,1846,20.04.1846
"",,,,,,,"Mechanismus, diese Leiter zu erzeugen",,Leitungsdraht,,,,
"",,,,,,,Beschreibung und Zeichunungen gewisser Verbesserungen im Mechanismus zur Erzeugung einer,,,,,,
"",,,,,,,,,"Lokomotive, Pneumatische,",,,,
5496,Davy,Henry Savill,,,,,"Triebkraft, welche durch comprimirte Luft in beständiger Thätigkeit erhalten, und auch auf jede",,,Wien,,1846,05.05.1846
"",,,,,,,,,Druckluftmotor,,,,
"",,,,,,,Art von Maschinen und Mechanismen mit Triebsystem angewendet werden kann,,,,,,
"",,,,,,,"Specification eines verbeßerten Verfahrens in der Fabrikation von Stahl, Kupfer, Zink, Bley und",,"Stahl, Kupfer, Zink, Blei,",,,,
5497,Orth,Louis v.,,,,,,,,Wien,,1847,15.05.1847
"",,,,,,,"ihrer Mischungen, durch die Einführung eines elektrischen Stromes",,Elektrometallurgie,,,,
"",,,,,,,Erfindung und Verbesserung in der Benützung des Electro-Magnetismus und seiner Anwendung,,,,,,
5498,Loosey,Karl F.,,,,,,,Elektromotor,Wien,,1849,19.05.1849
"",,,,,,,"als bewegender Kraft bei Maschinen, Schiffen & Eisenbahnen",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung einer neuen Art Waagen, welche kein Gewicht bedürfen, sondern",,,,,,
5499,Schadlbauer,Ernst,,,,,,,Federwaage,Wien,,1850,11.06.1850
"",,,,,,,Augenblicklich durch eine Scala das Gewicht angegeben wird,,,,,,
5500,Hiltner,Joseph,,,,,... Verbesserung der k.k.priv. oldreichen Säbelkuppeln ...,,"Säbel, Koppel",Wien,,1850,14.06.1850
5501,Eirel,Franz,,,,,Eirel's lithographische Schnellpresse,,Schnelldruckpresse,Wien,,1850,08.05.1850
