PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Neues System des Ofens zur Cock-Fabrizierung, zur Distillation, zur Zersetzung und gleichzeitigen",,,,,
"",,,,,,,,,"Steinkohle, Trockene Destillation,",,,,
5567,Canier,Felix,,,,,,"Reinigung der Steinkohlen-Abfälle, von der Kohlen-Fabrikation herrührend, und ihre Verwandlung",,Wien,,1846,17.12.1846
"",,,,,,,,,"Koks, Aethylen, Gasbehälter",,,,
"",,,,,,,,"in Kohlen-Wasserstoff-Gas zur Beleuchtung, oder zu jedem andern Gebrauch geeignet",,,,,
"",,,,,,,,"Beschreibung der ... Entdeckung und Verbesserung, welche ... in einem continuirlichen Speisungs-",,,,,
5568,Pimont,Peter Prosper,,,,,,"Apparat ... für die Speisung von Hoch-, Mittel- und Niederdruck-Kesseln, mit oder ohne","Dampfkessel, Speisepumpe",Wien,,1846,26.08.1846
"",,,,,,,,"Condensation, bestehet, ...",,,,,
"",,,,,,,,,,Haitzendorf bei,,,
5569,Roth,Andreas Christian,,,,,,Beschreibung der zu erzeugenden Weiswäscheknöpfchen,Knopf,,,1847,04.01.1847
"",,,,,,,,,,Grafenegg NÖ,,,
5570,Presti,Louis Lo,,,,,,Neues bewegliches Schienensystem,"Lokomotive, Raupenfahrzeug",Wien,,1850,20.09.1850
5571,Tschuck,Johann,,,,,,Neue Erfindung einer wohlfeilen und andauernden Zimmerwichse ...,Fußbodenpasta,Wien,,1850,29.11.1850
5572,Leidenfrost,Georg,,,,,,Beschreibung des Apparats zur Färbung der Holzstämme durch Einsaugung flüßiger Farben,"Holz, Färben/Holz, Saugapparat",Wien,,1849,02.10.1849
5573,Rosmanith,Eduard,Simon,G.,,,,Beschreibung der Erfindung und Verbesserung von Metallbuchstaben ... [zediert an G. Simon],"Metallbuchstabe, Legierung",Wien,,1846,11.08.1846
5574,Boehm,Franz,,,,,,Beschreibung einer Selbstwirkenden Siebmaschine,"Grieß, Putzmaschine",Kaaden,,1846,03.07.1846
"",,,,Friedrich,,,,"[Beschreibung] der ... Erfindung, ..., daß vermittelst einer Drehmaschine Gegenstände aus Holz ...",,,,,
5575,Schrimpf,Friedrich August,Schrimpf,,,,,,Drechselbank,Reichenbach,,1846,19.04.1846
"",,,,Ferdinand,,,,gedrechselt werden können ...,,,,,
