PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,"... Sicherheits Axen für Wagen, ..., daß durch eine besondere Zusammenstellung von Axe Büchsen",,,,
5676,Neuss,Joseph,,,,,,"und Naben ... die Reibung bedeutend vermindert, das Schmieren erleichtert und das Sperren","Wagenachse, Radnabe, Schmierbüchse",Hainburg,1851,22.01.1851
"",,,,,,,,sowohl als das Ablaufen der Räder gänzlich vermieden wird,,,,
5677,Ott,Joseph,,,,,,"Beschreibung der ... Erfindung und Verbesserung in der Erzeugung von Bronce-Uhrketten, ...","Uhrkette, Bronzewaren",Wien,1851,24.03.1851
"",,,,,,,,,"Holzbearbeitung, Fräsmaschine/Holz,",,,
"",,,,,,,,Beschreibung der durch Karl Franz Eduard Aulas eingeführten Maschinen zum Schneiden und,,,,
5678,Aulas,Karl Franz Eduard,Grimpé,H.,,,,,"Drechselbank, Holzsäge,",Wien,1838,19.11.1838
"",,,,,,,,Bearbeiten des Holzes,,,,
"",,,,,,,,,"Bohrmaschine, Gewehrschaft",,,
"",,,,,,,,Beschreibung der Verrichtung um das Bleichen des Stempelpapiers und die Verfälschungen in,"Urkundenfälschung, Papier, Signiertes,",,,
5679,Aulas,Karl Franz Eduard,Grimpé,H.,,,,,,Wien,1838,19.11.1838
"",,,,,,,,"Urkunden zu verhinden, Eingeführt von Karl Franz Eugen Aulas",Signieren,,,
5680,Heindoerffer,Friedrich,,,,,,Beschreibung des Personenwagenkastens mit eisernem Gerippe ...,"Eisenbahnwagen, Karosserie, Stahlbau",Wien,1850,28.02.1850
5681,Jahn,J. Karoline,,,,,,Beschreibung der von mir verbesserten Kaffeemaschine,Kaffeemaschine,Wien,1851,25.01.1851
"",,,,,,,,,"Eisenbahnschwelle, Bauholz,",,,
"",,,,,,,,Beschreibung der neuen priv.Methode die Eisenbahn-Sleeper und alle derlei Erdbauwerkhölzer ...,,,,
5682,Packh,Nikolaus Fr.,,,,,,,"Imprägnierung/Holz, Eisenvitriol,",Preßburg,1851,12.03.1851
"",,,,,,,,zu imprägnieren ...,,,,
"",,,,,,,,,Meersalz,,,
"",Managetta -,,,,,,,"Beschreibung eines portativen Apparates zum Aus- und Einpumpen, Reinige, Abkühlen und",,,,
5683,,Albert R.v.,Quidde,August,,,,,"Lüftung, Gebläse",Wien,1851,01.02.1851
"",Lerchenau,,,,,,,Erwärmen der Luft in allen wie immer Nahmen habenden Lokalitäten,,,,
"",,,,,,,,Beschreibung der Verbesserung betitelt Neue Strassen-Parquetten von aufrechten und mit fetten,"Hirnholz, Imprägnierung/Holz,",,,
5684,Weickmann,Franz v.,,,,,,,,Wien,1850,26.03.1850
"",,,,,,,,Substanzen imprägnirten Hirnholz,Holzpflaster,,,
5685,Conraetz,Wilhelm,,,,,,Beschreibung der ... erfundenen Art aus Metall Eßbestecke mit oder ohne Dessin zu erzeugen,"Eßbesteck, Dessin, Walzwerk",Wien,1849,15.03.1849
"",,,,,,,,"Beschreibung der ... erfundenen variablen Expansions-Vorrichtung und Schuber-Wechsel, zur",,,,
5686,Morgenbesser,Moritz,,,,,,,"Dampfmaschine, Schieber, Steuerung",Wien,1847,13.04.1847
"",,,,,,,,Anwendung für alle Arten von Dampfmaschinen,,,,
5687,Fueger,Heinrich,,,,,,"Beschreibung & Zeichnung einer Verbesserung in der Construction der eisernen Dachstühle, ...","Dachstuhl, Stahlbau",Wien,1849,18.05.1849
5688,Eichen,Anton,,,,,,Beschreibung einer Rettungsleiter für Dächer-Brände bei hohen Gebäuden,Feuerwehrleiter,Wien,1851,31.07.1851
"",,Jakob Franz,,,,,,,,,,
5689,Hemberger,,,,,,,Beschreibung eines neuen Dampferzeugers /:Dampfkessel:/,Dampfkessel,Wien,1849,19.09.1849
"",,Heinrich,,,,,,,,,,
5690,Willenbacher,Alois,,,,,,Beschreibung [einer Pendeluhr],Pendeluhr,Wien,1847,14.07.1847
5691,Knussmann,Damian,,,,,,Beschreibung und Zeichnung der Erfindung eines künstlichen Blutegels,Blutentziehung,Wien,1847,07.05.1847
"",,,,,,,,"Beschreibung der ... Verbesserung, welche ... in dem Fortbewegen der Wägen und anderer",,,,
"",,Jakob Franz,,,,,,,,,,
5692,Hemberger,,,,,,,"Fuhrwerke ... auf Eisenbahnen, ... Straßen und Wegen ... Botte, Barken ... auf Flüssen und Kanälen",Druckdampfbahn,Wien,1847,06.05.1847
"",,Heinrich,,,,,,,,,,
"",,,,,,,,"... durch die direkte Wirkung des Dampfes, geleitet durch der Länge nach gelegte Röhren ...",,,,
"",,Jakob Franz,,,,,,"Beschreibung der ... Entdeckung und Verbesserung, welche ... in der Anwendung von elastischen",,,,
5693,Hemberger,,,,,,,,Pneumatik,Wien,1847,06.05.1847
"",,Heinrich,,,,,,"Stützpunkten oder Träger ... an Wagenrädern jeder Art und anderen rollenden Körpern besteht, ...",,,,
5694,Gschmeidler,Johann,,,,,,Beschreibung der Vorhängeschlösser ...,Vorhängeschloß,Wien,1850,23.05.1850
"",Managetta -,,,,,,,,,,,
5695,,Albert R.v.,Schedl,Karl,,Quidde,August,Beschreibung der neu erfundenen Schornsteinaufsätze,Champion,Wien,1851,14.05.1851
"",Lerchenau,,,,,,,,,,,
"",,,,,,,,"Beschreibung der neuen Erfindung, welche in einem Apparate besteht, der sich zum Backen,",,,,
5696,Koenig,Karl,,,,,,"Braten, Dörren, aller wie immer Nahmen habenden Körper, besonders aber zum Backen der","Backofen, Dörrofen",Wien,1851,04.04.1851
"",,,,,,,,Mehlspeisen vorzüglich eignet,,,,
5697,Dobbs,W.S.,,,,,,Beschreibung der ... Dampfmaschine mit Schlittenbewegung und Balaneier ...,Dampfmaschine,Wien,1851,22.03.1851
5698,Ganahl,Karl v.,,,,,,Beschreibung des ... neu erfundenen Bandwebstuhles,Bandstuhl,Feldkirch,1837,20.03.1837
"",,,,,,,,Beschreibung zweier in Bezug auf die Chocolate-bereitung neuer ... erfundener Maschinen zur,,,,
5699,Osswald,J.A.,,,,,,,Schokolademühle,Wien,1839,06.07.1839
"",,,,,,,,Erzeugung der Chocolate,,,,
"",,,,,,,,"Beschreibung der ... eigenthümlichen Verfahren ..., um die in den Dampfkesseln und deren",,,,
"",,Jakob Franz,,,,,,,,,,
5700,Hemberger,,,,,,,Siederohren ... sich bildende Begrustung ... resp. Ansetzung des sogenanten Wasser- oder,Kesselsteinmittel,Wien,1847,12.03.1847
"",,Heinrich,,,,,,,,,,
"",,,,,,,,Kesselsteines ... zu verhinden ...,,,,
"",,Bernard Eduard,,,,,,,,,,
5701,Decker,,,,,,,"Beschreibung und Zeichnung der Erfindung eines neuen Kutschentritts-Systems, ...",Trittbrett,Wien,1847,09.04.1847
"",,Damil,,,,,,,,,,
5702,Motz,Salomon,,,,,,Beschreibung und Plan einer Preßmaschine ... zur Erzeugung aller Arten von Blumenlaub ...,"Kunstblume, Stanze",Wien,1847,01.05.1847
"",,,,,,,,Descrizione e disegni della nuova invenzione per distaccare i cavalli dalla Carrozza in tutti i casi ...,,,,
5703,Regondi,Antonio,,,,,,,Ausspannvorrichtung,Milano,1847,20.02.1847
"",,,,,,,,[Ausspannvorrichtung],,,,
5704,Ploy,Ludwig,Scherr,Stanislaus,,,,Beschreibung einer neuen Erfindung in der Erzeugung des künstlichen Ultramarins,Ultramarin,Obernberg,1848,03.03.1848
