PrivRegNr,Name1,Vorname1,,Name2,Vorname2,,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatu
707,Schnirch,Friedrich,,,,,,,"Umstandliche Beschreibung der ... erfundenen Eisendächer für mehrere Arten von Gebäuden ... Dachstuhl, Fachwerk, Stahlbau",,Strassnitz,1826,01.02.1826
"",,,,,,,,,"Beschreibung der ... Erfindung, die Männer-Hals-Cravate auf Posamentier-Handstühle zu",,,,
708,Sterck,Mathias,,,,,,,"Krawatte, Posamentierstuhl",,Wien,1824,15.07.1824
"",,,,,,,,,verfertigen,,,,
"",,,,,,,,,Beschreibung der ... neuen Verbesserung der Thüreln zur hermetischen Schließung der,,,,
709,Lang,Johann,,,,,,,"Hermetische Tür, Türabdichtung",,Wien,1825,06.09.1825
"",,,,,,,,,Oeffnungen an was immer für Apparaten,,,,
710,Lorentz,Joseph Georg,,,,,,,"Beschreibung zweyer Gattungen Walkseife, und deren Bereitungsart Walkseife",,Reichenberg,1830,08.06.1830
711,Lenssen,Johann,,,,,,,"Beschreibung der Schmier Oel Seife, ... Walkseife, Schmierseife",,Wien,1826,01.05.1826
"",,,,,,,,,Descrizione dell'invenzione che ... consiste in un nuovo apparecchio economico per la filatura della,,,,
712,Ratti,Pasquale,,,,,,,"Seidenkokon, Seidenhaspel",,Milano,1825,11.05.1825
"",,,,,,,,,seta ...,,,,
"",,,,,,,,,Beschreibugn der Erfindung Bierglasserne Dekel zu Gissen welche den Vortheil gewahren daß der,,,,
713,Reinpacher,Heinrich,,,,,,,"Bierglas, Zinngeschirr, Deckel",,Graz,1827,25.08.1827
"",,,,,,,,,Dekel auf der Schannier auf einmahl gegossen wird; ...,,,,
"",,,,,,,,,"Beschreibung der Verbesserung womit mittelst einer Maschine sowohl die ungarische, als",,,,
"",,,,,,,,,"böhmische Schafwolle von allem Unrathe, Schmutz und mitführendem Sande auf das schönste,",,,,
714,Auer,Markus,,,,,,,"und zweckmässigste gereinigt, als auch die durch Schweis, und Dunst zusammengebackenen, und Schafwolle, Wollwäsche",,Prag,1824,10.02.1824
"",,,,,,,,,geknetteten Spitzen der Wolle durch Bespritzung ganz einfacher Ingredienzien auf eine sehr,,,,
"",,,,,,,,,vortheilhafte Weise geöffnet werden,,,,
