PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,,,"Kleidung, Lagerung/Kleidung,",,,,
783,Goldner,Moses,Singer,G.,,,,"Geheimniß. Um Kleidungsstücke vor Schoben zu bewahren, ...","Imprägnierung/Kleidung, Zwirn,",Wien,,1825,19.05.1825
"",,,,,,,,,Imprägnierter,,,,
"",,,,,,,,Beschreibung. Uiber die Verbesserung der bisherro bestehenden sogenannten Liegenden und,,,,,
784,Wittmann,Peter,,,,,,,Dachstuhl,Villach,,1823,14.11.1823
"",,,,,,,,"Stehenden Dachstühle, sowohl für Ziegel als Holzbedachungen",,,,,
"",,Franz Simon Graf,,,,,,,,,,,
785,Pfaffenhoffen,,,,,,,"Beschreibung ... der ... Verbesserung der in Paris erfundenen Wägen/Omnibus genannt/, ...",Omnibus,Paris,,1829,31.08.1829
"",,v.,,,,,,,,,,,
"",,,,,,,,,"Schnittware/Lagerung,",,,,
786,Moschkovitz,Selig,Schwartz,Salomon,,,,Beschreibung zur neuen Verbesserung aller Gattung Schnittwaaren,"Lagerung/Schnittware,",Wien,,1826,14.01.1826
"",,,,,,,,,Imprägnierung/Schnittware,,,,
"",,,,,,,,"Beschreibung der ... Entdeckung welche ... darin besteht, das blaue Nadlpapier; welches außer",,,,,
787,Lerch,Joseph,,,,,,Schwabach weder in den kaiserl.östr.: noch in k.-preußischen Staaten erzeugt werden kann -,"Papier, Nadelpapier",Kronstadt,,1826,25.09.1826
"",,,,,,,,fabrizieren zu können,,,,,
"",,,,,,,,Descrizione di due nuovi Invenzioni ossia miglioramenti nell'arte di raffinare lo Zucchero [Text,,,,,
788,Buerkel,Giovanni Rudolfo,,,,,,,"Zucker, Raffinade/Zucker",Milano,,1824,20.04.1824
"",,,,,,,,französisch u. italienisch],,,,,
"",,,,,,,,Descrizione delle invenzioni o miglioramenti che ... consistono ... 1.) nel perfezionamento di una,,,,,
789,Minotto,Giovanni,Riviere,Francesco,,,,"macchina a vapore a rotazione semplice, e di doppio effetto; 2.) nella sostituzione di trovato ...",Dampfmaschine,Venezia,,1829,10.04.1829
"",,,,,,,,[Dampfmaschine],,,,,
"",,,,,,,,Beschreibung der ... Erfindung einer neuen Verbesserung in Verfertigung aller Gattungen Herren-,,,,,
790,Kaufmann,Friedrich,,,,,,"Kleider, welche ... darin bestehl, daß durch das bloße Bemeßen der oberen und unteren Leibweite,","Schneiderei, Schnittzeichnen",Wien,,1831,08.07.1831
"",,,,,,,,"so wie der Länge von der Hälfte bis zur Ferse mittelst Berechnung die Kleider ... erzeugt werden, ...",,,,,
"",,,,Franz Sigmund,,,,"Beschreibung der Erfindung, welche darin besteht, ""den Häusern, Mauern und Dächern jede Art","Mauer, Dach, Anstrich,",,,,
791,Ceregetti,Franz,Emperger,,,,,,,Wien,,1826,24.07.1826
"",,,,Edl.v.,,,,"einen an der Ausenseite mit besonderen Vortheilen aufgetragenen Anstrich zu geben""",Oberflächenschutz,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß er die zu den Argandischen",,,,,
"",,,,,,,,"Kerzen benöthigenden hohlen Dochte, auf eine zweckmäßige einfache Art so reinige, daß die in",,,,,
