PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: In allen Farben färbiges Siegellack in einer",,,,,
870,Lachner,Anton,,,,,"Siegellack, Färben/Siegellack",,Prag,,1827,25.04.1827
"",,,,,,,neuen Art zu verfertigen,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Alle Gattungen Männer Kleider nach",,,,,
871,Roebke,Johann,,,,,"Regeln der Optik und nach mathematischen Berechnungen, ..., dergestalt zu verfertigen, daß Schneiderei, Zuschneiden",,Wien,,1827,11.10.1827
"",,,,,,,hiedurch 1 1/4 Personen bey den Ankauf ihrer Kleiderstoffe viel ersparen können ...,,,,,
872,Liebig,Franz,Liebig,Johann,,,"Beschreibung der ... entdeckten neuen Merions-Brühmaschine, ... Merino, Appreturmaschine",,Reichenberg,,1830,17.05.1830
"",,,,,,,"Beschreibung der ... Verbesserung der Sengmaschine, deren Wesenheit darin besteht, daß  mittels",,,,,
873,Liebig,Franz,Liebig,Johann,,,"Merino, Sengen",,Reichenberg,,1830,17.05.1830
"",,,,,,,dieser Maschine die Merionswaaren ... gesengt werden kann,,,,,
"",,,,,,,"Buntpapier, Wachstuch,",,,,,
874,Hallmann,Ferdinand,Knepper,Wilhelm,,,"Beschreibung der neuen Erfindung und Verbesserung im Papier und Leinwand Färben und Fladern Sprenkelmaschine, Maserwalze,",,Wien,,1824,26.10.1824
"",,,,,,,Dessin,,,,,
"",,,,,,,Die Verbesserung an denen Maschinennadeln der sowohl eisernen als hölzernen,,,,,
875,Wanschura,Emanuel,,,,,"Schakardmaschinen besteht darin, daß der daran befindliche Schnepper nicht mehr offen ist, Jacquardmaschine, Maschinenadel",,Wien,,1830,15.07.1830
"",,,,,,,wodurch sie leicht heraus fallen konnte ...,,,,,
