PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,,Ort,Jahr,Einreichdatu
"",,,,,,,Die genaue Beschreibung welche von der am 15.12.1826 eingereichten Prioritäts Bitte laut,,,,,,
"",,,,,,,"Regierungs Decret vom 8.July 1827, Zahl 37, 951, von anderen Gegenständen abgeändert, wie",,,,,,
1116,Szabo,Johann Anastasius,Szabo,Paul,Szabo,Paul Mathias,Feuerspritze,,,Wien,,1827,19.07.1827
"",,,,,,,"folgt, als 1. Daß die Unterzeichneten ihren doppelt wirkenden Stiefel, daher die Hydraulischen",,,,,,
"",,,,,,,Maschinen und besonders die Feuerspritzen ungemein leichter gehen,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß aus allen zusammengestampften Papieren /:nicht aus",,,,,,
1117,Steininger,Johann Michael,,,,,"Pappendeckel:/ die reinsten Arbeiten, sowohl von Abbildungen und aller Arten Thiere ... verfertigt Modellieren, Papiermachè",,,Ried/Innkreis,,1830,18.12.1830
"",,,,,,,"worden sind, ...",,,,,,
"",,,,,,,Beschreibung einer Spinn- und Seiden-Doppelungs-Maschine nebst Bilanciere /:Französ.:,,,,,,
"",,,,,,,"Seide, Spinnmaschine,",,,,,,
1118,Fedeli,Cajetan,Fedeli,Johann,,,"regolateur, deutsch: vielleicht Gleichgewichtsstange:/ von einer Erfindung, und Verbesserung-",,,Bergamo,,1829,26.02.1829
"",,,,,,,Doubliermaschine,,,,,,
"",,,,,,,Zetto,,,,,,
"",,,,,,,Descrizione dettagliata del modo di riportare ogni sorta di rami incisi sopra qualunque legname,,,,,,
1119,Abbiati,Francesco,,,,,Kupferdruck,,,Como,,1827,08.12.1827
"",,,,,,,"levigato , non destinguendo i rami colorati dai neri [Kupferstiche auf Holz]",,,,,,
1120,Koenigsbrunn,Alois Frh.v.,,,,,"Beschreibung des ... erfundenen Schreibzeuges, ... Schreibfeder, Tintenfaß",,,Graz,,1832,01.01.1832
"",,,,,,,"Griffel zum Schreiben und Zeichnen. Der Dintenbehälter. Der Feuerzeug und die Siegelstiften. Schreibfeder, Tintenfaß, Tinte,",,,,,,
1121,Koenigsbrunn,Alois Frh.v.,,,,,,,,Graz,,1832,09.08.1832
"",,,,,,,"Konzentrirter Dintenstoff in Pulverform Siegelapparat, Aetzstift, Glasätzen",,,,,,
"",,,,,,,"Descrizione della Scoperta, che ... consiste nel trarre il nero da qualsiasi ciarpa, abito, e Stoffa si di",,,,,,
"",,,,,,,"Färben, Seidenstoff, Leinwand,",,,,,,
1122,Vaghi,Ferdinando,,,,,"Seta, che di Lana, e ridurre detti oggetti ad altri diversi colori [Methode schwarze Zeuge",,,Milano,,1827,30.05.1827
"",,,,,,,Entfärben,,,,,,
"",,,,,,,umzufärben],,,,,,
"",,,,,,,"Descrizione della scoperta, che ... consiste nel metodo di excavare i pozzi cosi detti Artesiani, ... Brunnen/Artesischer, Tiefbohrung,",,,,,,
1123,Parea,Carlo,,,,,,,,Milano,,1830,23.08.1830
"",,,,,,,[Methode artesiche Brunnen zu graben] Bohrapparat,,,,,,
"",,,,,,,Descrizione della Scoperta che ... consiste nel fabbricare colla Galetta di Scarto volgarmente detta,,,,,,
1124,Gos,Pietro,,,,,Seidenstoff,,,Milano,,1824,01.09.1824
"",,,,,,,Strusa una Stoffa ... [Seidenstoff auf Seidenabfall] [Text frz.],,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß mittelst dieser Erfindung durch eine besondere Anheftung",,,,,,
1125,Promperger,Johann,,,,,"der Saiten und des Resonanzbodens der Korpus sangfrey und unabhanglich gesetzt, daß ein Klavier, Resonanzboden",,,Wien,,1824,17.05.1824
"",,,,,,,"eigenthümlicher Ton gewonnen wird, ...",,,,,,
"",,,,,,,"Beschreibung der ... 2 Erfindungen, nämlich 1.) einer Maschine, mit welcher sogenannte Atlas-",,,,,,
1126,Wendeler,Joachim,,,,,"oder Rippenbördel aus 4 verschiedenen Farben ... verfertigt werden können, ... 2.) einer Maschine Borte, Bandstuhl",,,Wien,,1828,20.09.1828
"",,,,,,,"zur Erzeugung der sogenannten englischen Bördel von 2 Farben, ...",,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß er die Mailänder Schwarzfärberey im Glanz zu machen",,,,,,
1127,Kutin,Anton,,,,,"Schwarz, Färben",,,Wien,,1830,29.03.1830
"",,,,,,,"verstehe, ...",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß sie mittels Maschinen /:welche von den bereits am",,,,,,
1128,Krauss,Isidor,Oberer,Friedrich,,,"12.01.1823 ausschließend privilegirten wesentlich verschieden sind:/ alle Gattungen Handschuhe Handschuh, Zuschneidemaschine",,,Wien,,1824,22.05.1824
"",,,,,,,"... erzeigen, ...",,,,,,
"",,,,,,,Genaue Beschreibung über eine Erfindung aus einem unbenützten Soregate von einem zurück,,,,,,
1129,Uhel,Moritz,,,,,"Seifensiederfluß, Kali",,,Wien,,1832,17.09.1832
"",,,,,,,gebliebenen Fabrikat (Seifensieder-Mutterlauge) Kali zu gewinnen,,,,,,
1130,Hochberg,Anton Frh.v.,,,,,"Beschreibung des Verfahrens bey Erzeugung des künstlichen Gipses, ... Gips/Künstlicher, Kunstdünger",,,Prag,,1823,10.07.1823
"",,,,,,,Descrizione del miglioramento che ... consiste ... nella fabbricazione dei cappelli e berretti di lana,,,,,,
1131,Charansonnay,Guglielmo Enrico,,,,,"Hut, Kappe",,,Milano,,1825,24.08.1825
"",,,,,,,ossida feltro ... [Filzhüte und Leinenmützen],,,,,,
"",,,,,,,Dieses Paquet enthält die Zeichnungen und die Beschreibung von einer Verbesserung und,,,,,,
"",,,,,,,"Entdeckung ...:a) in der Erfindung neuer Rauchstöcke ..., welche mit ... Pfeife, Tabak und Feuerzeug Tabakspfeife, Stock, Zigarrenspitze,",,,,,,
1132,Crecellius,Karl,,,,,,,,Wien,,1831,05.09.1831
"",,,,,,,"versehen sind, ... b) in der ... Verbesserung der Tabakspfeifen ... f) in der Verbesserung der Zigarren Zigarettenspitze",,,,,,
"",,,,,,,Röhrchen ...,,,,,,
"",,,,,,,"Beschreibung der Erfindung, daß mit einer gleichen Beymischung von Maisch von einmal abziehen",,,,,,
1133,Winternitz,Heinrich,Winternitz,Jakob,,,"guter Gesundheitsbrandwein mit aromatischen Gerüchen von Aneis, Kümel, Fenchel und Kalmus Branntwein, Destillierapparat, Likör",,,Hösting,,1823,24.04.1823
"",,,,,,,abgezogen werden kann,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: daß es ... gelungen ist, ... den schwedischen Kaffee eben so",,,,,,
1134,Ungermann,Franz,,,,,"aus dem Astragalus baeticus [Kaffeewicke] wie auch aus dem heimischen Astragalus [wildes Kaffee, Astragalus",,,Prag,,1823,27.12.1823
"",,,,,,,"Süßholz] zu erzeugen, ...",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ... verschiedene Gattungen Getränke, als Brandwein, Sliwowiec, Branntwein, Sliwowitz, Rosoglio, Likör,",,,,,,
1135,Bodansky,Leo,,,,,,,,Lipnitz,,1824,15.02.1824
"",,,,,,,"Rosoglio und Liqueur, mittelst eines neuen Destillir-Apparats ... zu erzeugen, ... Destillierapparat",,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß sie Zuckeressig aus Zucker, Syrup und Formbackwasser",,,,,,
1136,Reyer,,Schlick,,,,Essig,,,Wien,,1821,14.12.1821
"",,,,,,,"erzeugen, ...",,,,,,
1137,Burka,Alois,Burka,Anton,,,Genaue Angabe des Geheimnißes wie das neue erfundene Taffelöhl verfertiget wird Oel,,,Wien,,1821,06.02.1821
