PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung ... der ... Verbesserung, ..., daß mittelst eigener Vorrichtungen an Kratzmaschinen",,,,,
1162,Zillig,Jakob,,,,,"die Arbeit der Vor- und Feinkratzen gleichmässiger vertheilet, und dieselben auch während des",Krempeln,,Schwadorf,1824,26.03.1824
"",,,,,,,"Ganges im gereinigten Zustande erhalten werden, ...",,,,,
"",,,,,,,Descrizione dell'invenzione che ... consiste nella costruzione di una caldaja per filare i bozzoli a,,,,,
1163,Solari,Gerardo,,,,,,"Seidenkokon, Seidenhaspel/Ofen",,Monza,1828,26.07.1828
"",,,,,,,secco ... [Seidenkokonhaspelkessel],,,,,
"",,,,,,,"Beschreibung der Verbesserung, welche ich endesgefertigter bey den Spinn- und den","Spinnmaschine,",,,,
1164,Thornton,Johann v.,,,,,,,,Pottendorf,1822,09.04.1822
"",,,,,,,"hiezugehörigen Vorbereitungs Maschinen gemacht habe, ...",Vorbereitungsmaschine,,,,
"",,,,,,,"Beschreibung der ... Erfindung, .., mit dem gewöhnlichen Seidenzeugwebstuhle, statt der bisher",,,,,
1165,Sottil,Michael,,,,,,"Seidenweberei, Webstuhl",,Wien,1822,20.04.1822
"",,,,,,,"üblichen Gattermaschine, einen ganz neuen Mechanismus in Verbindung gebracht zu haben, ...",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß er auf seiner Reise durch Frankreich ... die neue",,,,,
1166,Appel,Ignaz,,,,,"Entdeckung gemacht habe, aus inländischen Ziegen- und Widderhäuten marokkuen von allen","Maroquin, Färben/Leder",,Wien,1822,23.05.1822
"",,,,,,,"Gattungen Färben so zu bereiten, wie es in Frankreich üblich ist, ...",,,,,
"",,,,,,,Descrizione dell'invenzione che ... consiste nella preparazione e formazione di Carta da,,,,,
1167,Andreoli,Faustino,Andreoli,Luigi,,,,"Papiermaschine, Tapete",,Toscolano,1822,15.03.1822
"",,,,,,,"tappezzerie, non che velina ... [Tapetenpapiermaschine]",,,,,
"",,,,,,,Beschreibung des für Walzwerke zum Zusammenschrauben der Walzen von gefertigten,,,,,
1168,Rosthorn,Gerbueder,,,,,,Schraubenschlüssel,,Wien,1823,23.08.1823
"",,,,,,,erfundenen Schraubenschlüssels ...,,,,,
"",,,,,,,"Genaue Beschreibung der ... Erfindung, ..., daß er ... eine Hanf-Raffinirungs Maschine zu Stande",,,,,
1169,Wiedemann,Johann Gotthilf,,,,,,"Hanf, Raffinade/Hanf",,Wien,1823,01.12.1823
"",,,,,,,"gebracht habe, ...",,,,,
1170,Gigling,Karl,,,,,Bereitungsart der Platinschwämchen zu Zündmaschinen,Feuerzeug,,Wien,1833,29.05.1833
1171,Descamps,Cesare,,,,,Descrizione della Macchina ad incannare la Seta ... [Seidenspulmaschine],"Seide, Spulmaschine",,Milano,1830,06.12.1830
"",,,,,,,Descrizione del miglioramento che ... consiste nel metodo da Lui introdotto di preparare la paglia,,,,,
1172,Origone,Giorgio,,,,,per la fabbricare della Carta colla calce senza usare la Potassa [Strohpapier mit Kalk ohne,Strohpapier,,Genova,1822,23.08.1822
"",,,,,,,Pottasche],,,,,
"",,,,,,,Beschreibung jeden Metall-Drath auf einem gewöhnlichen Weberstuhl mittelst denselben,,,,,
1173,Angeli,Anton,Pfundmayer,Sebastian,,,,"Drahtgewebe, Webstuhl",,Wien,1823,12.02.1823
"",,,,,,,Werkzeug zu verweben,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ... l. daß er durch chem. Zusammensetzung einen wasserdichten",,,,,
"",,,,,,,,"Imprägnierung, Wasserdichter Zwilch,",,,,
1174,Ceregetti,Franz,,,,,"Firniß erfunden haben, mit welchen er alle Gattungen FeuerAmper und Wasserschleuche von",,,Wien,1822,18.11.1822
"",,,,,,,,"Feuereimer, Feuerwehrschlauch",,,,
"",,,,,,,"starken Hanfenen Zwillich wasserdicht herzustellen im Stande ist, ...",,,,,
1175,Luetge,Gottfried,,,,,Erklärung wie die Reit und Fahrpeitschen gemacht werden,Peitsche,,Wien,1824,12.01.1824
"",,,,,,,"Beschreibung der ... Verbesserung an den Koch- u. Fleischtöpfen, ...: 1. daß dieselben aus ... Kupfer",,,,,
"",,,,,,,,"Papinscher Topf, Kupfergeschirr,",,,,
1176,Zenker,Franz Georg,,,,,"verfertiget, 2. eine konische Form erhalten ... 3. daß die Verschließung dieses Topfes mittelst einer",,,Wien,1824,26.01.1824
"",,,,,,,,Kochgeschirr,,,,
"",,,,,,,einzigen Schraube ... erzweckt ... wird,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: Eine nach Chinesischer Art, jedoch verbesserte Harmonika",,,,,
1177,Reinlein,Anton,,,,,,Harmonika,,Wien,1823,17.12.1823
"",,,,,,,"zu verfertigen, ...",,,,,
1178,Wappler,Michael,,,,,"Beschreibung der ... erfundenen ganz neuen Art von Radbüchsen, ...",Schmierbüchse,,Wien,1823,13.12.1823
1179,Riffel,Joseph,,,,,Beschreibung der Erfindung zur Verfertigung der Regen- und Sonnenschirme,"Regenschirm, Sonnenschirm",,Wien,1830,31.03.1830
"",,,,,,,Descrizione della macchina d'invenzione che ... consiste nel biancheggiare gli Stracci uso della,,,,,
1180,Galvani,Carlo,,,,,fabbricazione della Carta con l'acido muriatico ossigenato [Hadernbleiche zur Papiererzeugung mit,"Hadern, Bleichen/Papier, Papier",,Pordenone,1823,13.09.1823
"",,,,,,,Salzsäure],,,,,
1181,Bertleff,Michael Andreas v.,,,,,Beschreibung der von mir erfundenen Zubereitungsart der Schreibfederkiele,Schreibfeder,,Wien,1823,12.10.1823
"",,,,,,,Descrizione della invenzione e miglioramento che ... consiste nella riduzione di terra ordinaria e,,,,,
1182,Oglio,Giuseppe dall',,,,,"fina, inservienta alla formazione di terraglie ed altri simili lavori, presentanti variati colori ...","Tonwaren, Dessin",,Niesi,1823,05.04.1823
"",,,,,,,[Bemalte Tonwaren],,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: Ohne Anwendung des bisher aus Frankreich bezogenen",,,,,
"",,,,,,,"Grünspanns, und ohne Anwendung von Bergwerksproducten als Urstoff aus inländischen",,,,,
1183,Hörmann,Magnus,,,,,,Grün,,Wien,1823,07.08.1823
