PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"Descrizione del miglioramento, che ... consiste in una fabbricazione di riverberi parrabolici",,,,
"",,,,,,,,"Scheinwerfer, Parabolspiegel,",,,
1186,Ferrini,Giovanni Battista,,,,,"gittandoli di rame, ed altri metali, ... che servono per le Lampade di notturna illuminazione",,Brescia,1827,09.01.1827
"",,,,,,,,"Straßenbeleuchtung, Lampe",,,
"",,,,,,,[Scheinwerfer aus Kupfer oder anderem Metall für die Lampen der Nachtbeleuchtung],,,,
"",,,,,,,"Déscription des machines et des procédés inventés ... pour la filatura mécanique du Lin, du",,,,
1187,Girard,Philippe de,,,,,,"Spinnmaschine, Flachs, Hanf",Wien,1816,01.03.1816
"",,,,,,,"Chauvre, etc.",,,,
"",,,,,,,Verbessertes Verfahren bey Erzeugung der Neubleyweiße mit Anwendung der Steinkohlen als,,,,
1188,Brucks,Joseph,Warbollan,Leonhard,,,,Bleiweiß,Klagenfurt,1822,01.08.1822
"",,,,,,,Brennstoff,,,,
1189,Touaillon,Joseph Franz,,,,,Beschreibung der ... Verbesserung der Stahlwaren Erzeugung ...,"Stahl, Härten, Stahlwaren, Rostschutz",Wien,1823,05.08.1823
"",,,,,,,Beschreibung zur Erzeugung der Filzstoffe aus Haasenhaaren; ebn so auch wie aus diesen,,,,
1190,Bayer,Johann Georg,,,,,nämlichen Hasenhaaren viel feinere dauerhaftere und leichtere Hüte als die bisher gekannten,"Hasenbalg, Hut",Hermannstadt,1823,14.05.1823
"",,,,,,,erzeugt werden können,,,,
1191,Siegl,Joseph,,,,,Bereitung des chemischen Pulvers. Bereitung des Leinölfürnisses,"Schießpulver, Firnis",Olmütz,1822,16.12.1822
"",,,,,,,"Beschreibung der ... Erfindung, ...: Bey einem aufrechtstehenden Pianoforte an welchem die",,,,
"",,,,,,,"Hämmer von den Tasten abgesondert, durch lange Stäbe /:Abstrakten:/ in Bewegung gesetzt",,,,
"",,,,,,,"werden, mittelst Anbringung einer einfachen Mechanik jedem Tone die Ocatve beyzufügen, so",,,,
1192,Streicher,Johann Baptist,,,,,,"Klavier, Okatvverdopplung",Wien,1824,14.01.1824
"",,,,,,,zwar: daß ein und derselbe Taste seinen eigenen und den Hammer der nächsten Octave,,,,
"",,,,,,,"anschlägt, wodurch bey gehöriger Anwendung, /:da die Mechanik willkührlich, gleich einer",,,,
"",,,,,,,Mutation gebraucht werden kann:/ einen musikalischen Effekt eigener Art erzielt wird,,,,
"",,,,,,,"Beschreibung der ... Erfindung, Verbesserung, von allen Sorten Siegellack in allen möglichen",,,,
"",,,,,,,,"Siegellack, Färben/Siegellack,",,,
1193,Andreazzi,Joseph,,,,,"Farben, theils einfärbig, theils marmorirt, in Stangen und in Zelteln, Ersteres zur Sieglung der",,Wien,1833,25.05.1833
"",,,,,,,,Flaschenverschluß,,,
"",,,,,,,"Briefe und anderer Dokumente, Letzeres zur Versiegelung von Flaschen anwendbar, ...",,,,
"",,Raymund Vinzenz,,,,,Beschreibung von der Selbst- und Immerbewegungsmaschine oder dem sogenannten lebendigen,,,,
1194,Gaerber,,,,,,,Perpetuum mobile,Wien,1816,05.07.1816
"",,Ignaz,,,,,Rade [Perpetuum mobile],,,,
"",,,,,,,"Zeichnung und Beschreibung des Schützen-Regulators oder Kraftverteilers, behufs gleichmässiger",,,,
1195,Neuffer,B.L.,Wreden,C.F.,,,,Schützenregulator,Wien,1818,01.06.1818
"",,,,,,,"Geschwindigkeit der durch Wasserkraft in Bewegung gesetzten Maschinen, ...",,,,
"",,,,,,,Beschreibung und Zeichnung des erfundenen selbstwebenden Weberstuhls [von Th. Bischof],,,,
1196,Hennig,Georg,Hornbostel,G.,,,,Webstuhl,Wien,1816,01.01.1816
"",,,,,,,[Pseud.],,,,
"",,,,,,,"Beschreibung des Mechanismus von dem Schiffe, welches nach der Erfindung des Unterfertigten",,,,
1197,Löbersorger,Anton,,,,,,"Kettenschleppschiffahrt, Schiffsantrieb",Wien,1817,09.07.1817
"",,,,,,,ohne thierische Kraft stromaufwärts fährt ...,,,,
"",,,,,,,"... invenzione di una Nave ..., innaufragabile ... indipendente dal vento, e dalla macchina a vapore,",,,,
1198,Locatelli,Luigi,,,,,,"Schiffsantrieb, Getriebe",Milano,1817,14.02.1817
"",,,,,,,"con un semplice Meccanismo mosso da Uomini, o da Bestie ... [Neues Schiff]",,,,
"",,,,,,,Beschreibung der Verbesserung: 1. Unserer Kaffeemühle in einem viereckigen Kastel. 2. haben wir,,,,
1199,Rohn,Albert,Weydinger,Joseph,,,"die früher auf obigem Kastel sich befindlichen Schalen kassirt, 3. haben wir unser Werk in den",Kaffeemühle,Wien,1827,14.02.1827
"",,,,,,,"inneren Raum des Kastels befestiget, daß der Kaffee an seiner Stärke und Aroma nichts verliert",,,,
1200,Bernwerth,Franz,,,,,Erläuternde Beschreibung zur beyliegenden Zeichnung meines Maschinen-Webstuhls,Webstuhl,Wien,1818,28.10.1818
1201,Watts,John,,,,,"Description of ... mode of casting stereotype Plates, ...","Autotypie, Druckplatte",Wien,1819,20.01.1819
"",,,,,,,... erlegt ... die Beschreibung der Verfertigungs Methode der von ihm erfundenen chemischen,,,,
1202,Scholz,Emanuel,,,,,,Billardkugel,Sambor,1819,01.09.1819
"",,,,,,,Billardballen,,,,
"",Salm -,,,,,,Vollständige Beschreibung des Verfahrens Röhren aus Gußeisen nach einer ganz neuen,"Rohr/Rußeisernes, Gießmodell,",,,
1203,,Hugo Altgraf v.,,,,,,,Blansko,1818,01.11.1818
"",Reiffenscheid,,,,,,vortheilhaften Art zu verfertigen,Gußeisen,,,
"",,,,,,,Beschreibung meiner Erfindung der conzentrirten Gärbe-Substanz. Beschreibung der Bereitung,,,,
1204,Uffenheimer,Jonathan Lazar,,,,,,"Färben, Gerberlohe, Schwarz",Wien,1834,
"",,,,,,,der von mir erfundenen conzentrirten Gallus-Substanz,,,,
"",,,,,,,"Beschreibung der Erfindung alle Arten Figuren, Spielwaaren, und sonstige Gegenstände auf eine",,,,
"",,,,,,,"ganz neue Art zu erzeugen, u. zwar: 1. die Masse hiezu auf eine sehr feste Art zu bewirken, 2. die",,,,
"",,,,,,,"Figuren, und die figuren der Thiere mit Wolle so täuschend zu belegen, daß erstere in Tuch","Plastische Masse, Modellieren,",,,
1205,Krausse,Karl Gottlob,Wanig,Joseph,,,,,Prag,1831,21.10.1831
"",,,,,,,"gekleidet, letztere aber mit ihren Haaren bedeckt zu sein scheinen, und 3. den Puppenköpfen, so","Spielzeug, Puppe",,,
"",,,,,,,"wie überhaupt allen Figuren ein glanzloses, der natürlichen Hautfarbe ganz gleiches Ansehen zu",,,,
"",,,,,,,geben,,,,
"",,,,,,,Beschreibung der ... Entdekkung zur Damascirung aller gewebter Stoffe aus Baumwolle und,,,,
1206,Pohl,Joseph,,,,,,Damast,Wiesenthal,1828,25.11.1828
"",,,,,,,"Leinen, deren Erfinder die Herren Hoyle et Sohn in England seyn wollen",,,,
"",,,,,,,Erläuterung der Maschine zu geprest basreliefen Damasd ähnlichen Papier Spalieren und,,,,
1207,Seidan,Johann,,,,,,"Druckmaschine, Tapete",Prag,1820,23.10.1820
"",,,,,,,Borduren,,,,
"",,,,,,,"Beschreibung der Flachs-Reinigungsmaschine, ... Erläuterungen über die Zeichnungen der","Flachshechelmaschine, Spinnmaschine,",,,
1208,Pausinger,Leopold,Wurm,Franz Xaver,,,,,Wien,1819,02.06.1819
"",,,,,,,"Wergspinnmaschine, ...",Werg,,,
