PrivRegNr,Name1,Vorname1,Name2,Vorname2,,Name3,Vorname3,Titel,Schlagworte,,,Ort,Jahr,Einreichdatu
"",,,,,,,,"Beschreibung beyliegender Presse, welche vorzüglich zum Abdrucken der Steinplatten dient;",,,,,,
143,Senefelder,Alois,,,,,,Lithographie,,,Wien,,1801,15.11.1801
"",,,,,,,,Beschreibung und Erklärung der chemischen Steindruckerey,,,,,,
"",,,,,,,,"The Metronomic Tutor. Containing Instructions, Exercises & Lessons, for the Piano Forte,",,,,,,
144,Maelzel,John,,,,,,Metronom,,,London,,1816,
"",,,,,,,,"calculated, with the aid of the Metronome, ...",,,,,,
"",,,,,,,,Beschreibung eines vollständigen ökonomischen Koch-Back- und Bratofens ... [Enthält auch]: Plan,,,,,,
145,Doschot,Joseph R.v.,,,,,,"eines Sparofens, Plan eines Beheitzungs-Apparats, mittelst welchem ein ganzes Gebäude beheitzt Holzsäge, Kochherd, Heizung",,,Stanislau,,1820,02.06.1820
"",,,,,,,,"werden kann, Plan einer Holz-Säge-Maschine",,,,,,
"",,,,,,,,Beschreibung der ... in dem Jahre 1818/19 in Markgraf Neusiedel in Marchfelde/Nieder,,,,,,
147,Daninger,Franz,Daninger,Joseph,,,,Windmühle,,,Wien,,1819,19.03.1819
"",,,,,,,,Oesterreich/ ... neu erbauten Windmühle nach holländischer Art,,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, thönerne Wasserleitungsröhren von beliebiger Länge und Weite",,,,,,
148,Nowotny,Augustin,,,,,,"Wasserleitungsrohr, Tonrohr",,,Prag,,1823,03.03.1823
"",,,,,,,,mittels Pressung vollkommener als bisher zu verfertigen,,,,,,
"",,,,,,,,"Kurze Uebersicht der ... Verbesserungen an dem von ihm erfundenen, ... Sud- und",,,,,,
149,Uffenheimer,Jonathan Lazar,,,,,,"Trockenapparats der die Eigenschaften hat, daß er mit jeder Gattung Brennmateriale geheizt Siedeofen, Trockenapparat",,,Wien,,1824,27.06.1824
"",,,,,,,,"werden kann, und das Feuer sich im Kessel, und dieser in der Flüssigkeit sich befindet",,,,,,
150,Busby,Thomas,,,,,,"A Description of Machinery for preparing & spinning combed wool of different qualities Wolle, Spinnmaschine",,,Wien,,1821,11.12.1821
"",,,,,,,,Sechs Zeichnungen der von Jonathan Thornton in Pottendorf neu erfundenen Strick- und Stickgarn-,,,,,,
151,Thornton,Jonathan,,,,,,"Spinnmaschine, Baumwollgarn",,,Pottendorf,,1821,06.06.1821
"",,,,,,,,und verbesserten Water-Twist-Maschinen,,,,,,
