PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,,Titel,Schlagworte,Ort,Jahr,Einreichdatum
1209,Thornton,Johann v.,,,,,Erklärung der Schlicht Maschine am Wasser,,Appreturmaschine,Pottendorf,1818,10.10.1818
1210,Thornton,Johann v.,,,,,Zeichnungen der erfundenen Baumwoll Vorspinnmaschine in vier Blättern,,Vorbereitungsmaschine,Wien,1818,10.03.1818
"",,,,,,,"Beschreibung der ... Verbesserung der Nagelmaschine zur Erzeugung aller Gattungen Schindlnägel,",,,,,
1211,Salmutter,Joseph,,,,,,,Nagel,Kindberg,1828,29.04.1828
"",,,,,,,...,,,,,
"",,,,,,,Beschreibung der Erfindung: daß sie Transparen Seifen nicht nur in allen Farben wie Glas,,,,,
1212,Nuglisch,Adolf,Treu,Karl,,,"durchsichtig darstellen, sondern die einzelnen Stücken auch mit mehreren Farben erzeugen,",,"Seife, Färben/Seife",Wien,1832,01.07.1832
"",,,,,,,welche sie dieserhalb Iris Transparent Seifen benennen,,,,,
"",,,,,,,Descrizione della nuova Scoperta che consiste sostanzialmente nell'incollare la Carta nello Tino,,,,,
1213,Bertarelli,Giuseppe,Brun,Isidoro,,,,,"Büttenpapier, Leimen/Papier",Mantova,1828,17.06.1828
"",,,,,,,all'atto che la si Fabbrica,,,,,
"",,,,,,,Descrizione della Scoperta che consiste in un nuovo deciso miglioramento nello strebbiare (pulire),,,,,
"",,,,,,Giovanni,,,,,,
1214,Campana,Andrea,Campana,Pietro,Campa,,la cosi detta Strussa di Seta e nel ridurre questo genere fabbricare ogni specie di leggeri strati o,,"Seidenabfälle, Flanell",Bergamo,1823,20.09.1823
"",,,,,,Battista,,,,,,
"",,,,,,,Flanella bergamasca [Flanell aus Seidenabfällen],,,,,
1215,Marelli,Luigi,,,,,Descrizione di un nuovo Conduttore metallico [Blitzableiter],,Blitzableiter,Wien,1826,14.04.1826
"",,,,,,,"Beschreibung der ... Entdeckung, Erfindung und Verbesserung in Verfertigung von Damen- und",,,,,
"",,,,,,,,,,Strakonitz/Kreis,,
1216,Rzabek,Anna,,,,,Kinderhüten auf florentinner Art aus eigenem inländischem Stroh in verschiedenen Abstuffungen,,"Hut, Flechtmaschine",,1828,03.11.1828
"",,,,,,,,,,Prachim,,
"",,,,,,,der gelben Farbe mit einem dauerhaften Geflecht mittels Maschinen,,,,,
"",,,,,,,Descrizione dell'invenzione che ... fatta per raccogliere ed estrarre dalle Roggie dai Fiumi e dai,,,,,
1217,Colleoni,Antonio,,,,,"Forrenti, i tronchi degli Alberi, i rami, le foglie ed i Frantumi ... [Maschine zum Auffangen und",,"Holzfischerei, Fangnetz, Rechen",Bergamo,1830,31.08.1830
"",,,,,,,"Herausziehen von Baumstämmen und Aesten etc. aus Flüssen, Schluchten etc. ]",,,,,
"",,,,,,,,,"Spinmmaschine,",,,
1218,Pausinger,Leopold,Wurm,Franz Xaver,,,Erläuterungen uiber die beyliegenden Zeichnungen der Flachsspinnmaschine,,,Wien,1818,01.01.1818
"",,,,,,,,,Vorbereitungsmaschine,,,
"",,,,,,,"Verzeuchnüß der Methode, Von den Schweißbahren, und Unschweißbahren Gußstahel, wie auch",,,,,
1219,Gerlach,Joseph,,,,,,,"Gußstahl, Schmelztiegel",Wien,1817,20.10.1817
"",,,,,,,"der feuerfesten Schmöltztögl, ...",,,,,
"",,,,,,,"Une description d'une macin à tondre les Draps, casimirs et antres etoffer de lainer ...",,,,,
1220,Cochelet,Adrien Louis,,,,,,,Tuchschere,Wien,1817,01.05.1817
"",,,,,,,[Tuchschermaschine],,,,,
"",,,,,,,"Zeichnung der Vorrichtungs-Maschine, vermittelst welcher Band-Stühle durch jede wirkende Kraft",,,,,
1221,Neuffer,,Wreden,,,,,,"Bandstuhl, Kupplung",Wien,1816,05.06.1816
"",,,,,,,"ohne Zuthun von Menschen-Arbeit in Bewegung gesetzt werden, ...",,,,,
1222,Szabo,Paul Mathias,,,,,Die Beschreibung der ... neuerfundenen Feuerspritze,,Feuerspritze,Wien,1814,21.05.1814
1223,Girardoni,Johann Baptist,Puthon,Johann Baptist,Puthon,Karl,Zeichnung der neuen Latermmaschinen oder Lockermaschine,,Krempeln,Wien,1818,14.05.1818
1224,Winkelmann,Nikolaus sen.,Winkelmann,Nikolaus jun.,,,"Beschreibung der ... Erfindung der Regen- und Sonnenschirme, ...",,"Regenschirm, Sonnenschirm",Wien,1825,05.02.1825
"",,,,,,,"Beschreibung der ... [Erfindung], ...: daß man zur Erzeugung von Porzellan-Steingut-",,,,,
1225,Haidinger,Eugen,Haidinger,Rudolph,,,"Töpfergeschirren u. überhaupt zur Erzeugung von allen Arten aus Porezellanerde oder Thon ..., die",,"Porzellan, Tonwaren",Elbogen,1828,11.07.1828
"",,,,,,,"Masse in einem beinartigen Zustande in Gypsformen gießt, ...",,,,,
"",,,,,,,Genaue Beschreibung des ... für das ... Privilegium auf ein Surogat erzeugniß für die Stelle des,,,,,
1226,Braun,Johann Jakob,,,,,,,Bleizucker,Prag,1832,09.02.1832
"",,,,,,,"Bleizukers zum Gebrauch der Färber und Druckereyen, ...",,,,,
"",,,,,,,Gegenstand auf die Verbesserung der Erfindung des Anschlages der Hämmer bei den liegenden,,,,,
"",,,,,,,"PianoForte, gegen die Stiften des kleinen Steges und zwar, bloß durch die zwey obersten",,,,,
1227,Gartner,Joseph,,,,,,,Klavier,Prag,1828,07.12.1828
