PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"Straßenbeleuchtung,",,,,,
1235,Hoinigg,Franz Xaver,Wiessner,Wilhelm,,,"Beschreibung der ... neu erfundenen Stadtbeleuchtungs-Laterne, ...",,Graz,,1831,17.05.1831
"",,,,,,,Laternenanzünder,,,,,
"",,,,,,,"Neuen Erfindung, daß Otto Probst ... einen Wagen herstellt, und zwar für gewöhnliche Strassen",,,,,
1236,Probst,Otto,,,,,"und Eisenbahnen, mit welchem alle Lasten ... durch eine beliebige im Innern des Wagens Wagen, Getriebe",,Graz,,1832,17.01.1832
"",,,,,,,angebrachte Kraft ... fortbewegt werden können,,,,,
"",,,,,,,"Beschreibung der neuen Verbesserung, das Spodium mittelst einer eigenen Art so zu bereiten,",,,,,
1237,Dirnbeck,Joseph Edl.v.,Poden,Mathias,,,"daß es als schwärzender Körper tauglicher, vorzüglich aber für Zucker-Raffinerie viel wirksamer Knochenkohle, Knochenschwärze",,Graz,,1832,28.05.1832
"",,,,,,,"und entfärbender wirke, als das gewöhnliche Spodium",,,,,
1238,Pack,Joseph,,,,,"Beschreibung der Biererzeugungsmethode, und des dazugehörigen Apparates, ... Bier, Brauapparat",,Graz,,1826,06.07.1826
1239,Frenzel,Franz,,,,,Beschreibung des von mir Unterfertigten erfundenen neuen Sicherheitsschloßes Schloß,,Prag,,1829,22.05.1829
"",,,,,,,"Beschreibung der ... Erfindung der Farbholzschneid- oder Raspel- und Farbholzmahlmaschine,",,Niedergrunde/K,,,
1240,Ulbricht,Joseph,,,,,Farbholzmühle,,,,1829,01.06.1829
"",,,,,,,"welche ... darin besteht, alle Arten von Farbhölzern ... zu raspeln und zu mahlen, ...",,reis Rumburg,,,
"",,,,,,,,,Karolinenthal,,,
1241,Juch,Johann,,,,,Beschreibung der ... erfundenen Verbeserung der Hutfilze und Hutbeitze Hut,,,,1831,16.08.1831
"",,,,,,,,,bei Prag,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: 1. Auf die Veränderung und Verbesserung aller bisher",,,,,
"",,,,,,,"Kleidung, Schneiderei, Zuschneiden,",,,,,
1242,Statkiewitz,Jakob,,,,,"bekannten Litzen bey Kleidungsstücken, ... 2. In der Verbesserung beym Zuschneiden der",,Wien,,1833,25.02.1833
"",,,,,,,Maßnehmen,,,,,
"",,,,,,,Armlöcher u. des Leibes ... 3. Auf die Verbesserung mittelst Berechnung im Maaßnehmen ...,,,,,
1243,Montoison,Elias,,,,,Beschreibung der Guillochiermaschine Guillochiermaschine,,Wien,,1829,03.02.1829
1244,Ginzel,Franz,,,,,Beschreibung der ... erfundenen Wäschemange für Haushaltungen Wäscherolle,,Wien,,1830,29.07.1830
1245,Lewy,Moses,,,,,Beschreibung [der] von mir verfertigte Wasserdichte Wichse und von mir selbst Erfunden Wichse,,Prag,,1823,18.03.1823
"",,,,,,,Beschreibung zur Erzeugung der Braunkohlen-Koakxe aus Braunkohlen verbunden zugleich mit,,,,,
1246,Schmidt,Anton,,,,,"Braunkohle, Gips, Kunstdünger, Koks",,Prag,,1829,03.08.1829
"",,,,,,,der Erzeugung des für alle Vegetabilien tauglichen Gypses,,,,,
"",,,,,,,Beschreibung der von dem Gefertigten an sich gebrachten neuen amerikanischen,,,,,
1247,Ludwig,Franz,,,,,Tuchschere,,Reichenberg,,1828,04.07.1828
"",,,,,,,Tuchscheermaschine und der von ihm dazu erfundenen Verbesserung,,,,,
