PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Nähere Beschreibung der von dem Unterzeichneten unter 30. Oktober h.J. Ueberreichten,,,,,
171,Ofenheim,Anton Rainer,,,,,,Gasbeleuchtung,Wien,,1825,15.01.1825
"",,,,,,,Erfindung einer Gasbeleuchtung nach verschiedenen neuen Modalitäten,,,,,
"",,,,,,,Beschreibung nebst zwei Zeichnungen der ... Verbesserung rücksichtlich der bereits privilegierten,"Holzzerkleinerung, Brennholz,",,,,
172,Ofenheim,Anton Rainer,,,,,,,Wien,,1823,07.12.1823
"",,,,,,,"Brennholz Verkleinerungs Maschine, ...","Transport, Lademaschine",,,,
"",,,,,,,"Beschreibung in Wesentlichen eines mit einem Kolben doppelt wirkenden Stiefels, welcher bey",,,,,
"",,,,,,,"Brunnen wie der Ideal Rieß zeugt, und aller ley vorkommenden Hydraulischen Maschin zur",,,,,
173,Szabo,Johann Anastasius,Szabo,Paul,Szabo,Paul Mathias,,Pumpe,Wien,,1821,14.02.1821
"",,,,,,,"Hebung des Wassers und zum Luftschöpfen wo ein Luft leere Raum erfordert wird, zu machen,",,,,,
"",,,,,,,neu angewendet wird,,,,,
"",,,,,,,"Beschreibung einer neu erfundenen Dampfspritze, welche mit einer kleinen veränderung zu gleich",,,,,
174,Szabo,Johann Anastasius,Szabo,Paul,Szabo,Paul Mathias,,"Dampfmaschine, Dampfspritze",Wien,,1822,10.04.1822
"",,,,,,,auch eine Dampfmaschine ist,,,,,
"",,,,,,,Descrizione dell'invenzione onde trarre la seta dai bozzoli con un nuovo metodo in forza del quale,,,,,
175,Carpani,Dominico,Zappa,Pietro,,,"non si ha bisogno per torcere i fili della seta della croce, o torta usata comunemente, ed in forza",Seidenweberei,Como,,1821,16.08.1821
"",,,,,,,del qual metodo si ottengono i vantaggiosi risultati esposti nella Petizione,,,,,
"",,,,,,,"Die Verfertigung jeder Sorten Regenschirme, statt dem Fischbein, und dem bischen gebrauchten,",,,,,
"",,,,,,,"behobelten schwarz gebeitzten Stuhlrohr, von allen Gattungen Holz, nach eigener Art schwarz",,,,,
176,Riffel,Joseph,,,,,"gebeitzte, dem Fischbein ähnliche, und das bischen gewöhnliche Stuhlrohr, in jeder Hinsicht",Regenschirm,Wien,,1826,11.02.1826
"",,,,,,,"übertreffende, viereckig, oder rund, zubereitet Stangeln, sind auch Regenschirme, dauerhafter",,,,,
"",,,,,,,und wohlfeiler,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, Erfindung und Verbesserung, welche ... darin besteht: daß er den",,,,,
177,Leixner,Michael,,,,,"sogenannten weißen Reibsand in viererley Sorten, ... aus dem grauen Vogelsand erzeuget, wozu",Reibsand,Wien,,1825,31.05.1825
"",,,,,,,"er eine ganz neue Maschine erfunden hat, ...",,,,,
"",,,,,,,"Beschreibung der neuen Erfindung einer Pumpe ohne Ventill, mit gewöhnlichen Stiefel, welche",,,,,
178,Koenigshofer,Karl,Lafite,Frederic,,,"bey gleicher Proportion, in dem nämlichen Zeitraume und mit geringerem Kraftaufwande, ...",Pumpe,Graz,,1821,15.06.1821
"",,,,,,,schöpft; ...,,,,,
"",,,Steiger -,Anton David,,,,,,,,
179,Innerhofer,Johann,,,Reuber,Ignaz,Beschreibung des Steinkohlen Entschwefelungs-Apparates,Koks,Wr. Neustadt,,1823,25.04.1823
"",,,Amstein,Edl.v.,,,,,,,,
"",,,Steiger-Am,Anton David,,,,,,,,
180,Reuber,Ignaz,,,,,Beschreibung des Abschwefelungs-Verfahrens,Koks,Wr. Neustadt,,1823,30.07.1823
"",,,Stein,Edl.v.,,,,,,,,
"",,,,,,,Beschreibung der in sechs Figuren von dem Unterzeichneten zu der schon bestehenden,,,,,
181,Veit,Joseph,,,,,,"Ofen, Luftheizung",Wien,,1824,10.03.1824
"",,,,,,,"Luftbeheizung erfundenen neuen Oefen, ...",,,,,
"",,,,,,,"Beschreibung des ... Werkes zum Brauen der Biere nach böhmischer und mährischer Art, wo",,,,,
182,Wanka,Franz,,,,,,"Bier, Brauerei",Prag,,1825,13.07.1825
"",,,,,,,"gleichfalls das schwäbische Verfaren in Vollzug gebrachte werden kann, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: daß auf einer hiezu neu erfundenen",,,,,
183,Pechtl,Karl,,,,,"Maschine, Strohkränze aus rohem Stroh, auf eine neue Art, zum allgemeinen Gebrauch, dauerhaft",Stroh,Wien,,1825,01.09.1825
"",,,,,,,und wohlfeil erzeugt werden können,,,,,
"",,,,,,,"Genaue Beschreibung einer neuen Erfindung, welche ... darin besteht, daß die unter die nahmen",,,,,
"",,,,,,,Kaiser-Mitis-Kirchberger-Original-Wiener- und Neugrün /arseniksaures Kupferoxyd/ im Handel,,,,,
184,Guth,Joseph,Lafonteine,Johann,,,,"Grün, Kupferoxyd, Arseniksaures",Wien,,1822,20.07.1822
"",,,,,,,"vorkommenden Farben, ohne Anwendung des französischen Grünspans, sondern blos aus",,,,,
"",,,,,,,inländischen Bergwerks Produkten mittels Holzessig erzeugt werden können,,,,,
"",,,,,,,"... zeigt ... an, eine Neue Verbesserung gemacht zu haben, welche ... darin besteht, daß er mittelst",,,,,
"",,,,,,,"einem verbesserten Brennerey Apparats, einen achtzehngradigen Brandwein, durch eine einzige",,,,,
185,Strnadt,Vinzenz,,,,,,"Branntwein, Destillierapparat",Wien,,1822,12.10.1822
