PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Erfindung, Schuhe, Stiefeln, Hüte, Kappen, und mehrere andere Arbeiten von",,,,,
"",,,,,,,,"Leder u. Zeug zu verfertigen, woran weder eine Nath, noch irgend eine andere Verbindung, durch",,,,,
1470,Wackenhagen,Karl,,Wibel,Friedrich,,,,"Lederkitt, Schuh, Hut, Kappe",Wien,,1823,16.09.1823
"",,,,,,,,"Stiften, Schrauben oder Nägel angewand wird, sondern das Leder oder Zeug wird blos durch eine",,,,,
"",,,,,,,,chemische Composition zusamm Cutirt ...,,,,,
"",,,,,,,,Beschreibung und Zeichnungen der ... Verbesserung ... in der Anwendung von Cylindern ... zum,,,,,
1471,Busby,Thomas,,,,,,"Abnehmen von Schaafwolle, und Baumwolle, von der Vortrommel der Streichmaschine, anstatt",Krempeln,Wien,,1823,01.10.1823
"",,,,,,,,bisher dazu verwendeten Kämme ...,,,,,
"",,,,,,,,"Beschreibung der neuen Druckmaschine, welche geeignet ist 1,2,3,4 a auch in besonderen Fällen 5",,,,,
1472,Ringhoffer,Martin,,Salthouse,James,,,,"Zeugdruck, Druckmaschine",Prag,,1824,08.01.1824
"",,,,,,,,Farben auf einmahl abzudrucken,,,,,
1473,Billefort,Marcus Antonius,,,,,,"Aeragrane - Noeuvelle machine à battre le grain, ...",Dreschmaschine,Wien,,1824,20.07.1824
"",,,,,,,,"Beschreibung der ... Verbesserung, ..., mittelst einer besonderen Maschine das Gas zusammen zu",,,,,
1474,Browne,John,,,,,,,"Lampe, Abfüllapparat/Gas, Leuchtgas",Wien,,1824,28.09.1824
"",,,,,,,,"pressen, und tragbar zu machen",,,,,
"",,,,,,,,,,Levoca/Leutsch,,,
1475,Pezval,Johann Friedrich,,,,,,Beschreibung der ... erfundenen Schreib-Maschine /:Polygraph:/,Schreibapparat,,,1824,11.08.1824
"",,,,,,,,,,au,,,
1476,Davy,Henry Savill,,,,,,Eine neue Erfindung um Salz zu verfertigen,"Kochsalz, Verdampfapparat",Wien,,1824,07.10.1824
1477,Molina,Paolo Andrea,,,,,,"Descrizione del metodo usato nella fabrricazione delle carte colorate, ... [Papierfärberei]","Papier, Färben/Papier",Milano,,1824,10.09.1824
1478,Codelli,Antonio Moreschi,,,,,,Descrizione dello Strettojo o Torchio Idraulico ... [Druckwerk oder hydraulische Presse],Presse,Milano,,1824,12.09.1824
"",,,,,,,,"Beschreibung der ... Entdekung, ..., daß selber ein Metall hervorgebracht hat, welches ein violettes",,,,,
1479,Starkloff,Stephan Eduard,,,,,,,Edelmetall,Wien,,1824,25.10.1824
"",,,,,,,,"blaues Ansehen hat, und ... selbst alle edle Metalle in der Haltbarkeit zu übertreffen, ...",,,,,
"",,Ferdinand,,,,,,,,,,,
1480,Zoller,,,,,,,"Beschreibung der ... Erfindung von Moirè Mettaligne Papier, ...",Buntpapier,Wien,,1824,20.09.1824
"",,Friedrich,,,,,,,,,,,
"",,,,,,,,Genaue Beschreibung des ... verbesserten Federleuchters und seiner neuen eigenen Erfindungen,,,,,
1481,Kuhn,Joseph,,,,,,,"Leuchter, Uhr",Wien,,1824,26.09.1824
"",,,,,,,,daran,,,,,
"",,,,,,,,Beschreibung der ... neu erfundenen auf Ihren Eisenwerken zu Saldenhofen in Untersteyer,,,,,
"",,,,,,,,,"Pflug, Blech, Gußeisen, Beschlag,",,,,
1482,Mayrhofer,Ignaz,,Obersteiner,Ignaz,,,"erzeugenden ganzen und getheilte Radschinnen, Pflugscharen und Axlblechen nebst den übrigen",,St. Veit,,1824,17.11.1824
"",,,,,,,,,Radreifen,,,,
"",,,,,,,,Theilen eines Pfluges oder einer Art von Gußeisen,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung des Herrn Alois Frh.v.Königsbrunn priv. Dampfbrau-Methode,",,,,,
"",,,,,,,,,"Bierwürze, Einkochen, Eindicken,",,,,
1483,Moding,Anton L.,,,,,,"..., daß durch ein Zusatzstück, Einsudmaschine genannt, ... die Bierwürze vermittelst des Dampfes",,Wien,,1824,02.10.1824
"",,,,,,,,,Brauapparat,,,,
"",,,,,,,,... auf eine Zeit ... zu beliebig starken Einsieden oder Verdicken gebracht werden kann,,,,,
"",,,,,,,,Descrizione della Scoperta che ... consiste di trecciare l'invitata paglia ialiana in treccie di piu,,,,,
1484,Rovis,Antonia,,,,,,,"Hut, Stroh, Flechtmaschine",Pisino,,1824,08.11.1824
"",,,,,,,,larghezza per formare cappelli da donna ... [Geflochtene Strohhüte],,,,,
"",,,,,,,,... zeigen ... an eine neue Verbesserung gemacht zu haben ...: Eine erfundene Verbesserung der,,,,,
1485,Kauffmann,Emanuel,,Kauffmann,Karl,,,,Lampe,Wien,,1824,21.12.1824
"",,,,,,,,"argantischen Lampen mit englischen Cylindern, ...",,,,,
1486,Reinscher,Mathias,,,,,,Beschreibung vorliegender Dampfmaschine,Dampfmaschine,Wien,,1824,06.12.1824
"",,,,,,,,"Descrizione del miglioramento che consiste nel preparare le pelli de Agnello, e Capretti e",,,,,
1487,Ducros,Adolfo,,Ducros,Giovanni,Ducros,Pietro,fabbricare con che i guanti Lucidi nominati Glacè ... [Schaf- und Ziegenledergerberei für Glacè-,"Leder, Handschuh, Gerberei",Milano,,1824,09.12.1824
"",,,,,,,,Handschuhe],,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., das Gas zur Beleuchtung und anderen Zwecken auf eine",,,,,
1488,Browne,John,,,,,,,Leuchtgas,Wien,,1825,11.01.1825
"",,,,,,,,"sparsamere und vollkommenere Art zu erzeugen, ...",,,,,
"",,,,,,,,Beschreibung der ... Erfindung einer neuen Methode durch einen besonderen Zusatz zur Küppe,,,,,
1489,Prziza,Christian,,,,,,"und in allen Farben mit Ersparnissen an Zeit, Brennstoff und Farbmateriale und zugleich mit","Färben, Waidküpe",Wien,,1825,13.01.1825
"",,,,,,,,Erzielung einer größeren Lebhaftigkeit und Dauerhaftigkeit der Farbe zu färben ...,,,,,
"",,,,,,,,"Beschreibung der Lampen, welche geeignet sind, das Gas in selben zusammen zu pressen, sie",,,,,
1490,Browne,John,,,,,,"überall hintragen und gebrauchen zu können auf so viel verschiedene Arten, daß sie zugleich alle","Leuchtgas, Lampe",Wien,,1825,24.01.1825
"",,,,,,,,"Vortheile, die das Licht anbiethet, begreifen, ...",,,,,
"",,,,,,,,"Beschreibung der Art, wie die neu erfundenen Medaillon-Abdrücke, welche als Oblaten u.",,,,,
1491,Haehnisch,Johann Georg,,,,,,"Pettschaft zugleich, dann zu Verzierungen aller Art in echt griechisch- u. römischen Antiquen-Form","Abguß, Medaillon, Abdruck, Dessin",Wien,,1825,01.01.1825
"",,,,,,,,"dienen, verfertigt werden",,,,,
1492,Friedsey,Martin,,,,,,Neues Alliirten-Wasser,Parfüm,Wien,,1825,04.02.1825
"",,,,,,,,Beschreibung der ... Erfindung den zur Papierfabrikation verwendeten sogenannten Halbzeug,,,,,
"",,,,,,,,"mittelst des Halogengases in ... Apparate dergestalt zu bleichen, daß aus den sogenannten",,,,,
1493,Pregartner,Anton,,,,,,,"Halbzeug, Papier, Bleichen/Papier",Graz,,1824,27.02.1824
"",,,,,,,,"Concept Halbzeug sehr weiches Druck- und Schreibpapier, aus den ordentlichen Kanzley-Zeug",,,,,
"",,,,,,,,feines weiches Kanzley ... erzeugt werden kann,,,,,
"",,,,,,,,"Descrizione della Scoperta che ... consiste nella fabbricazione di nastri di Seta cosi detti Marabon,",,,,,
1494,Vernay,Andrea,,,,,,,"Seidenband, Marabuseide",Milano,,1825,28.01.1825
"",,,,,,,,... [Seidenband],,,,,
1495,Lesskien,Joseph,,Loos,Karl,,,Beschreibung der Verbesserung der Wappen Druckmaschine,"Wappen, Druckmaschine",Wien,,1824,10.06.1824
