PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung ... über die Entdeckung, mit Ersparniß des Indigo, ein schöneres, wohlfeileres ächtes",,,,,
1704,Czeicke,Joseph,,,,,,"Blau, Färben",,Troppau,1828,22.05.1828
"",,,,,,,Blau zu färben,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, mittelst einer Epycicloidischen Mühle alle Gattungen Choccolade,","Schokolademühle, Oehlmühle,",,,,
1705,Barach,J.L.,Lafite,Friedrich,,,,,,Wien,1828,21.05.1828
"",,,,,,,"... alle Gattungen Oehl, Leimfarben ... zu erzeugen ...",Farbmühle,,,,
1706,Koechle,Nikolaus,,,,,"Genaue Beschreibung der ... erfundenen neuen Stoppeln zu den chemischen Zündmaschinen, ...",Feuerzeug,,Wien,1828,17.06.1828
"",,,,,,,"Beschreibung der Erfindung, aus dem innländischen in der Gegend zwischen Feld- und Radenthein",,,,,
1707,Preiss,Ferdinand,Rabitsch,Ignaz,,,im Millstätter Bezirke gelegenen Klamberge aufgefundenen Graphite Schmelztiegel gleich den,Schmelztiegel,,Wien,1828,23.06.1828
"",,,,,,,"Hafnerzellern machen, und selbe zu allen Schmelzungen anwenden und gebrauchen zu können",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., eine von jederley Gattung haltbare und schöne Seidenfarbe","Seide, Färben/Seide, Lila, Gelb, Grün,",,,,
1708,Pizinini,Joseph,,,,,,,,Wien,1828,13.07.1828
"",,,,,,,erfunden zu haben,"Blau, Rot",,,,
"",,,,,,,Descrizione della Scoperta ... che ... consiste in un fucile con acciarino a polvere fulminante che con,,,,,
1709,Rosaglio,Giovanni,,,,,"una sol lunga canna tira sei colpi nel termine di sei minuti secondi, tanto a palla che a pallini, ad",Gewehr,,Lodi,1828,03.05.1828
"",,,,,,,incassatura delle piccole Cannette colla detta lunga Canna [Gewehr],,,,,
"",,,,,,,"Beschreibung der Erfindung und Verbesserung, daß die Seydenhüte mit einer neu erfundenen",,,,,
1710,Bartholomae,Johann,Dewald,Fanny,,,,Hut,,Wien,1828,02.08.1828
"",,,,,,,"Unterlage oder Gestell genannt zu versehen, welche bisher noch nicht hiezu verwendet wurde",,,,,
1711,Weltner,Engelbert,,,,,"Beschreibung der ... Verbesserung an den Seidenhüten, ...",Hut,,Wien,1828,31.07.1828
"",,,,,,,Beschreibung und Zeichnung der ... Verbesserung seiner bereits privilegirten Separations-,"Goldscheidung, Silberscheidung,",,,,
1712,Davis,William,,,,,"Maschine, ..., daß durch einige neue Vorrichtungen die Separation aller jener zu scheidenden","Aufbereitung, Zentrifuge,",,Wien,1828,28.07.1828
"",,,,,,,"Gegenstände eine noch größere Vollkommenheit erhält, ...",Schlämmapparat,,,,
"",,,,,,,Descrizione della nuova Gramola per la preparazione della pasta ad uso de Fornaj e Vermicellaj,,,,,
1713,Silva,Giovanni,,,,,,"Teigwaren, Knetmaschine, Backtrog",,Brescia,1828,20.06.1828
"",,,,,,,[Teigwaren-Knetmaschine],,,,,
1714,Fodi,Leopold,,,,,"Beschreibung der, an der K. Kreuterer'schen Wäscherolle gemachten Verbesserung",Wäscherolle,,Wien,1828,17.08.1828
1715,Bachmann,Leonhard,,,,,Beschreibung dieser Mechanische Maschine als rauchvertreibendes Mittel für jede Küche,"Rauchfang, Champion",,Preßburg,1828,29.07.1828
"",,,,,,,"Beschreibung ... der ... Erfindung, ..., mittelst zweyer Vorrichtungen in den gewöhnlichen Wein-,",,,,,
"",,,,,,,"Stein- oder sonstigen Pressen den Tiegel, Lehm oder sonstigen Ziegel und Hafnerton ... von allen",,,,,
1716,Schoeller,Cajetan,,,,,,"Ton, Knetmaschine, Ziegelpresse",,Wien,1828,16.07.1828
"",,,,,,,Steinen und fremdartigen Bestandtheilen zu reinigen ... diese 1. Vorrichtung nennt der,,,,,
"",,,,,,,"Unterfertigte den Knettkasten. Die 2. ... ist bestimmt, alle Gattungen Ziegeln ... zu verfertigen",,,,,
"",,,,,,,"Beschreibung ... der ... Entdeckung, ..., daß er eimaillirte Ringe und Ohrringe von Nr.1 Gold gelb zu",,,,,
1717,Wahlen,Peter,,,,,,"Email, Färben/Email, Schlaglot",,Wien,1828,04.09.1828
"",,,,,,,"färben im Stande ist, ... daß das Schlagloth ... vorzüglich gut ... ist ...",,,,,
1718,Weber,Johann Heinrich,,,,,Erklärung der Zeichnung von der neu verbesserten Malzmühle,Malzmühle,,Wien,1828,15.09.1828
"",,,,,,,"Beschreibung über eine wesentliche Verbesserung der gewöhnlichen Bereitungsart, sämmtlicher",,,,,
1719,Bach,Johann Michael,,,,,"aus Kupfervitriol oder Grünspann erzeugten Farben, mittelst einer veränderten Manipulation der","Kupfervitriol, Grünspan, Farbe, Fällung",,Wien,1828,27.09.1828
"",,,,,,,"Fällung und des fällungsmittels des Oxydes, ...",,,,,
1720,Singer,Salomon,,,,,Beschreibung der ... Verbesserung: Lackirtes Leder mittelst neuem technischem Verfahrens ...,"Lederlack, Gerberei",,Wien,1828,19.09.1828
1721,Dubovsky,August,,,,,Beschreibung der ... Verbesserung in Eindekung der Dächer mit Schifferplatten,"Dach, Schiefer, Kitt",,Maria Thal,1828,13.09.1828
"",,,,,,,"Beschreibung der ... Erfindung, ...: Es ist eine Fahrtmaschine, welche zur Verführung der ganz, oder",,,,,
1722,Mikolay,Johann,,,,,,Wagen,,Wien,1828,06.10.1828
"",,,,,,,"halbflüssigen Waaren dient, für Getreide jeder Art, Schotter, Sand, Steinkohlen etc. ...",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ...: Daß man 14 Ochsen- oder Kuhlederriemen mit 28 Fellen, oder",,,,,
"",,,,,,,"56 Felle ohne Riemen, alle Wochen, lackieren und ganz fertig machen kann, auch dann wenn ein ...",,,,,
1723,Delbeck,Peter,,,,,"schlechtes Wetter, den Gebrauch der Sonnenstrahlen verhindert; - indem sein Leder ... durch","Lederlack, Ofen, Färben/Stoff",,Wien,1828,18.10.1828
"",,,,,,,"einen Stubenofen ... erhellet. Hat ... auch ein Mittel entdeckt, Taffet und Lein nach Maßgabe zu",,,,,
"",,,,,,,lackieren,,,,,
"",,,,,,,"Beschreibung ... über die Erfindung, welche ... in einer Zimmerboden Reib- und Waschmaschine",,,,,
"",,,,,,,,"Fußbodenbürste, Aufwaschen,",,,,
1724,Hoffinger,Vinzenz,,,,,"mit verschiedenen Strohwaschelbürsten bestehet, ... daß man mit den Händen keine",,,Wien,1828,22.10.1828
"",,,,,,,,Auswinden,,,,
"",,,,,,,"Komunikation under dem Wasser hat, ...",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung,  ...: Hals oder Hemdkrägen für Männer zum Vorstecken unter das",,,,,
1725,Winter,Joseph,,,,,,"Papier, Hemdkragen, Kragen, Krawatte",,Wien,1828,07.11.1828
"",,,,,,,"Halstuch oder Cravatte aus Pappier zu erzeugen, ...",,,,,
