PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der ... Erfindung, ...: den Kupfer und Stahlplatte Stich und Druck betreffend: 1. Eine",,,,,
"",,,,,,,Methode im Farbenplattendruck mehrere in verschiedenen Manieren gearbeitete Kupfer oder,,,,,
"",,,,,,,,"Kupferstich, Kupferdruck, Stahlstich,",,,,
1751,Stoeber,Franz,,,,,Stahlplatten mit verschiedenen Farben ... in der gewöhnlichen Kupferdruckprese ... abzudrucken ...,,Wien,,1829,21.04.1829
"",,,,,,,,Farbendruck,,,,
"",,,,,,,2. beym Abdrucken ... sich auch eines Prägewerks zu bedienen. 3. ... sehr wohlfeile Visit Karten,,,,,
"",,,,,,,Adressen Landkarten etc. zu erzeugen ...,,,,,
"",,,,,,,"Zeichnung und Beschreibung von ... einer Verbesserung ..., daß ein an einem Wagen hangender",,,,,
1752,Weilamann,David,,,,,"Radschuh, durch den Zug an einer Schnur, entweder vom Kutscher, oder von einer im Wagen","Wagen, Radschuh, Notbremse",Wien,,1829,27.04.1829
"",,,,,,,"sitzenden Person, ein und ausgehängt werden könne, ...",,,,,
"",,,,,,,"Beschreibung ... der ... Erfindung, ..., daß vor einen Wagen gespannte Pferde auch im schnellsten",,,,,
"",,,,,,,"Laufe durch ihre eigene Gewalt sich selbst aufhalten müssen, u. zwar mittelst einer Vorrichtung,",,,,,
1753,Weilamann,David,,,,,,"Wagen, Bremse, Laufzügel",Wien,,1829,10.04.1829
"",,,,,,,"welche durch einen leichten Druck mit dem Rade in Verbindung gesetzt, eine von dem Gebiße der",,,,,
"",,,,,,,"Pferde zurücklaufende Darmschnur (Rettungsschnur) aufhaspelt, ...",,,,,
"",,,,,,,"Veranlassung zur Erfindung meiner neuen einfachen, bequemen und unschädlichen",,,,,
1754,Tedeschi,Anton,,,,,"Bleichmethode der Papierstoffe. Bereitung aller Papiergattungen ... Verfahren um Garn, Zwirn,","Bleichen, Papier, Hanfbrechmaschine",Wien,,1829,07.03.1829
"",,,,,,,"Flachs und Hanf ... zu bleichen, ... Zeichnung der Hanfbrechmaschine",,,,,
"",,,,,,,Verbesserung bey dem Iris Grundiren und Drucken. B. Die Walzendruckmaschine. C. das,,,,,
"",,,,,,,,"Irisdruck, Druckmaschine, Papier,",,,,
