PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Verbeßerung, ...; daß Kochgeschirre und andere Gegenstände von Guß- oder",,,,,
1948,Bartelmus,Eduard,,,,,,,"Email, Glasur, Kochgeschirr",Wien,,1832,23.05.1832
"",,,,,,,,andrem Eisen emaillirt oder glasirt werden; ...,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ..., mittelst einer Maschine sowohl Schindl als LattenNägel zu",,,,,
1949,Sterba,Johann,,,,,,,"Nagel, Schneidemaschine, Presse",Wien,,1833,30.05.1833
"",,,,,,,,"erzeigen, ...",,,,,
1950,Allenbach,Ernest Friedrich,Szej,,Samuel,,,Genaue Beschreibung der neu erfundenen Kukurutz abrebel Maschine,"Mais, Rebbelmaschine/Mais",Wien,,1834,12.02.1834
"",,,,,,,,"Beschreibung der ... Erfindung, ...: Schindeldächern und anderen Holzgegenständen einen","Schindel, Holzschutz, Dach, Graphit,",,,,
1951,Renati,Ubaldus,,,,,,"Ueberzug von Graphit zu geben, um selbe vor Feuergefahr sowohl, als auch vor Fäulniß zu","Feuerschutz, Feuchtigkeitsschutz,",Wien,,1835,05.01.1835
"",,,,,,,,bewahren,Oberflächenschutz,,,,
"",,,,,,,,"Versiege[l]te Beschreibung ... auf das ... erfundene verbesserte Verfahren beym Stereotypiren,",,,,,
1952,Trentsensky,Joseph,,,,,,"und die Erzeugung von Metall Abklatschen für die Buchdrucker Presse, von auf Stein in die Höhe","Autotypie, Klischee",Wien,,1835,19.01.1835
"",,,,,,,,"geätzten Zeichnungen, Vignetten und Schriften",,,,,
1953,Rademacher,Christian,,,,,,Beschreibung der ... neu erfundenen Sonnen- und Regenschirmen,"Sonnenschirm, Regenschirm, Stock",Wien,,1835,11.03.1835
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß die so schmerzhaften Hühneraugen an den Fußzehen",,,,,
1954,Wolffsohn,Sigmund,,,,,,,"Hühneraugen, Zugpflaster, Gummi",Wien,,1835,09.04.1835
"",,,,,,,,mittelst ringförmiger Kränze von Gummi-Elastikum radical vertilgt werden ...,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung in der Erzeugung, daß die Filzhüte im stärksten Regen am Blatel",,,,,
1955,Schmid,Anton,,,,,,"nicht einfallen, keinen Regentropfen am selben sichtbar bleiben, und an der Cante am Rande des",Hut/wasserdichter,Wien,,1835,09.04.1835
"",,,,,,,,"Blatels im stärksten Tragen sich das Haar fast nichts abstosse, ...",,,,,
1956,Eggerth,Joseph,,,,,,Beschreibung der Maschinen zur Hornknopferzeugung,"Hornbearbeitung, Knopf, Presse",Wien,,1835,04.05.1835
"",,,,,,,,"Beschreibung: Wie die Meerschaum oder Höltzernen Dobackspfeifenköpfe, anstatt mit Silber: mit",,,,,
1957,Frenzel,Stephan,,,,,,,"Tabakspfeife, Stahlwaren, Beschlag",Wien,,1835,17.06.1835
"",,,,,,,,Stahl beschlagen werden,,,,,
"",,,,,,,,Beschreibung der ... neuen Erfindung: Hüte und alle anderen gefilzten Waaren auf eine ganz neue,,,,,
1958,Mally,Johann,,,,,,,"Hut, Filz",Prag,,1833,06.02.1833
"",,,,,,,,Art zu verfertigen ...,,,,,
"",,,,,,,,Beschreibung des Waidküppen Ansatzes. Bereitung der metallischen Beitze zur Befestigung und,,,,,
1959,Wintersteiner,Karl Johann,,,,,,,"Waidküpe, Färben, Beize",Wagstadt,,1833,06.04.1833
"",,,,,,,,Belebung der unächten Farben,,,,,
1960,Thiel,Franz,,,,,,Das arithmetische Wunder-Schränkchen. Eine praktische Rechenmaschine als neue Erfindung,Rechenmaschine,Bielitz/Schlesien,,1834,20.01.1834
"",,,,,,,,Genaue Beschreibung der Erfindung und Verbeßerung der zur Vereinigung beabsichtigten,,,,,
1962,Flekles,Samuel,,,,,,,"Sauna, Luftbad",Wien,,1836,09.06.1836
"",,,,,,,,Russisch-türkischen Luft- und Dampf-Bäder,,,,,
"",,,,,,,,,"Omnibus, Krankenwagen, Kutschbock,",,,,
"",,,,,,,,Beschreibung zu den ... Privilegium ... auf allerley Gattungen Wagen zum Behufe der,,,,,
"",,,,,,,,,"Schmierbüchse, Abort,",,,,
1963,Bastler,Anton Dominik,,,,,,Weiterbeförderung für Personen und Fahrnissen ... mit Stahlfedern und ... Vorrichtungen wodurch,,Wien,,1837,25.10.1837
"",,,,,,,,,"Federung/Wagen, Registrierapparat,",,,,
"",,,,,,,,"die Räder ... sich von selbst schmieren ... ferner Gabelzüge, beweglichen Fußtritt, Aborte, Index, ...",,,,,
"",,,,,,,,,Trittbrett,,,,
"",Schwaben auf,,,,,,,Beschreibung der ... neu erfundenen mathematisch unfehlbaren Nummerirungs oder Control und,,,,,
1964,,Franz Frh.v.,,,,,,,"Numerator, Registrierapparat",Wien,,1825,21.05.1825
"",Altenstatt,,,,,,,geheimen Bezeichnungs Maschine,,,,,
"",,,,,,,,"Beschreibung eines neuen eigenthümlichen Systems von Vorrichtungen, um reine",,,,,
"",,Hieronymus,,,,,,,"Kartoffel, Stärkemehl, Siebwerk,",,,,
1965,Voelker,,,,,,,"Kartoffelsubstanzen in eine feine (mehlartige) Zertheilung zu zersetzen, u. ferner das Staerkemehl",,Leitmeritz,,1832,25.02.1832
"",,Ludwig Wilhelm,,,,,,,Schlämmapparat,,,,
"",,,,,,,,auszuschneiden,,,,,
"",,,,,,,,Descrizione della nuova Scoperta che ... consiste ...: in una Pianta (Ibisco roseo) del lago superiore,,,,,
1966,Barbieri,Paolo,,,,,,di Mantova somministrante filamenti simili alla Canapa ... [Aus der Eibischpflanze die Fasern zur,"Eibisch, Spinnfaser, Hanfersatz",Mantova,,1833,15.01.1833
"",,,,,,,,Verarbeitung gewinnen als Ersatz für Hanf],,,,,
"",,,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una Macchina Idraulica ...,,,,,
1967,Manfredini,Giuseppe,,,,,,,Pumpe,Venezia,,1834,28.01.1834
"",,,,,,,,[Pumpe],,,,,
"",,,,,,,,"Descrizione del nuovo miglioramento che ... consiste in Sostanza, nel poter sopra il torchio",,,,,
1968,Barozzi,Sebastian Antonio,,,,,,,"Lithographie, Notendruck, Klischee",Venezia,,1834,28.05.1834
"",,,,,,,,litografico col mezzo del Autografia musicale stampare musica e parole [Notendruck mit Klischees],,,,,
"",,,,,,,,"Beschreibung der ... Zubereitung des Getränkes The superior ginger Pope, ..., das den Durst sehr",,,,,
