PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Verbesserung der Mieder, ..., daß solche durch einen im Busen befindlichen",,,,,,
"",,,,,,,,"Bandzug und einen kleinen Rucker des Mieder abwärts augenblicklich geöffnet sind, wodurch der",,,,,,
1973,Piltz,,Augustin,,,,,"Vortheil erzielt wird, daß die Damen ohne aller Beyhülfe und Ungemachs sich des Mieders",Mieder,,Wien,,1832,07.12.1832
"",,,,,,,,"entledigen, und ihnen bey Uibelkeiten die schnellste Erleichterung und Hülfe verschafft werden",,,,,,
"",,,,,,,,können,,,,,,
"",,,,,,,,Beschreibung des zu privilegirenden Gegenstandes: 1.) In betreff der ... Damengaloschen ... 2.) Die,,,,,,
"",,,,,,,,Verfertigung der Schuhe selbst bleibt sich gleich; jedoch wird statt des Zugbertels ene,,,,,,
1974,Hoegner,,Gottfried,,,,,,"Galosche, Schuh, Stiefel",,Wien,,1834,30.12.1834
"",,,,,,,,gewöhnliche Zugfeder ... eingenäht. 3.) Bei ... Damen-Stieferln wird die Haftmutter von Drath ...,,,,,,
"",,,,,,,,"auf das Futter genäht, ...",,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ... daß a) die Damenschuhe, durch ein seidenes",,,,,,
"",,,,,,,,"Einfassungsband, in welchem das Gummi elasticum angebracht ist, anstatt des Zugbertels an der",,,,,,
1975,Gebhard,,Joseph,,,,,,"Schuh, Stiefel, Schnürloch, Hausschuh",,Wien,,1835,07.02.1835
"",,,,,,,,"Aussenseite des Schuhes, an dem Fusse elastisch schließen, b) die Damenstieferln an den",,,,,,
"",,,,,,,,"Schnürlöchern mit einer Haftmutter ... versehen werden, ...",,,,,,
"",,,,,,,,"... Verbesserung seines Erd-Globus, ..., daß die papierenen Streifen mit aufgelöstem Gummy",,,,,,
1976,Cella,,Philipp,,,,,,"Erdglobus, Luftballonglobus",,Wien,,1836,22.01.1836
"",,,,,,,,"elasticum auf Perka aufgezogen, und überfirnißt sind, ...",,,,,,
