PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., nehmlich: in einer Eisenfahrbahn der Art, daß",,,,,
1993,Hoer,Karl,,,,,,"man mit einfachen Maschinenwägen ohne Beyhülfe eines Pferdes, mit wenig Kraftaufwand, hin-","Wagen, Getriebe, Vergnügungsbahn",Wien,,1834,24.02.1834
"",,,,,,,,und zurückfahren kann,,,,,
1994,Rohn,Albert,,,,,,Beschreibung der ... verbesserten Kaffee-Schüsselmühle,Kaffeemühle,Wien,,1834,04.03.1834
"",,,,,,,,"Beschreibung meiner Verbesserung an von mir im Jahre 1830 erfundenen Perkussionsgewehren,",,,,,
1995,Zeiller,Joseph,,,,,,,Gewehrschloß,Wien,,1833,02.12.1833
"",,,,,,,,wobei sich die Kapseln von selbst auf den piston anstecken,,,,,
"",,,,,,,,Beschreibung der ... Verbesserung ...: daß er eine äußerst einfache liegende Dämpfung construirt,,,,,
1996,Ries,Joseph,,,,,,"habe, welche für Pianofortes jeder Form anwendbar, vorzüglich aber für Clavier Instrumente in","Klavier, Dämpfer",Wien,,1834,23.01.1834
"",,,,,,,,"Tafelform geeignet sey, ...",,,,,
1997,Rappaldt,Joseph,,,,,,"Beschreibung der verbesserten Tabak Rauchkühl Röhre, ""Wiener Röhre"" genannt",Tabakspfeife,Wien,,1834,10.04.1834
1998,Meissner,Samuel,,,,,,Beschreibung der ... Verbesserung in den Quer-Forte-Piano's,Klavier,Wien,,1834,03.08.1834
"",,,,,,,,"Beschreibung der ... Erfindung, ...: eine neue Art Ketten-Billards mit rein elastischen Mantinells zu",,,,,
1999,Czizula,Johann,,,,,,,Billard,Wien,,1834,17.02.1834
"",,,,,,,,"verfertigen, ...",,,,,
"",,,,,,,,"Beschreibung und Zeichnung ... auf eine neue Maschine zum Schneiden des Fournierholzes, ..., daß",,,,,
2000,Weickmann,Franz,,,,,,,Furnierschneidemaschine,Weiten,,1833,29.11.1833
"",,,,,,,,4 Blätter auf einen Schnitt entfallen,,,,,
"",,,,,,,,,"Knopf, Presse, Dessin,",,,,
2001,Metzner,Wilhelm,,,,,,Verfahrungsart der verbeßerten Hornknöpfe-Fabrikazion ...,,Wien,,1835,03.02.1835
"",,,,,,,,,Hornbearbeitung,,,,
"",,,,,,,,"Zeichnungsbeschreibung von der erfundenen - mechanischen Tressür-Gürte und Hauptgestell,",,,,,
2002,Mayer,Vinzenz,,,,,,"erstere mit ihren drey Federhäuser, letzteres mit ihrer zweckmäßigen Aufzugtrense und","Pferd, Dressur, Trense",Wien,,1835,13.01.1835
"",,,,,,,,"Winkelspannung, nebst beyderseitigen Bestandtheilen und Dienstleistung",,,,,
"",,,,,,,,"Beschreibung zu dem ... Privilegium, auf eine von ihm neu erfundene Methode die Rasiermesser",,,,,
2003,Meill,Franz,,,,,,,"Rasiermesser, Abziehen/Rasiermesser",Wien,,1836,29.01.1836
"",,,,,,,,zu schleifen ...,,,,,
2004,Stiehl,Wilhelm,,,,,,Beschreibung der Bestandtheile einer großen Thurm- oder Haus-Uhr,"Turmuhr, Uhr",Wien,,1835,09.07.1835
"",,,,,,,,"Beschreibung der ... Verbesserung einer Kartenschneidmaschine, ..., daß bey Fabrikation der",,,,,
2005,Steiger,Johann Georg,,,,,,"Spielkarten sowohl eine bedeutende Ersparniß an Zeit, dadurch eine Preisverminderung ... erzielt","Spielkarte, Schneidemaschine",Wien,,1835,29.04.1835
"",,,,,,,,wird,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß Holz oder Metallwaren auf eine ganz neue Art broncirt",,,,,
2006,Preshel,Johann,,,,,,,"Holzwaren, Metallwaren, Bronzieren",Wien,,1836,07.06.1836
"",,,,,,,,"werden, ...",,,,,
"",,,,,,,,Beschreibung der neu erfundenen Verbesserung aller Holz & Bildhauer Ueberzüge durch,"Messingüberzug, Messing,",,,,
2007,Arnstein,Ignaz Frh.v.,,,,,,,,Wien,,1836,05.06.1836
"",,,,,,,,gewöhnlichen Messing statt des Pistotets Messing ...,"Mannheimer Gold, Folienbelegung",,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ...: 1.) Paraplui mit einer ganz neuen Gattung von Federn aus",,,,,
2008,Horn,Heinrich,,,,,,"Pakfong, Stahl & verfertiget, ... 2.) Compositionsgriffe erzeuget ... 3.) Sonnenschirme in der Art","Regenschirm, Sonnenschirm",Wien,,1836,21.07.1836
"",,,,,,,,verfertiget ...,,,,,
"",,,,,,,,"... zeigt ... an eine neue Erfindung ... das er Harmonien verfertigt, und aus allen Gattungen Holz,",,,,,
"",,,,,,,,"Metallen, und Bapir Machet, Menschliche oder Thierartige Figuren, wie auch Mechanische",,,,,
"",,,,,,,,"Gegenstände, z.B. eine Windmühl, Ringelspiel, Hutschen oder Schaukel, eine Rutschbahn und",,,,,
2009,Kaiser,Friedrich Wilhelm,,,,,,,Mundharmonika,Wien,,1837,17.06.1837
"",,,,,,,,"derley Gegenstände vorstellend, auf die Harmonien in Anwendung bringt, welche darauf gemacht",,,,,
"",,,,,,,,"werden, und mit dem Hauch der Luft, durch das Blasen mit den Mund auf den Harmonien, in",,,,,
"",,,,,,,,Bewegung gesetzt werden,,,,,
"",,,,,,,,"... zeigt ... an, eine neue Erfindung ..., daß: Er aus allen Gattungen Edler und Unedler Metalle",,,,,
2010,Kohl,Franz,,,,,,"bereitet sogenannte Folii auf alle Gattungen Gallanterie Tischlerarbeiten verwendet, welche","Holz, Furnieren, Folienbelegung",Wien,,1837,11.04.1837
"",,,,,,,,anstatt der Holzfornir aufgeleimt oder aufgelegt werden ...,,,,,
"",,,,,,,,"Erklärung ... Eine neue Methode ... nach welcher Jedermann wenn er auch in der Zeichenkunst,",,,,,
"",,,,,,,,"der Architektur und Situazionen ganz unerfahren wäre, binnen kurzer Zeit ... nicht nur alle Bau-",,,,,
2011,Jaeckel,Joseph,,,,,,"Grundrisse, Facaden, Profile der complicirtesten Gattung, sowie auch topographische oder","Zeichnen/Technisches, Bauzeichnen",Wien,,1837,24.02.1837
"",,,,,,,,"geographische Mappen, Garten u. sonstige ... Pläne ohne Zirkle, Lineal & dopiren u. schnell",,,,,
"",,,,,,,,zeichnen kann,,,,,
"",,,,,,,,"Beschreibung auf die Verbesserung der Hornknöpfe - Erzeugung, wobey die Oehre anstatt aus",,,,,
2012,Metzner,Wilhelm,,,,,,,"Honrbearbeitung, Knopf, Dessin",Wien,,1837,06.02.1837
"",,,,,,,,"Messing, von Eisen gemacht werden",,,,,
"",,,,,,,,"Beschreibung der Gastronomischen Assekuranz Maschine, eine mechanische Vorrichtung, Gefäße",,,,,
2013,Wappenstein,A.,,,,,,,"Gefäß, Aufhängevorrichtung",Wien,,1837,21.07.1837
"",,,,,,,,vor das Umstoßen & vergiessen der flüssigkeiten zu verwahren,,,,,
2014,Kotoczek,Wenzel,,,,,,Beschreibung der ... neu erfundenen Dampf-Apparate zur Beheizung von Bädern; etc.,"Dampfkessel, Badeofen",Wien,,1837,10.04.1837
"",,,,,,,,Verzeichniß der ... auf die Verbesserung der Kastenberschläge-Knöpf zur Einhängung der,,,,,
2015,Winkler,Gerbrueder,,,,,,,"Möbel, Beschlag",Wien,,1834,06.11.1834
"",,,,,,,,Handringe ...,,,,,
