PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"... hat die Erfindung gemacht einer Bohrmaschine, die das angenehme Resultat liefert, daß ein",,,,,
2057,Fink,,Johann Melchior,,,,,"Mann mit dieser Maschine, mit Hobelkraft, den härtesten Stein ... in 5 Minuten 1 Zoll tief und 1",Steinbohrmaschine,Wien,,1832,07.09.1832
"",,,,,,,,"Zoll im Durchmesser bohrt, und welche auf jedes Bergwerk oder Steinbruch vortheilhaft ist ...",,,,,
2058,Schneider,,C.L.W.,Schneider,F.A.,,,Beschreibung des Staubbad-Apparates zu Reinigungs und Erfrischungsbädern,Bad,Wien,,1833,06.12.1833
2059,Winkler,,Johann,,,,,"Beschreibung der Verbesserung in der Erzeugung von Wachsleinwand, ...",Wachstuch,Wien,,1835,04.08.1835
"",,,,,,,,"Beschreibung der ... Verbesserung, ...: 1.) Die bisher üblichen Schnell-Zündhölzer durch ganz",,,,,
"",,,,,,,,"eigens zubereitete dünne Kerzchen zu ersetzen, welche beym Anzünden nie versagen werden ...","Feuerzeug, Nachtlicht,",,,,
2060,Mueller,,Karl Ludwig,,,,,,,Wien,,1833,22.06.1833
"",,,,,,,,2.) Die dazu gehörigen Zünd-Apparate mit nitrochemischen Gläsern ... 3.) Zur Schließung d. Gläser,Flaschenverschluß,,,,
"",,,,,,,,statt Kork oder Glasstöpsel auch eine eigene Vorrichtung ...,,,,,
2061,Mueller,,Georg,Reitmayer,Johann,,,Beschreibung der neu erfundenen Maschinen zur Erzeugung der Nägel ohne Hülfe des Feuers,"Nagel, Schneidemaschine, Presse",Steyr,,1835,20.06.1835
"",,,,,,,,Beschreibung einer Maschine zur Vorbereitung des Baumwollvorgespinst-Faeden Abfalls um,,,,,
"",,,,,,,,,"Baumwollabfall, Vorgespinstabfall,",,,,
"",,,,,,,,"selben ohne Nachtheil auf den Karden verarbeiten zu koennen, ... Beschreibung einer Maschine",,,,,
2062,Pacher,,Ludwig Moritz v.,,,,,,"Vorbereitungsmaschine, Krempeln,",Wien,,1835,17.10.1835
"",,,,,,,,"zur Reinigung und Vorbereitung ordinairer Baumwollabfälle, um selbe auf eine reine Garne",,,,,
"",,,,,,,,,Garn,,,,
"",,,,,,,,"verarbeiten zu können, ...",,,,,
"",,,,,,,,[Beschreibung eines] Verfahrens um ein von Stearin und Säuren möglichst reines Rüböhl zu,,,,,
2063,Leon,,August & Sohn,,,,,,"Rüböl, Raffinade/Rüböl",Wien,,1837,16.06.1837
"",,,,,,,,erzeugen,,,,,
"",,,,,,,,"Gestämpelter Plan und Beschreibung, welche darin besteht, daß die Zurückströmung des Rauches",,,,,
2064,Kilian,,Ferdinand,Wendeler,Joachim,,,"durch die oberen Luftdrucke welche in den meisten Quartiren und Küchen widrigen Winden, bey","Zugregulator, Rauchabzug",Wien,,1837,27.09.1837
"",,,,,,,,"Regenwetter, so wie auch bey starken Sonnenschein mit Rauch belästiget sind, verhindert wird",,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung in der neuen Methode der Spielkartenfabrikation, welche ...",,,,,
"",,,,,,,,,"Buchsbaumholz, Holzschnitt,",,,,
"",,,,,,,,darin besteht: Mittelst Maschine in ein und derselben Zeit um wenigstens 1/3 Theil mehr,,,,,
2065,Gebhard,,Johann Paul,,,,,,"Spielkarte, Klischee, Druckmaschine,",Wien,,1837,22.11.1837
"",,,,,,,,Abdrücke als mit gegenwärtig im Gebrauche befindlichen sogenannten Haarreiben geliefert,,,,,
"",,,,,,,,,Farbendruck,,,,
"",,,,,,,,"werden können, ...",,,,,
"",,,,,,,,"Beschreibung über die Verbesserung der Luft- oder Hydrostatischen Lampe, welche ... darin",,,,,
2066,Kaufmann,,Karl,,,,,"besteht, daß sie viel einfacher zu füllen ist, ein gleichförmiges reineres Licht verbreitet und dessen",Lampe,Wien,,1837,18.10.1837
"",,,,,,,,Cylinder auf alle Arten Argantischer Lampen anzuwenden ist,,,,,
