PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Erfindung, ...: daß er mittelst eines alten oder neuen Kupferstiches, wovon die",,,,,
"",,,,,,,,"Originalplatte verlohren oder unbrauchbar geworden ist, durch Abziehung neue Kupferplatten Kupferstich, Umdruck, Autotypie,",,,,,
2125,Bohr,Peter R.v.,,,,,,,,Wien,,1834,19.10.1834
"",,,,,,,,"erzeugt, welche dem früheren Zweck vollkommen entsprechn, ... im Wege der Litographie und der Lithographie, Holzschnitt",,,,,
"",,,,,,,,Sylographie hervorzubringen,,,,,
2126,Wagner,Friedrich,,,,,,Zeichnung und Beschreibung einer neuen Art Feuerspritzen ohne Kolben Feuerspritze,,Wien,,1834,04.12.1834
2127,Maurer,Franz jun.,& Co,,,,,"Kunst-Leinwand-Bleiche Leinwand, Bleichen",,Wien,,1834,22.11.1834
2128,Heidenreich,Johann,,,,,,"Erzeugung des sogenannten Neuseeländer-Leders, ... Leder, Gerberei, Neuseeländer Leder",,Wien,,1835,22.01.1835
2129,Terrier,Franz,,,,,,"Beschreibung der Ascos, oder Flüssigkeits-Behälter als Federn zu Wagen angewendet Wagen, Federung/Wagen",,Wien,,1834,22.12.1834
"",,,,,,,,"Beschreibung der Erfindung: das Feuer in Heitz- und Kochöfen, Sparrherde, Kaminen,",,,,,
"",Farkas -,,,,,,,"Feuerung, Kochherd, Kamin, Dörrofen,",,,,,
2130,,Franz Edl.v.,,,,,,"Bierbrauerey, Branntweinbrennerey, Salz, Alaun, Soda, Salpeter, Potasche, und Zuckersiederey, so",,Budapest,,1834,05.10.1834
"",Farkasfalva,,,,,,,Destillierapparat,,,,,
"",,,,,,,,"vortheilhaft anzuwenden, daß an Feuer-Material mehr als die Hälfte erspart wird",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ...: daß bey allen Gattungen Kutschen-Wägen anstatt der",,,,,
"",,,,,,,,"bisherigen Drukfedern, sogenannte Quer-Federn angebracht werden, und der Kasten des Wagens",,,,,
2131,Niederreither,Leopold,,,,,,"Wagen, Federung/Wagen",,Traiskirchen,,1835,26.03.1835
"",,,,,,,,"ganz eine besondere Hängung hat, wodurch der Vortheil erzweckt wird, daß derley Wägen ... nicht",,,,,
"",,,,,,,,stossen,,,,,
"",,,,,,,,"... zeigt ... an, eine neue Erfindung und Verbesserung, ..., ...: daß er von allen Gattungen Metall,",,,,,
2132,Kaiser,Wilhelm Friedrich,,,,,,"aller Gattungen Holz und von Bapier Marschet; Verwendbar auf Gehaiße, einer neuer Gattungen Mundharmonika",,Wien,,1835,09.04.1835
"",,,,,,,,"Harmonika, welche in Gestalt von Form einer Uhr gleich sind, ...",,,,,
"",,,,,,,,"Beschreibung und Zeichnung der ... Verbesserungen an Abdampfungs-Apparaten, ..., daß die",,,,,
"",,,,,,,,Abdampfung in Luftverdünnten Raum ... noch einmahl so schnell bewirkt wird ... Wodurch,,,,,
2133,Schmid,Anton,,,,,,"Verdampfapparat, Vakuumapparat",,Wien,,1835,13.02.1835
"",,,,,,,,"besonders bey Kochung des Zuckers dieser nicht allein an Schönheit ... gewinnt, sondern ... auch",,,,,
"",,,,,,,,an Zeit und Brennmaterial viel gewonnen wird ...,,,,,
"",,,,,,,,Beschreibung zum Behufe der Erlangung eines ausschließenden Privilegiums ... auf die Entdeckung,,,,,
"",,,,,,,,"Vorbereitungsmaschine,",,,,,
2134,Orr,James,,,,,,"und Verbesserung der zur Zubereitung und zum Spinnen der Baumwolle, des Flachses, der",,Wien,,1834,06.11.1834
"",,,,,,,,Spinnmaschine,,,,,
"",,,,,,,,"Schafwolle und anderer faseriger Substanzen, verwendeten Maschinen",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung und Verbesserung, welche in einer ganz neuen Construction für Waage, Brückenwaage,",,,,,
2135,Kuppler,Konrad Georg,,,,,,,,Nürnberg,,1835,05.02.1835
"",,,,,,,,"Waagen mit zusammengesetzten Hebeln und zum Wiegen mit verjüngten Gewichten besteht, ... Gewichtsgleichung",,,,,
2136,Auernheimer,C.A.,,,,,,"Erste Erfindung des Mineraltaig und Streichriemen, ... Abziehen/Rasiermesser, Polieren",,Regensburg,,1835,26.08.1835
2137,Auhl,Johann,,,,,,Spezifigazion der Verbesserung der Letzten Vollendung an den Filshüten ... Hut,,Wien,,1835,26.08.1835
"",,,,,,,,"Beschreibung der ... Verbesserung, ..., da Unschlitt zu Argantkerzen nach einer eigenen Methode",,,,,
2138,Mareda,W.F.,& Sohn,,,,,"zu raffinieren, ..., daß bei Erzeugung von Kerzen bedeutend an Zeit und Brennmaterial erspart Raffinade/Unschlitt, Unschlitt, Kerze",,Wien,,1835,26.08.1835
"",,,,,,,,"wird, ...",,,,,
"",,,,,,,,"... eiserne Bettstellen, welche durch eine einfache Vorrichtung, ohne Schrauben und Stifte, ...",,,,,
2139,Fruehwirth,C.E.,Schnellig,A.,,,,"zusammengelegt werden können, ... da die bisher üblichen Gurten oder Bretter durch Drahtgitter Bett, Federung/Bett",,Wien,,1835,29.09.1835
"",,,,,,,,oder Wanneneissen ersetzt sind- alles bisherige der Art weit übertreffen,,,,,
"",,,,,,,,"Plan einer neu anzulegenden Schienenbahn mit Centrifugalbooten zwischen Wien und Triest,",,,,,
2140,Rigel,Anton Pius v.,,,,,,welche dem Staate ein jährliches Einkommen von netto 7 bis 8 Millionen Gulden Silber Münze Eisenbahnwagen,,Wien,,1835,15.11.1835
"",,,,,,,,"abwerfen wird, und zwar durch Anwendung eines geringen Capitals von 500.000 fl C.Mz.",,,,,
"",,,,,,,,"Eine Verbesserung in dem Apparat für die Ausdünstung des Syrops in der Fabrication des Zuckers,",,,,,
"",,,,,,,,"Sirup, Zucker, Verdampfapparat,",,,,,
"",,,,,,,,mittelst luftleerer-Raumpfanne /:in England Vacuum pans genannt:/ zugleich anwendbar für die,,,,,
2141,Davy,Henry Savill,,,,,,"Vakuumapparat, Destillierapparat,",,Brünn,,1834,31.07.1834
"",,,,,,,,Ausdünstung und Zusammenziehung der Geister oder anderen Extracten und zu gleicher Zeit,,,,,
"",,,,,,,,Trockenapparat,,,,,
"",,,,,,,,anwendbar zum Verfahren den Zuckerhut zu trocknen,,,,,
"",,,,,,,,"Beweglicher Mechanismus, den man in der Rad-Nabe, statt den allgemein angewandten Büchsen",,,,,
"",,Jakob Franz,,,,,,,,,,,
