PRO_COM;COMUNE;year;n
1035;Bricherasio;1896;1
1058;Carignano;1896;1
1068;Castiglione Torinese;1888;1
1082;Chivasso;1895;1
1090;Collegno;1893;1
1125;Ivrea;1886;1
1191;Pinerolo;1883;1
1194;Piossasco;1882;1
1194;Piossasco;1883;1
1217;Rivarolo Canavese;1897;1
1272;Torino;1856;1
1272;Torino;1861;1
1272;Torino;1865;1
1272;Torino;1866;1
1272;Torino;1867;2
1272;Torino;1868;2
1272;Torino;1869;2
1272;Torino;1870;2
1272;Torino;1873;1
1272;Torino;1874;3
1272;Torino;1875;3
1272;Torino;1876;1
1272;Torino;1877;1
1272;Torino;1879;4
1272;Torino;1880;4
1272;Torino;1881;1
1272;Torino;1883;6
1272;Torino;1884;4
1272;Torino;1885;2
1272;Torino;1886;2
1272;Torino;1887;3
1272;Torino;1888;4
1272;Torino;1889;4
1272;Torino;1890;7
1272;Torino;1891;4
1272;Torino;1892;6
1272;Torino;1893;7
1272;Torino;1894;4
1272;Torino;1895;9
1272;Torino;1896;2
1272;Torino;1897;11
1272;Torino;1898;12
1272;Torino;1899;3
2012;Biella;1880;1
2086;Occhieppo Inferiore;1891;1
2158;Vercelli;1899;1
3021;Bogogno;1864;1
3084;Lesa;1889;1
3106;Novara;1888;1
4003;Alba;1870;2
4215;Savigliano;1899;1
4240;Verzuolo;1886;1
5003;Antignano;1898;1
5005;Asti;1885;1
5014;Calliano;1895;1
6009;Arquata Scrivia;1899;1
6039;Casale Monferrato;1891;1
7063;Saint-Pierre;1871;1
8029;Dolceacqua;1890;1
9056;Savona;1888;1
9056;Savona;1895;1
10025;Genova;1870;1
10025;Genova;1872;2
10025;Genova;1873;2
10025;Genova;1880;1
10025;Genova;1881;3
10025;Genova;1882;1
10025;Genova;1883;1
10025;Genova;1884;3
10025;Genova;1885;4
10025;Genova;1886;3
10025;Genova;1888;5
10025;Genova;1889;1
10025;Genova;1890;3
10025;Genova;1891;2
10025;Genova;1893;8
10025;Genova;1894;5
10025;Genova;1895;1
10025;Genova;1896;1
10025;Genova;1897;3
10025;Genova;1898;2
10025;Genova;1899;3
10051;Rossiglione;1895;1
11015;La Spezia;1896;3
12026;Busto Arsizio;1886;1
12070;Gallarate;1886;1
12133;Varese;1885;1
13013;Asso;1886;1
13075;Como;1895;1
13075;Como;1897;1
13112;Gravedona;1896;1
13113;Griante;1891;1
13208;Sant'Abbondio;1897;1
15027;Bollate;1896;1
15054;Casalpusterlengo;1892;1
15126;Lodi;1891;1
15146;Milano;1847;1
15146;Milano;1868;1
15146;Milano;1871;1
15146;Milano;1872;3
15146;Milano;1873;3
15146;Milano;1875;1
15146;Milano;1878;2
15146;Milano;1879;2
15146;Milano;1880;5
15146;Milano;1881;5
15146;Milano;1882;4
15146;Milano;1883;2
15146;Milano;1884;2
15146;Milano;1885;1
15146;Milano;1886;3
15146;Milano;1887;3
15146;Milano;1888;5
15146;Milano;1889;3
15146;Milano;1890;4
15146;Milano;1891;3
15146;Milano;1892;6
15146;Milano;1893;11
15146;Milano;1894;12
15146;Milano;1895;10
15146;Milano;1896;16
15146;Milano;1897;10
15146;Milano;1898;9
15146;Milano;1899;2
15149;Monza;1891;1
15149;Monza;1894;2
15210;Settala;1896;1
15223;Triuggio;1892;1
16004;Albino;1889;1
16004;Albino;1895;1
16024;Bergamo;1866;1
16024;Bergamo;1872;1
16024;Bergamo;1891;1
17029;Brescia;1888;1
18110;Pavia;1896;1
18110;Pavia;1898;1
19025;Castelleone;1896;1
