PrivRegNr	Name1	Vorname1	Name2	Vorname2	Name3	Vorname3	Titel	Schlagworte	Ort	Jahr	Einreichdatu	lat	long
1	Estler	Anton	NA	NA	NA	NA	"Meine Verfahrungsart aus allen Getreide-Stroh-Gattungen ohne mindesten Zusatz von anderen
Substanzen ordinäre und die edelsten Papiere zu verfertigen; wie hier dieses Blat und jenes
worauf der Kupferstich ist, ..."	Strohpapier	Wien	1816	18.02.1816	48.2080696	16.3713095
2	Ofenheimer	Anton	NA	NA	NA	NA	"Das Gebrüder Ofenheimersche Lack-Lake (roter Indigo) als Cochenille Ersatz und Mittel zur
Schellackerzeugung"	Cochenille, Schellack, Lak-Lake, Indigo	Wien	1816	10.06.1816	48.2080696	16.3713095
3	Rupprecht	Joseph	NA	NA	NA	NA	Badeapparat mit Brennstoffeinsparung	Badeofen	Wien	1821	07.04.1821	48.2080696	16.3713095
4	Voigtländer	Johann Friedrich	NA	NA	NA	NA	Beschreibung der periskopischen Gläser und charakteristischen Kennzeichen derselben	Periskopische Gläser, Brille	Wien	1816	06.09.1816	48.2080696	16.3713095
5	Strauss	Anton	NA	NA	NA	NA	Erfindung einer Druckmaschine	Druckmaschine	Wien	1815	02.12.1815	48.2080696	16.3713095
6	Koehler	A.C. Frh.v.	NA	NA	NA	NA	"Erfindung ..., daß man vermittelst einer Maschine in den Stand gesetzt wird, die Güte der
Schafwollensorten, in Beziehung auf die Stärke des Haares, genau und untrüglich zu messen"	Wollmesser	Zwickau/Sa.	1823	18.06.1823	50.7176452	12.4968797
7	Schafzahl	Franz Xaver	NA	NA	NA	NA	Beschreibung der Maschinen Nägel - Modelle in 1/4 Maßstabe	Nagel	Graz	1816	18.04.1816	47.0678961	15.4417305
8	Mayer	Blasius	NA	NA	NA	NA	"Beschreibung über das dem Unterzeichneten ... verliehene Privileg über seine
Nägelerzeugungsmaschine"	Nagel	Wien	1818	20.11.1818	48.2080696	16.3713095
9	Leppich	Caspar	NA	NA	NA	NA	Beschreibung meiner neu erfundenen Nägel-Erzeugungs-Maschine	Nagel	Wien	1818	15.10.1818	48.2080696	16.3713095
10	Bischof	Thomas	NA	NA	NA	NA	"Beschreibung der erfundenen Maschine ""Mühlstuhl"", auf welcher nicht nur ... Seidenbänder,
sondern alle Gattungen Zeuge, durch eine sitzende Person gewoben werden können"	Bandstuhl	Wien	1816	20.02.1816	48.2080696	16.3713095
11	Mallat	Anna	NA	NA	NA	NA	Eine Erzeugung von Weineinschlage, statt mit Leinwand mit Holz	Weineinschlag, Weinfaß	Znaim	1821	04.09.1821	48.8559107	16.0542676
12	Russwurm	Augustin	NA	NA	NA	NA	Beschreibung eines Malz-, Flachs-, Obst- etc. Dörrofens	"Dörrofen, Malzdörre, Obstdörre,
Flachsdörre"	Iglau	1823	27.05.1823	49.3983782	15.5870415
13	Kissling	Johanna	NA	NA	NA	NA	"Beschreibung der ... Entdeckung, welche ... darin besteht, Hüte aus geflochtener Seide, welche die
florentinischen Hüte an Schönheit und Dauer übertreffend, und, ohne der Schönheit des
Geflechtes zu schaden, geputzt werden können"	Hut	Wien	1821	04.02.1821	48.2080696	16.3713095
14	Pfundheller	Josef	NA	NA	NA	NA	Beschreibung der Seidenhaartouren und des Seidepelzwerks	Perücke, Seidepelzwerk	Wien	1821	09.11.1821	48.2080696	16.3713095
15	Tedeschi	Anton	NA	NA	NA	NA	"Beschreibung meiner Entdekkung, Lederabfälle in Pappe/Pappendeckel/ und lederartiges Papier,
oder papierartiges Leder zu verwandeln"	Pappe, Papier, Lederabfälle	Wien	1821	20.03.1821	48.2080696	16.3713095
16	Kinzel	J. Christoph	NA	NA	NA	NA	Beschreibung des Mobile intervallatum samt seinen sechs Mutationen	Mobile intervallatum, Getriebe	Prag	1821	15.06.1821	50.0755381	14.4378005
17	Ehrnfeld	Thaddaeus	Sechs	Julius	NA	NA	Beschreibung der von mir ... neu erfundenen Getreide-Setzmaschine	Sämaschine	Wien	1821	11.09.1821	48.2080696	16.3713095
18	Klein	Ignaz	NA	NA	NA	NA	Die Bestandtheile und die Verfertigung dieser Fleck- und Frauenzimmer-Putzseife	Seife, Fleckputzmittel	Innsbruck	1821	24.09.1821	47.2675322	11.3910349
