year;comune_code;n;location;country;lat;long;COMUNE;PRO_COM
1863;1066;1;Castellamonte;NA;45,3829612000000;7,71323510000000;Castellamonte;1066
1863;1125;1;Ivrea;NA;45,4673400000000;7,88065680000000;Ivrea;1125
1863;1156;2;Moncalieri;NA;44,9983525000000;7,68028780000000;Moncalieri;1156
1863;1191;1;Pinerolo;NA;44,8845906000000;7,33066760000000;Pinerolo;1191
1863;1272;24;Torino;NA;45,0703155000000;7,68685520000000;Torino;1272
1863;3008;2;Arona;NA;45,7598366000000;8,56040810000000;Arona;3008
1863;3923;1;Borgo Vercelli;NA;45,3578227000000;8,46649100000000;Borgo Vercelli;2017
1863;8059;1;Taggia;NA;43,8609282000000;7,85333230000000;Taggia;8059
1863;10025;23;Genova;NA;44,4071448000000;8,93473810000000;Genova;10025
1863;10819;1;San Francesco d'Albaro;NA;44,3968314000000;8,96823170000000;Genova;10025
1863;10823;1;San Pier d'Arena;NA;44,4137488000000;8,89466570000000;Genova;10025
1863;10826;2;Sestri Ponente;NA;44,4276588000000;8,85281640000000;Genova;10025
1863;13075;1;Como;NA;45,8063817000000;9,08518670000000;Como;13075
1863;15146;19;Milano;NA;45,4641943000000;9,18963460000000;Milano;15146
1863;16024;4;Bergamo;NA;45,6941966000000;9,67074620000000;Bergamo;16024
1863;26092;1;Vittorio;NA;48,2086690000000;16,36646630000000;NA;NA
1863;48017;3;Firenze;NA;43,7699685000000;11,25767060000000;Firenze;48017
1863;49009;1;Livorno;NA;43,5484760000000;10,31060870000000;Livorno;49009
1863;58091;1;Roma;NA;41,8967068000000;12,48220250000000;Roma;58091
1863;63049;3;Napoli;NA;40,8517983000000;14,26812000000000;Napoli;63049
1864;1156;1;Moncalieri;NA;44,9983525000000;7,68028780000000;Moncalieri;1156
1864;1272;42;Torino;NA;45,0703155000000;7,68685520000000;Torino;1272
1864;3002;1;Ameno;NA;45,7886563000000;8,44131060000000;Ameno;3002
1864;3008;1;Arona;NA;45,7598366000000;8,56040810000000;Arona;3008
1864;3110;1;Omegna;NA;45,8771636000000;8,40978240000000;Omegna;3110
1864;4043;1;Carrù;NA;44,4794728000000;7,87696610000000;Carru';4043
1864;6003;1;Alessandria;NA;44,9072727000000;8,61167960000000;Alessandria;6003
1864;6081;1;Gavi;NA;44,6876490000000;8,80935300000000;Gavi;6081
1864;6114;1;Novi Ligure;NA;44,7627882000000;8,79502540000000;Novi Ligure;6114
1864;10025;10;Genova;NA;44,4071448000000;8,93473810000000;Genova;10025
1864;10823;1;San Pier d'Arena;NA;44,4137488000000;8,89466570000000;Genova;10025
1864;10926;1;Savona;NA;44,3034046000000;8,47433150000000;Savona;9056
1864;14018;1;Chiavenna;NA;46,3210748000000;9,39771810000000;Chiavenna;14018
1864;15146;15;Milano;NA;45,4641943000000;9,18963460000000;Milano;15146
1864;15990;1;Busto Arsizio;NA;45,6117563000000;8,85167770000000;Busto Arsizio;12026
1864;17029;1;Brescia;NA;45,5415526000000;10,21180190000000;Brescia;17029
