City,1,2,3,4,5,6,7,8,9,10,11,12,13
Vivaro Romano,863,927,1001,1034,1038,983,872,826,618,397,317,3819,242
Aprilia,413,533,821,1009,1284,1810,2237,6943,15782,28349,37807,47037,2
Bassiano,1783,1799,2258,2420,2451,2801,2211,2141,1874,1595,1535,1635,3
Campodimele,804,862,957,1243,1372,1414,1638,1437,1612,1262,964,828,762
Castelforte,2885,3228,3370,4741,5352,6027,6314,6720,6999,7065,6723,6227,6344
Cisterna di Latina,1680,1928,3569,4063,4243,6634,12471,14182,16514,22685,28189,31463,6
Cori,5764,6292,7118,7308,7503,9078,9289,9732,9468,9408,10205,10257,7
Fondi,6577,6727,7447,9669,10699,10896,13308,15456,19212,21777,23197,27915,31169
Formia,11002,12504,12197,11406,12305,13705,15679,16905,17975,20528,23827,30399,34957
Gaeta,14870,20327,17622,16794,17064,19314,20008,18332,18323,20569,22181,23379,22334
Itri,6253,6619,6506,5797,7168,5657,6204,6645,7130,6805,6368,6847,7949
Latina,407,509,916,990,1227,1812,19654,35187,49331,78210,93738,106203,12
Lenola,3016,3309,3089,3171,3147,3193,3038,3269,3720,3804,3690,3705,4087
Maenza,1785,1710,2220,2405,2381,2676,2654,3119,3198,2742,2695,3048,14
Minturno,7134,7519,7985,10230,10944,11431,12759,13650,14790,15363,16166,17049,17298
Monte San Biagio,1469,1729,1906,2639,3121,3155,3834,4359,5312,5536,5446,5629,5856
Norma,2247,2113,2559,2857,3034,3358,3623,3714,3459,3230,3484,3600,17
Pontinia,165,168,226,256,263,326,3926,8614,8327,9109,10927,12203,18
Ponza,3197,3115,3779,4621,4901,6261,6827,6457,4832,4664,3782,3210,3315
Priverno,5274,5336,6717,8243,7563,8747,9827,11771,11638,11746,12655,13289,20
Prossedi,1805,1635,2245,2399,2471,2433,2389,2539,2046,1487,1343,1302,21
Roccagorga,1998,1874,2273,2390,2923,3176,3506,3927,3826,4094,4275,4386,22
Rocca Massima,1134,1187,1512,1700,1758,1627,1602,1605,1401,1254,1212,1135,23
Roccasecca dei Volsci,716,567,782,891,968,1043,1192,1320,1263,1194,1136,1201,24
Sabaudia,302,353,564,585,650,947,4890,7709,8750,10359,12363,14280,25
San Felice Circeo,1321,1252,1795,1855,1990,2560,4348,4637,5338,6547,7753,7736,26
Santi Cosma e,3012,3052,3103,3929,4275,4533,3786,4030,3148,2882,2695,3521,4831
Sermoneta,993,857,1078,1413,1510,2175,3123,4374,4585,5146,6413,6587,28
Sezze,8890,8508,10679,12227,12878,14683,16432,18393,17846,17846,19896,21457,29
Sonnino,3322,3196,4518,5238,5231,5959,6600,7786,7942,6859,6764,6953,30
Sperlonga,1521,1575,1710,1933,2195,2446,2465,2647,2823,3358,3493,3592,3400
Spigno Saturnia,1615,1795,1765,1950,1992,2269,2382,2524,2368,2036,1873,2057,2460
033 Ventotene,1163,2049,2101,1986,1435,1302,1239,1379,1270,1068,508,498,671
Acquafondata,1124,1254,1377,1676,1198,1351,883,909,872,647,458,418,371
Acuto,2307,2183,2268,2824,3176,2589,2493,2104,1886,1780,1763,1826,3
Alatri,13841,13414,15450,16323,16874,18039,18616,20459,21127,20132,22809,25038,4
Alvito,3822,4661,5041,6290,6719,6809,5361,5391,4934,4127,3289,3113,3151
Amaseno,2232,1810,2144,2965,2917,3484,3972,4647,4370,3821,3911,4110,6
Anagni,8256,7758,9612,10429,10746,11286,12396,14620,15139,15984,18618,19314,7
Aquino,1859,2133,2195,2746,3222,3027,3200,3447,3673,3810,3610,5001,5386
008 Arce,5267,6150,5912,7219,7135,7256,7570,8124,7616,6601,6058,6074,6174
Arnara,1986,2009,2189,2505,2767,2596,2633,2871,2707,2347,2469,2515,10
Arpino,11530,11633,11214,11013,10309,10634,10488,10564,10381,8381,7601,7847,8006
Atina,4078,4292,4365,4666,4990,5603,5628,5601,5961,5018,4536,4808,4692
Ausonia,2991,3230,3195,3753,3434,3334,3526,3641,3601,3126,2665,2504,2501
Belmonte Castello,983,1106,1048,1077,1049,1135,1049,1028,988,874,850,783,781
Boville Ernica,3913,3622,4964,5433,6220,7076,7639,7873,8225,8131,8209,8773,15
Broccostella,1027,1602,1310,1539,1534,1702,1971,2048,2261,1911,1729,2002,2396
Campoli Appennino,1547,1546,1612,1700,1511,1592,1705,1872,1890,1551,1500,1604,1815
Casalattico,2083,1801,1873,1483,1583,2769,1715,1130,1124,660,513,755,720
Casalvieri,4516,4812,5080,5498,7077,7264,5800,5499,5658,4242,3204,3023,3216
Cassino,7929,12540,11770,13397,14220,19001,18582,20064,19256,21105,24696,31462,32787
Castelliri,1473,1645,1718,2165,2224,2361,2640,2907,3252,2906,2596,3178,3521
Castelnuovo Parano,912,970,950,1143,1068,1024,1041,1070,1056,955,885,797,845
Castrocielo,2266,2578,2487,3144,3205,3394,3133,3226,3192,2859,2913,3528,3710
Castro dei Volsci,3697,3551,5071,5329,5459,5722,5759,5862,5321,4893,5218,5178,24
Ceccano,7044,7281,9996,12204,12970,14533,15139,17196,17514,18875,20927,22121,25
Ceprano,4532,4834,6201,7034,7283,7736,7982,8812,8030,7640,8380,8546,26
Cervaro,4378,4907,4445,5330,5681,6168,6389,6502,6654,5188,4780,5647,6680
