Name	Place	Description	Pdf
Gibellini-Tornielli FRANÇOIS	Novare	Vin rouge 1897	Paris_1900_Italy_122.jpg
Giovine G. y fils	Canelli Alexandrie	Vin mousseux blanc	Paris_1900_Italy_122.jpg
Giuliano JOSEPH	Catane, rue Squillaci, 8	Vins rouges de 1897 et 1898	Paris_1900_Italy_122.jpg
Goria JOSEPH	Altavilla Monferrato Alexandrie	Vin Barbero de 1897	Paris_1900_Italy_122.jpg
Granero JEAN	Turin	Vins de Grignolino et Barbera	Paris_1900_Italy_122.jpg
Grottanelli Comte HUGO	Florence	Vins de table	Paris_1900_Italy_122.jpg
Guicciardini (FERDINAND)	Florence, Lung'Arno Guicciardini, 5	Vin rouge de 1897 et de 1898	Paris_1900_Italy_122.jpg
Guiintini JOSEPH	Pelago Florence	Vin de 1897 et de 1898	Paris_1900_Italy_122.jpg
Henri-Serafino	Canale Coni	Vin Barbera. Nebiolo sec. Nebiolo Barbarescos	Paris_1900_Italy_122.jpg
Hopps JOHN & sons	Mazzara	Vins blancs de Marsala	Paris_1900_Italy_122.jpg
Ingham Witaker y Cie	Marsala Trapani	Vins Vecchieze et Marsala	Paris_1900_Italy_122.jpg
Ingrassia ALBERT y Cie	Marsala Trapani	Vins de Marsala	Paris_1900_Italy_122.jpg
Jacobini frères	Genzano Rome	Vin rouge et blanc	Paris_1900_Italy_122.jpg
Janigro THÉODORE y Cie	Montagano Campobasso	Vins rouges et blancs	Paris_1900_Italy_122.jpg
