year,class,rca_class,Q,pci
1855,1,Mining and metallurgy,3.8869260e-08,-.98592794
1855,2,Agro-food,1.0008504e-11,-1.9825724
1855,3,Agro-food,2.7507563e-09,-2.2485392
1855,4,General machinery and machine-tools,7.2340827e-06,1.1612905
1855,5,Transport,1.7798923e-06,.17243996
1855,6,Other industrial machinery and equipment,1.9802555e-06,.26206976
1855,7,Textile machinery and equipment,7.9314023e-06,.89629811
1855,8,Instruments,3.8784492e-06,1.0229489
1855,9,Lighting and heating,2.1703677e-06,.92942214
1855,10,Chemicals,2.7884278e-07,-.82907575
1855,11,Agro-food,4.9349036e-09,-2.2387967
1855,12,Instruments,2.0287845e-07,-.81251371
1855,13,Weapons,6.7530357e-07,.16074912
1855,14,Construction,7.2662772e-07,.14126438
1855,15,Mining and metallurgy,.000011521401,1.1008879
1855,16,Mining and metallurgy,7.9213460e-06,1.1369346
1855,17,Jewellery,3.2956755e-06,.6020785
1855,18,Glass,9.0500419e-07,.24355927
1855,19,Cotton,1.8075967e-06,.49880937
1855,20,Wool,4.5991405e-06,.17828539
1855,21,Silk,7.6341394e-07,-.24453351
1855,22,Flax and hemp,3.7300140e-07,-.14418709
1855,23,Clothing and accessories,1.5649030e-06,.14029014
1855,24,Furniture,1.4495826e-06,.6303314
1855,25,Clothing and accessories,3.6606468e-07,-.76575035
1855,26,Paper and printing,1.2235995e-07,-.1130115
1855,27,Instruments,3.4228801e-06,1.0823774
1867,6,Paper and printing,.39168298,-.70330799
1867,7,Paper and printing,2.3809736,.35768235
1867,8,Paper and printing,1.8650658,.55259913
1867,9,Paper and printing,.47255364,-.33758783
1867,10,Instruments,1.1306026,.25520033
1867,11,Instruments,4.718257,.61891103
1867,12,Instruments,.94167233,-.15673721
1867,13,Instruments,1.4246713,-.054255188
1867,14,Furniture,.61363971,.020094514
1867,16,Glass,5.7553301,.99266899
1867,17,Ceramics,.73250997,-.289361
1867,18,Clothing and accessories,.94167018,-.55460858
1867,19,Furniture,4.5090008,.6530717
1867,20,Mining and metallurgy,3.8192086,-.028132319
1867,21,Jewellery,1.9260777,-.32352167
1867,22,Jewellery,4.1575475,.5827409
1867,23,Instruments,45.187992,1.4307294
1867,24,Lighting and heating,12.860962,1.3282474
1867,25,Chemicals,.83841157,-.22706801
1867,26,Clothing and accessories,.18097234,-.83794123
1867,27,Cotton,2.7158697,.10047257
1867,28,Flax and hemp,1.2814252,-.47423053
1867,29,Wool,3.8926427,.034160674
1867,30,Wool,4.491756,.10248202
1867,31,Silk,3.5940459,-.10248202
1867,32,Wool,12.213512,.7193836
1867,33,Clothing and accessories,2.0505202,.17080337
1867,34,Clothing and accessories,.33549759,-1.0449147
1867,35,Clothing and accessories,.80402058,-.78167659
1867,36,Jewellery,.57332408,-.25720978
1867,37,Weapons,.41053176,-.5827409
1867,38,Clothing and accessories,1.3042994,-.36572015
1867,39,Clothing and accessories,1.7129575,.25520033
1867,40,Mining and metallurgy,.14340621,-1.304134
1867,41,Agro-food,.020822655,-1.5432587
1867,42,Agro-food,.0012723951,-1.8486953
1867,43,Agro-food,.044538137,-2.0355742
1867,44,Chemicals,.025585938,-1.6055517
1867,45,Chemicals,7.9216204,.66512841
1867,46,Leather,1.3154694,-.29137045
1867,47,Other industrial machinery and equipment,24.275646,1.4548428
1867,48,Agro-food machinery and equipment,2.1604066,.30141771
1867,49,Agro-food machinery and equipment,.67458165,-.59278816
1867,50,Agro-food machinery and equipment,34.918873,1.7100432
1867,51,Other industrial machinery and equipment,16.55093,1.3523608
1867,53,General machinery and machine-tools,57.374443,1.8466859
1867,54,General machinery and machine-tools,24.332994,1.4086255
1867,55,Textile machinery and equipment,2.0274761,.44006985
1867,57,Textile machinery and equipment,38.978821,1.3865215
1867,58,Other industrial machinery and equipment,30.121119,1.3061434
1867,59,Other industrial machinery and equipment,2.7505281,.62292993
1867,60,Other industrial machinery and equipment,16.951288,.95850831
1867,61,Transport,3.9174869,.46418327
1867,62,Transport,1.2370713,-.55058968
1867,63,Transport,16.501509,1.2920773
1867,64,Lighting and heating,7.7904892,1.0690281
1867,65,Construction,3.1004202,.73344976
1867,66,Transport,.71225131,-.19893569
1867,67,Agro-food,.02627608,-2.0958579
1867,68,Agro-food,1.2190673,-.59479761
1867,69,Agro-food,.59818846,-1.223756
1867,70,Agro-food,.043486223,-1.9652435
1867,72,Agro-food,.014849109,-2.0416026
1867,73,Beverages,.13831729,-1.0027163
1867,83,Agro-food machinery and equipment,22.555952,.88616806
1878,9,Paper and printing,.15829568,-.028592953
1878,10,Paper and printing,.22312416,.42480958
1878,11,Paper and printing,.47379196,.67193437
1878,12,Paper and printing,.045813713,-.35945427
1878,13,Instruments,.11727228,.05922826
1878,14,Instruments,1.1598667,.85574621
1878,15,Instruments,.3138282,.55960494
1878,16,Instruments,.038741119,-.52488494
1878,17,Furniture,.07933455,.087821215
1878,18,Furniture,.65687239,.6903156
1878,19,Glass,1.0984341,.62904495
1878,20,Ceramics,.097062871,-.46565667
1878,21,Clothing and accessories,.106701,-.50650376
1878,22,Furniture,.89936244,.7515862
1878,23,Mining and metallurgy,.84003472,.41664016
1878,24,Jewellery,.27887064,.22670127
1878,25,Jewellery,.3611545,.41255546
1878,26,Instruments,9.9388819,1.6032478
1878,27,Lighting and heating,.81740886,.80060267
1878,28,Chemicals,.18514252,-.23282833
1878,29,Clothing and accessories,.069957949,-.58207083
1878,30,Cotton,.20296995,.20219302
1878,31,Flax and hemp,.05708224,-.32473424
1878,32,Wool,.53167439,.39008957
1878,33,Wool,.50522643,.38804722
1878,34,Silk,.073902011,-.079651795
1878,35,Wool,.53024381,.33290365
1878,36,Clothing and accessories,.17128064,.15113418
1878,37,Clothing and accessories,.21085508,.087821215
1878,38,Clothing and accessories,.019394128,-.95990628
1878,39,Jewellery,.080276102,-.36149663
1878,40,Weapons,.030636001,-.54530847
1878,41,Clothing and accessories,.071752831,-.74341679
1878,42,Clothing and accessories,.30728912,.27571777
1878,43,Mining and metallurgy,.012301818,-1.4337324
1878,44,Agro-food,.0078229913,-1.6583912
1878,45,Agro-food,.0083411252,-1.4990877
1878,46,Agro-food,.00090017734,-1.789102
1878,47,Chemicals,.010810179,-1.2805558
1878,48,Chemicals,1.1464889,1.0354733
1878,49,Leather,.016057193,-1.0354733
1878,50,Other industrial machinery and equipment,2.2755268,.99462628
1878,51,Agro-food machinery and equipment,.18593332,.300226
1878,52,Agro-food machinery and equipment,.41128388,.52692729
1878,53,Other industrial machinery and equipment,5.0667238,1.5848665
1878,54,General machinery and machine-tools,1.5322393,1.1763958
1878,55,General machinery and machine-tools,1.0964471,1.0456852
1878,56,Textile machinery and equipment,.51677638,.50241905
1878,58,Textile machinery and equipment,1.0098799,.68418854
1878,59,Other industrial machinery and equipment,4.2981491,1.3418264
1878,60,Other industrial machinery and equipment,2.2099886,1.2744287
1878,61,Other industrial machinery and equipment,1.2953389,.5963673
1878,62,Transport,.71783906,.63517201
1878,63,Transport,.066753209,-.5003767
1878,64,Transport,2.5960209,1.2478782
1878,65,Lighting and heating,1.2013531,.59228259
1878,66,Construction,.53122461,.8169415
1878,67,Transport,.07649529,-.040847074
1878,68,Weapons,.23268557,.40234369
1878,69,Agro-food,.013818214,-2.3915963
1878,70,Agro-food,.35769492,-.075567089
1878,71,Agro-food,.11113894,-2.1281326
1878,72,Agro-food,.018271632,-2.1301751
1878,74,Agro-food,.0075775119,-2.1628528
1878,75,Beverages,.038389809,-2.2159538
1878,85,Agro-food machinery and equipment,2.8530519,1.3275299
1889,9,Paper and printing,.31068558,-.041008122
1889,10,Paper and printing,.50217372,.5604443
1889,11,Paper and printing,.25667709,-.5604443
1889,12,Paper and printing,.24747218,-.21870998
1889,13,Instruments,.38619411,-.21870998
1889,14,Instruments,2.3672166,.98419487
1889,15,Instruments,1.8049985,1.0115336
1889,16,Instruments,.48612428,-.2050406
1889,17,Furniture,.017549179,-.19137123
1889,18,Furniture,.47111967,.082016245
1889,19,Glass,2.9360578,1.1482273
1889,20,Ceramics,.016718788,-.58778304
1889,21,Clothing and accessories,.20646222,-1.1072192
1889,22,Furniture,.62161463,.58778304
1889,23,Mining and metallurgy,.65463424,0
1889,24,Jewellery,.52541882,.095685616
1889,25,Jewellery,.83678371,.27338746
1889,26,Instruments,15.853196,1.7633492
1889,27,Lighting and heating,1.5273639,.73814619
1889,28,Chemicals,.36309353,-.35540372
1889,29,Clothing and accessories,.20335041,-.98419487
1889,30,Cotton,.2878744,-.66979933
1889,31,Flax and hemp,.34552652,-.86117053
1889,32,Wool,.34429413,-.92951739
1889,33,Silk,.73877323,-.013669373
1889,34,Clothing and accessories,.32331622,-.82016242
1889,35,Clothing and accessories,.3396481,-1.025203
1889,36,Clothing and accessories,.14717856,-1.2165742
1889,37,Jewellery,.27933383,-.27338746
1889,38,Weapons,.29851353,-.58778304
1889,39,Clothing and accessories,.48607761,-.84750116
1889,40,Clothing and accessories,.55562234,.041008122
1889,41,Mining and metallurgy,.24945809,-.61512178
1889,42,Agro-food,.09077163,-1.6676636
1889,43,Agro-food,.11357551,-1.3395987
1889,44,Agro-food,.075553052,-1.8180267
1889,45,Chemicals,.011807366,-.8748399
1889,46,Chemicals,2.9501734,1.1618967
1889,47,Leather,.29783535,-.71080744
1889,48,Other industrial machinery and equipment,1.2424663,.62879115
1889,49,Agro-food machinery and equipment,1.2996101,.58778304
1889,50,Agro-food machinery and equipment,.56523758,.32806498
